"","abstract.id","X","title.x","abstract.x","screener.id.x","decision.x","scale.x","topic.x","notes.x","title.y","abstract.y","screener.id.y","decision.y","scale.y","topic.y","notes.y","title","abstract","screener.id","decision","scale","topic","notes"
"1","MA1",1,"A commentary on domestic animals as dual-purpose models that benefit agricultural and biomedical research","Research on domestic animals (cattle, swine, sheep, goats, poultry, horses, and aquatic species) at land grant institutions is integral to improving the global competitiveness of US animal agriculture and to resolving complex animal and human diseases. However, dwindling federal and state budgets, years of stagnant funding from USDA for the Competitive State Research, Education, and Extension Service National Research Initiative (CSREES-NRI) Competitive Grants Program, significant reductions in farm animal species and in numbers at land grant institutions, and declining enrollment for graduate studies in animal science are diminishing the resources necessary to conduct research on domestic species. Consequently, recruitment of scientists who use such models to conduct research relevant to animal agriculture and biomedicine at land grant institutions is in jeopardy. Concerned stakeholders have addressed this critical problem by conducting workshops, holding a series of meetings with USDA and National Institutes of Health (NIH) officials, and developing a white paper to propose solutions to obstacles impeding the use of domestic species as dual-purpose animal models for high-priority problems common to agriculture and biomedicine. In addition to shortfalls in research support and human resources, overwhelming use of mouse models in biomedicine, lack of advocacy from university administrators, long-standing cultural barriers between agriculture and human medicine, inadequate grantsmanship by animal scientists, and a scarcity of key reagents and resources are major roadblocks to progress. Solutions will require a large financial enhancement of USDA's Competitive Grants Program, educational programs geared toward explaining how research using agricultural animals benefits both animal agriculture and human health, and the development of a new mind-set in land grant institutions that fosters greater cooperation among basic and applied researchers. Recruitment of outstanding scientists dedicated to using domestic animal models for agricultural and biomedical research, strong incentives for scientists to take advantage of training opportunities to write NIH grants, and greater NIH and USDA cooperation to sponsor the use of agricultural animals as dual-purpose animal models that benefit agriculture and biomedicine will also be necessary. In conclusion, the broad diversity of animal models needed for agricultural and biomedical research is at risk unless research priorities at the land grant uni-versities are critically evaluated and financial support for such research is dramatically increased. 2008 American Society of Animal Science. All rights reserved.","CM","exclude","","",NA,"A commentary on domestic animals as dual-purpose models that benefit agricultural and biomedical research","Research on domestic animals (cattle, swine, sheep, goats, poultry, horses, and aquatic species) at land grant institutions is integral to improving the global competitiveness of US animal agriculture and to resolving complex animal and human diseases. However, dwindling federal and state budgets, years of stagnant funding from USDA for the Competitive State Research, Education, and Extension Service National Research Initiative (CSREES-NRI) Competitive Grants Program, significant reductions in farm animal species and in numbers at land grant institutions, and declining enrollment for graduate studies in animal science are diminishing the resources necessary to conduct research on domestic species. Consequently, recruitment of scientists who use such models to conduct research relevant to animal agriculture and biomedicine at land grant institutions is in jeopardy. Concerned stakeholders have addressed this critical problem by conducting workshops, holding a series of meetings with USDA and National Institutes of Health (NIH) officials, and developing a white paper to propose solutions to obstacles impeding the use of domestic species as dual-purpose animal models for high-priority problems common to agriculture and biomedicine. In addition to shortfalls in research support and human resources, overwhelming use of mouse models in biomedicine, lack of advocacy from university administrators, long-standing cultural barriers between agriculture and human medicine, inadequate grantsmanship by animal scientists, and a scarcity of key reagents and resources are major roadblocks to progress. Solutions will require a large financial enhancement of USDA's Competitive Grants Program, educational programs geared toward explaining how research using agricultural animals benefits both animal agriculture and human health, and the development of a new mind-set in land grant institutions that fosters greater cooperation among basic and applied researchers. Recruitment of outstanding scientists dedicated to using domestic animal models for agricultural and biomedical research, strong incentives for scientists to take advantage of training opportunities to write NIH grants, and greater NIH and USDA cooperation to sponsor the use of agricultural animals as dual-purpose animal models that benefit agriculture and biomedicine will also be necessary. In conclusion, the broad diversity of animal models needed for agricultural and biomedical research is at risk unless research priorities at the land grant uni-versities are critically evaluated and financial support for such research is dramatically increased. 2008 American Society of Animal Science. All rights reserved.","NM","exclude","","","",NA,NA,NA,NA,NA,NA,NA
"2","MA10",2,"Adaptive divergence in a defense symbiosis driven from the top down,","Most studies of adaptive radiation in animals focus on resource competition as the primary driver of trait divergence. The roles of other ecological interactions in shaping divergent phenotypes during such radiations have received less attention. We evaluate natural enemies as primary agents of diversifying selection on the phenotypes of an actively diverging lineage of gall midges on tall goldenrod. In this system, the gall of the midge consists of a biotrophic fungal symbiont that develops on host-plant leaves and forms distinctly variable protective carapaces over midge larvae. Through field studies, we show that fungal gall morphology, which is induced by midges (i.e., it is an extended phenotype), is under directional and diversifying selection by parasitoid enemies. Overall, natural enemies disruptively select for either small or large galls, mainly along the axis of gall thickness. These results imply that predators are driving the evolution of phenotypic diversity in symbiotic defense traits in this system and that divergence in defensive morphology may provide ecological opportunities that help to fuel the adaptive radiation of this genus of midges on goldenrods. This enemy-driven phenotypic divergence in a diversifying lineage illustrates the potential importance of consumerresource and symbiotic species interactions in adaptive radiation.  2018 by The University of Chicago. All rights reserved.","UE","include","interspecific","parasitoid, symbiosis observation","","Adaptive divergence in a defense symbiosis driven from the top down","Most studies of adaptive radiation in animals focus on resource competition as the primary driver of trait divergence. The roles of other ecological interactions in shaping divergent phenotypes during such radiations have received less attention. We evaluate natural enemies as primary agents of diversifying selection on the phenotypes of an actively diverging lineage of gall midges on tall goldenrod. In this system, the gall of the midge consists of a biotrophic fungal symbiont that develops on host-plant leaves and forms distinctly variable protective carapaces over midge larvae. Through field studies, we show that fungal gall morphology, which is induced by midges (i.e., it is an extended phenotype), is under directional and diversifying selection by parasitoid enemies. Overall, natural enemies disruptively select for either small or large galls, mainly along the axis of gall thickness. These results imply that predators are driving the evolution of phenotypic diversity in symbiotic defense traits in this system and that divergence in defensive morphology may provide ecological opportunities that help to fuel the adaptive radiation of this genus of midges on goldenrods. This enemy-driven phenotypic divergence in a diversifying lineage illustrates the potential importance of consumerresource and symbiotic species interactions in adaptive radiation.  2018 by The University of Chicago. All rights reserved.","PT","include","interspecific","parasite-host","",NA,NA,NA,NA,NA,NA,NA
"3","MA100",3,"Does a competent leader make a good friend? Conflict, ideology and the psychologies of friendship and followership,","Research demonstrates that the physical traits of leaders and political candidates influence election outcomes and that subjects favor functionally different physical traits in leaders when their social groups face problems related to war and peace, respectively. Previous research has interpreted these effects as evidence of a problem-sensitive and distinct psychology of followership. In two studies, we extend this research by demonstrating that preferences for physical traits in leaders' faces arise from an integration of both contextual and individual differences related to perceptions of social conflict and that these effects relate only to leader choices. Theoretically, we argue that increased preferences for facial dominance in leaders reflect increased needs for enforced coordinated action when one's group is seen to face threats from other coordinated groups rather than from random natural events. Empirically, we show that preferences for dominant-looking leaders are a function of (1) contextual primes of group-based threats rather than nature-based threats and (2) political ideology (a core measure of perceptions of group-based conflict) such that, across contexts, conservatives prefer dominant-looking leaders more than liberals. For the first time, we demonstrate that the effects of these contextual and individual differences are non-existent when subjects are asked to choose a friend instead of a leader: irrespective of ideology and context, people strongly prefer non-dominant friends. This finding adds significantly to the results of past research and provides evidence of the existence of a distinct psychology of followership that produces leader preferences that are independent of preferences for other social partners. (C) 2015 Elsevier Inc. All rights reserved.","UE","exclude",""," ","","Does a competent leader make a good friend? Conflict, ideology and the psychologies of friendship and followership","Research demonstrates that the physical traits of leaders and political candidates influence election outcomes and that subjects favor functionally different physical traits in leaders when their social groups face problems related to war and peace, respectively. Previous research has interpreted these effects as evidence of a problem-sensitive and distinct psychology of followership. In two studies, we extend this research by demonstrating that preferences for physical traits in leaders' faces arise from an integration of both contextual and individual differences related to perceptions of social conflict and that these effects relate only to leader choices. Theoretically, we argue that increased preferences for facial dominance in leaders reflect increased needs for enforced coordinated action when one's group is seen to face threats from other coordinated groups rather than from random natural events. Empirically, we show that preferences for dominant-looking leaders are a function of (1) contextual primes of group-based threats rather than nature-based threats and (2) political ideology (a core measure of perceptions of group-based conflict) such that, across contexts, conservatives prefer dominant-looking leaders more than liberals. For the first time, we demonstrate that the effects of these contextual and individual differences are non-existent when subjects are asked to choose a friend instead of a leader: irrespective of ideology and context, people strongly prefer non-dominant friends. This finding adds significantly to the results of past research and provides evidence of the existence of a distinct psychology of followership that produces leader preferences that are independent of preferences for other social partners. (C) 2015 Elsevier Inc. All rights reserved.","NM","exclude","","","",NA,NA,NA,NA,NA,NA,NA
"4","MA101",4,"DOES HOST-PLANT QUALITY MEDIATE APHID-ANT MUTUALISM","We investigated the hypothesis that variation in the quality of the host plant (Epilobium angustifolium) mediated the mutualistic interaction between a phloem-feeding homopteran (Aphis varians) and the ant (Formica cinerea) tending it.  First, we used a bioassay to define the quality of Epilobium for A. varians.  We established cohorts of first-instar A. varians on fireweed shoots of different heights.  Development time, size at maturity, and the number and size of embryos per adult were significantly correlated with plant height.  Therefore, plant height provided an indirect measure of plant quality. Second, we experimentally tested the effects of plant height and tending by ants on the growth of aphid populations.  We conducted this experiment in the absence of natural enemies of A. varians in order to examine the direct link between plants, aphids and ants, rather than the indirect links involving the natural enemies of aphids.  As expected, population growth of A. varians on individual Epilobium ramets was positively correlated with plant height.  However, in the absence of natural enemies, the effect of ants on the growth of aphid populations did not vary with plant height.  The absence of an interaction between tending by ants and plant quality was probably due to two processes. First, although there were more ants tending on higher quality host plants, the absolute number of ants tending aphids was low and the increase in the number of ants with increases in plant quality was small.  Second, in the absence of natural enemies and at initial densities of approximately 100 aphids per plant, we were unable to detect a significant effect of ants on the growth of aphid populations. We conclude that host-plant mediation did not occur in this aphid-ant interaction, but we do not know whether this was the result of 1) excluding predators, 2) using initial densities above which ants no longer benefit aphids, 3) the low numbers of ants, or 4) small sample sizes.","KJB","include","interspecific","mutualistic interactions","Seems to be 3 species and not much evidence was found in the end, but didn’t want to exclude it just yet.","DOES HOST-PLANT QUALITY MEDIATE APHID-ANT MUTUALISM","We investigated the hypothesis that variation in the quality of the host plant (Epilobium angustifolium) mediated the mutualistic interaction between a phloem-feeding homopteran (Aphis varians) and the ant (Formica cinerea) tending it.  First, we used a bioassay to define the quality of Epilobium for A. varians.  We established cohorts of first-instar A. varians on fireweed shoots of different heights.  Development time, size at maturity, and the number and size of embryos per adult were significantly correlated with plant height.  Therefore, plant height provided an indirect measure of plant quality. Second, we experimentally tested the effects of plant height and tending by ants on the growth of aphid populations.  We conducted this experiment in the absence of natural enemies of A. varians in order to examine the direct link between plants, aphids and ants, rather than the indirect links involving the natural enemies of aphids.  As expected, population growth of A. varians on individual Epilobium ramets was positively correlated with plant height.  However, in the absence of natural enemies, the effect of ants on the growth of aphid populations did not vary with plant height.  The absence of an interaction between tending by ants and plant quality was probably due to two processes. First, although there were more ants tending on higher quality host plants, the absolute number of ants tending aphids was low and the increase in the number of ants with increases in plant quality was small.  Second, in the absence of natural enemies and at initial densities of approximately 100 aphids per plant, we were unable to detect a significant effect of ants on the growth of aphid populations. We conclude that host-plant mediation did not occur in this aphid-ant interaction, but we do not know whether this was the result of 1) excluding predators, 2) using initial densities above which ants no longer benefit aphids, 3) the low numbers of ants, or 4) small sample sizes.","PT","include","interspecific","host-parasite","",NA,NA,NA,NA,NA,NA,NA
"5","MA102",5,"Does prey mobility affect niche width and individual specialization in hunting wasps? A network-based analysis","Niche width and inter-individual diet variation in predator populations are known to be affected by intrinsic factors such as body size, age, cognitive constraints, and by intra- and interspecific competition. By contrast, how variation in prey biological traits may affect niche width and partitioning is still a poorly explored topic. One of these candidate traits is prey mobility, which can affect the predators' niche because acting on the rate of encounter and, assuming mobility as a proxy for escape capability, on the success of predator attacks. Here we analysed 20 wasp populations and their prey as individual-based food-webs to test if prey mobility may explain niche width (here defined by the Shannon entropy-based index ) and patterns of inter-individual diet variation (here defined by the interaction-exclusiveness index H2 and the interaction evenness index E2). Niche width was very variable among populations and overall network specialization (H2) was always higher than the expected by null models. In case of high-speed flying prey (e.g. flies, bees), wasps showed wider niches () and lower specialization (H2) than in case of non-flying or slow-flying prey (e.g. spiders, beetles). Evenness (E2), on the other side, did not vary with prey mobility. Altogether, these results suggest that highly elusive prey may lead to wider predators' niche but somehow limit their individual niche specialization.","CM","exclude","","",NA,"Does prey mobility affect niche width and individual specialization in hunting wasps? A network-based analysis","Niche width and inter-individual diet variation in predator populations are known to be affected by intrinsic factors such as body size, age, cognitive constraints, and by intra- and interspecific competition. By contrast, how variation in prey biological traits may affect niche width and partitioning is still a poorly explored topic. One of these candidate traits is prey mobility, which can affect the predators' niche because acting on the rate of encounter and, assuming mobility as a proxy for escape capability, on the success of predator attacks. Here we analysed 20 wasp populations and their prey as individual-based food-webs to test if prey mobility may explain niche width (here defined by the Shannon entropy-based index ) and patterns of inter-individual diet variation (here defined by the interaction-exclusiveness index H2 and the interaction evenness index E2). Niche width was very variable among populations and overall network specialization (H2) was always higher than the expected by null models. In case of high-speed flying prey (e.g. flies, bees), wasps showed wider niches () and lower specialization (H2) than in case of non-flying or slow-flying prey (e.g. spiders, beetles). Evenness (E2), on the other side, did not vary with prey mobility. Altogether, these results suggest that highly elusive prey may lead to wider predators' niche but somehow limit their individual niche specialization.","NM","exclude","","","",NA,NA,NA,NA,NA,NA,NA
"6","MA103",6,"Does soil type drive social organization in southern hairy-nosed wombats?","Spatiotemporal distributions of key resources are hypothesized to underpin sociobiological patterns. Burrow availability and quality is of paramount importance to fossorial animals. The southern hairy-nosed wombat (Lasiorhinus latifrons) burrows in both hard and friable soils. Theoretical and empirical studies suggest that the harder substrate should promote closer geographical clustering of burrows than in softer soils. Clustered burrows are expected to be associated with larger group sizes. If sociality is driven by constraint rather than advantage, patterns of spatial and temporal distribution of animals within and among groups may show indications of avoidance or even antagonism, and `making the best of a bad job' via positive kin associations to offset the disadvantages of high-density living. To test these ideas, we compared warren relatedness and social structure of L. latifrons on friable soils (Nullarbor Plain) and hard calcrete (Brookfield Conservation Park, BCP). Individuals were sampled by noninvasive collection of hairs for genotyping to identify individuals and to estimate their space-use and associative behaviour with respect to relatedness. Burrows in calcrete were indeed more clumped, and warren and group size larger. Differences in spatiotemporal organization and relatedness structure between sites were in the expected direction: (i) Nullarbor males associated and shared warrens less than at BCP; and (ii) Nullarbor spatial relatedness patterning data were not consistent with proposed female breeding dispersal, in contrast to those at BCP. Under Nullarbor (low density) conditions, cooperation or tolerance between males may be less advantageous, and accessing or digging burrows should be less of a constraint for juvenile females.","CM","include","intraspecific","cooperation-tolerance",NA,"Does soil type drive social organization in southern hairy-nosed wombats?","Spatiotemporal distributions of key resources are hypothesized to underpin sociobiological patterns. Burrow availability and quality is of paramount importance to fossorial animals. The southern hairy-nosed wombat (Lasiorhinus latifrons) burrows in both hard and friable soils. Theoretical and empirical studies suggest that the harder substrate should promote closer geographical clustering of burrows than in softer soils. Clustered burrows are expected to be associated with larger group sizes. If sociality is driven by constraint rather than advantage, patterns of spatial and temporal distribution of animals within and among groups may show indications of avoidance or even antagonism, and `making the best of a bad job' via positive kin associations to offset the disadvantages of high-density living. To test these ideas, we compared warren relatedness and social structure of L. latifrons on friable soils (Nullarbor Plain) and hard calcrete (Brookfield Conservation Park, BCP). Individuals were sampled by noninvasive collection of hairs for genotyping to identify individuals and to estimate their space-use and associative behaviour with respect to relatedness. Burrows in calcrete were indeed more clumped, and warren and group size larger. Differences in spatiotemporal organization and relatedness structure between sites were in the expected direction: (i) Nullarbor males associated and shared warrens less than at BCP; and (ii) Nullarbor spatial relatedness patterning data were not consistent with proposed female breeding dispersal, in contrast to those at BCP. Under Nullarbor (low density) conditions, cooperation or tolerance between males may be less advantageous, and accessing or digging burrows should be less of a constraint for juvenile females.","PT","include","intraspecific","group living: antagonism v benefit","Unclear whether it's really about variation in a 'trait' though -- more about their 'state' of how closely they're living.  So questionable inclusion.",NA,NA,NA,NA,NA,NA,NA
"7","MA104",7,"Does the Reproductive Strategy Affect the Transmission and Genetic Diversity of Bionts in Cyanolichens? A Case Study Using Two Closely Related Species","Observed levels of population genetic diversity are often associated with differences in species dispersal and reproductive strategies. In symbiotic organisms, the genetic diversity level of each biont should also be highly influenced by biont transmission. In this study, we evaluated the influence of the reproductive strategies of cyanolichen species on the current levels of population genetic diversity of bionts. To eliminate any phylogenetic noise, we selected two closely related species within the genus Degelia, which only differ in their reproductive systems. We sampled all known populations of both species in central Spain and genotyped the fungal and cyanobacterial components of lichen samples using DNA sequences as molecular markers. We applied population genetics approaches to evaluate the genetic diversity and population genetic structure of the symbiotic components of both lichen species. Our results indicate that fungal and cyanobiont genetic diversity is highly influenced by the reproductive systems of lichen fungus. We detected higher bionts genetic diversity values in the sexual species Degelia plumbea. By contrast, the levels of fungal and cyanobiont genetic diversity in the asexual species Degelia atlantica were extremely low (almost clonal), and the species shows a high specificity towards its cyanobiont. Our results indicate that reproduction by vegetative propagules, in species of the genus Degelia, favors vertical transmission and clonality, which affects the species' capacity for resources and competition, thereby limiting the species to restricted niches.  2012 Springer Science+Business Media New York.","JW","exclude","","","","Does the Reproductive Strategy Affect the Transmission and Genetic Diversity of Bionts in Cyanolichens? A Case Study Using Two Closely Related Species","Observed levels of population genetic diversity are often associated with differences in species dispersal and reproductive strategies. In symbiotic organisms, the genetic diversity level of each biont should also be highly influenced by biont transmission. In this study, we evaluated the influence of the reproductive strategies of cyanolichen species on the current levels of population genetic diversity of bionts. To eliminate any phylogenetic noise, we selected two closely related species within the genus Degelia, which only differ in their reproductive systems. We sampled all known populations of both species in central Spain and genotyped the fungal and cyanobacterial components of lichen samples using DNA sequences as molecular markers. We applied population genetics approaches to evaluate the genetic diversity and population genetic structure of the symbiotic components of both lichen species. Our results indicate that fungal and cyanobiont genetic diversity is highly influenced by the reproductive systems of lichen fungus. We detected higher bionts genetic diversity values in the sexual species Degelia plumbea. By contrast, the levels of fungal and cyanobiont genetic diversity in the asexual species Degelia atlantica were extremely low (almost clonal), and the species shows a high specificity towards its cyanobiont. Our results indicate that reproduction by vegetative propagules, in species of the genus Degelia, favors vertical transmission and clonality, which affects the species' capacity for resources and competition, thereby limiting the species to restricted niches.  2012 Springer Science+Business Media New York.","MW","exclude","","","",NA,NA,NA,NA,NA,NA,NA
"8","MA105",8,"Dominance hierarchies and associated signalling in a cooperative passerine","In animal societies, individuals face the dilemma of whether to cooperate or to compete over a shared resource. Two intertwined mechanisms may help to resolve this enduring evolutionary dilemma by preventing conflicts and thereby mediating the costs of living in groups: the establishment of dominance hierarchies and the use of badge-of-status for signalling dominance. We investigated these two mechanisms in the sociable weaver (Philetairus socius), a colonial and social passerine which cooperates over multiple tasks. We examined the sociable weavers dominance structure in 2years by recording 2563 agonistic interactions between 152 individuals observed at a feeder at eight colonies. We tested which individual traits, including sex, age, relatedness and two melanin-based plumage traits, predicted variation in social status. First, using social network analysis, we found that colonies were structured by strongly ordered hierarchies which were stable between years. Second, medium-ranked birds engaged more in aggressive interactions than highly ranking individuals, suggesting that competition over food is most pronounced among birds of intermediate social status. Third, we found that colony size and kinship influenced agonistic interactions, so aggression was less pronounced in smaller colonies and among relatives. Finally, within- and between-individual variation in social status and the presence of an individual at the feeder were associated with variation in bib size, as predicted by the badge-of-status hypothesis. These results suggest that dominance hierarchies and bib size mediate conflicts in sociable weaver societies.  2014, Springer-Verlag Berlin Heidelberg.","JW","include","intraspecific","social behavior","","Dominance hierarchies and associated signalling in a cooperative passerine","In animal societies, individuals face the dilemma of whether to cooperate or to compete over a shared resource. Two intertwined mechanisms may help to resolve this enduring evolutionary dilemma by preventing conflicts and thereby mediating the costs of living in groups: the establishment of dominance hierarchies and the use of badge-of-status for signalling dominance. We investigated these two mechanisms in the sociable weaver (Philetairus socius), a colonial and social passerine which cooperates over multiple tasks. We examined the sociable weavers dominance structure in 2years by recording 2563 agonistic interactions between 152 individuals observed at a feeder at eight colonies. We tested which individual traits, including sex, age, relatedness and two melanin-based plumage traits, predicted variation in social status. First, using social network analysis, we found that colonies were structured by strongly ordered hierarchies which were stable between years. Second, medium-ranked birds engaged more in aggressive interactions than highly ranking individuals, suggesting that competition over food is most pronounced among birds of intermediate social status. Third, we found that colony size and kinship influenced agonistic interactions, so aggression was less pronounced in smaller colonies and among relatives. Finally, within- and between-individual variation in social status and the presence of an individual at the feeder were associated with variation in bib size, as predicted by the badge-of-status hypothesis. These results suggest that dominance hierarchies and bib size mediate conflicts in sociable weaver societies.  2014, Springer-Verlag Berlin Heidelberg.","PT","include","intraspecific","Food cooperation/competition","",NA,NA,NA,NA,NA,NA,NA
"9","MA106",9,"Dominance hierarchies in group-living cleaning gobies: causes and foraging consequences","In species living in social groups, aggression among individuals to gain access to limiting resources can lead to the formation of stable social hierarchies. We tested whether dominance rank in social groups of sponge-dwelling cleaning gobies Elacatinus prochilos in Barbados was determined by physical attributes of individuals or by prior experience of dominance, and examined the foraging consequences of dominance rank. Intraspecific aggression within groups resulted in stable dominance hierarchies that were strongly correlated with fish length. Dominant individuals maintained exclusive territories while subordinate fish occupied broader home ranges. Larger, competitively dominant fish were able to monopolize areas inside the sponge lumen with the highest abundance of the polychaete Haplosyllis spp., a favoured prey item, and achieved the highest foraging rates. The removal of a territorial individual from large groups resulted in a domino-like effect in territory relocation of the remaining fish as individuals moved to the territory previously occupied by the individual just above them in the group hierarchy. Individuals added to existing groups generally failed to gain access to territories, despite being formerly dominant in their original groups. When given the opportunity to choose a location in the absence of larger competitors, gobies frequently preferred positions that were previously defended and that had abundant food. These results suggest that intraspecific competition for resources creates the observed dominance structures and provides support for the role of individual physical attributes in the formation and maintenance of dominance hierarchies. (C) 2004 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","CF","include","intraspecific","sociality - cooperation/competition","","Dominance hierarchies in group-living cleaning gobies: causes and foraging consequences","In species living in social groups, aggression among individuals to gain access to limiting resources can lead to the formation of stable social hierarchies. We tested whether dominance rank in social groups of sponge-dwelling cleaning gobies Elacatinus prochilos in Barbados was determined by physical attributes of individuals or by prior experience of dominance, and examined the foraging consequences of dominance rank. Intraspecific aggression within groups resulted in stable dominance hierarchies that were strongly correlated with fish length. Dominant individuals maintained exclusive territories while subordinate fish occupied broader home ranges. Larger, competitively dominant fish were able to monopolize areas inside the sponge lumen with the highest abundance of the polychaete Haplosyllis spp., a favoured prey item, and achieved the highest foraging rates. The removal of a territorial individual from large groups resulted in a domino-like effect in territory relocation of the remaining fish as individuals moved to the territory previously occupied by the individual just above them in the group hierarchy. Individuals added to existing groups generally failed to gain access to territories, despite being formerly dominant in their original groups. When given the opportunity to choose a location in the absence of larger competitors, gobies frequently preferred positions that were previously defended and that had abundant food. These results suggest that intraspecific competition for resources creates the observed dominance structures and provides support for the role of individual physical attributes in the formation and maintenance of dominance hierarchies. (C) 2004 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","PT","include","intraspecific","Resource competition","",NA,NA,NA,NA,NA,NA,NA
"10","MA107",10,"Dominance in domestic dogs-A response to Schilder et al. (2014),","We here respond to the claim by Schilder and colleagues (Schilder, M. B. H., Vinke, C. M., van der Borg, J. A. M., 2014. Dominance in domestic dogs revisited: Useful habit and useful construct? J. Vet. Behav.: Clin. App. Res. 9, 184-191) that dominance is a useful construct in the interpretation of companion dog behavior. We first make the distinction between the well-established use of the dominance framework in the ethology of wild species, and its more contentious use in the domestic dog as a character trait and as a descriptor of motivation. By evaluating recent studies of canine ``personality{''} (individual differences in behavior that are consistent across time and context), we conclude that there is no evidence that dominance is a character trait of individual dogs, but rather that it is a property of relationships, that can arise due to asymmetries in any one of at least 3 distinct personality traits. We question whether concepts derived from wolf behavior have much utility in interpreting the behavior of domestic dogs because recent studies of groups of free-ranging dogs confirm that the dog has lost 3 traits key to the social organization of the gray wolf, namely coordinated group hunting, reproductive suppression, and provisioning of cubs by nonreproducing relatives. We further question whether studies of free-ranging dogs, which routinely compete for physical resources, provide an appropriate framework for interpreting the behavior of companion dogs, which generally do not. We then reinterpret Schenkel's ``active submission{''} posture as primarily affiliative and an indicator of the dependence of younger, inexperienced dogs on the older members of their social group. By reviewing the key literature on the cognitive abilities of domestic dogs and other social Carnivora, we demonstrate that the primate-based ``Utrecht School{'' model of dominance makes assumptions that are invalid for domestic dogs, because the overwhelming balance of evidence indicates that relationships among social Carnivora are based on noncognitive mechanisms. We conclude by examining the implications of Schilder and colleagues' model for the management of relationships between dogs and their owners. (C) 2016 Elsevier Inc. All rights reserved.","UE","exclude",""," ","","Dominance in domestic dogs-A response to Schilder et al. (2014)","We here respond to the claim by Schilder and colleagues (Schilder, M. B. H., Vinke, C. M., van der Borg, J. A. M., 2014. Dominance in domestic dogs revisited: Useful habit and useful construct? J. Vet. Behav.: Clin. App. Res. 9, 184-191) that dominance is a useful construct in the interpretation of companion dog behavior. We first make the distinction between the well-established use of the dominance framework in the ethology of wild species, and its more contentious use in the domestic dog as a character trait and as a descriptor of motivation. By evaluating recent studies of canine ``personality{''} (individual differences in behavior that are consistent across time and context), we conclude that there is no evidence that dominance is a character trait of individual dogs, but rather that it is a property of relationships, that can arise due to asymmetries in any one of at least 3 distinct personality traits. We question whether concepts derived from wolf behavior have much utility in interpreting the behavior of domestic dogs because recent studies of groups of free-ranging dogs confirm that the dog has lost 3 traits key to the social organization of the gray wolf, namely coordinated group hunting, reproductive suppression, and provisioning of cubs by nonreproducing relatives. We further question whether studies of free-ranging dogs, which routinely compete for physical resources, provide an appropriate framework for interpreting the behavior of companion dogs, which generally do not. We then reinterpret Schenkel's ``active submission{''} posture as primarily affiliative and an indicator of the dependence of younger, inexperienced dogs on the older members of their social group. By reviewing the key literature on the cognitive abilities of domestic dogs and other social Carnivora, we demonstrate that the primate-based ``Utrecht School{'' model of dominance makes assumptions that are invalid for domestic dogs, because the overwhelming balance of evidence indicates that relationships among social Carnivora are based on noncognitive mechanisms. We conclude by examining the implications of Schilder and colleagues' model for the management of relationships between dogs and their owners. (C) 2016 Elsevier Inc. All rights reserved.","NM","exclude","","","",NA,NA,NA,NA,NA,NA,NA
