"","abstract.id","X","title.x","abstract.x","screener.id.x","decision.x","scale.x","topic.x","notes.x","title.y","abstract.y","screener.id.y","decision.y","scale.y","topic.y","notes.y","title","abstract","screener.id","decision","scale","topic","notes"
"2","MA10",2,"Adaptive divergence in a defense symbiosis driven from the top down,","Most studies of adaptive radiation in animals focus on resource competition as the primary driver of trait divergence. The roles of other ecological interactions in shaping divergent phenotypes during such radiations have received less attention. We evaluate natural enemies as primary agents of diversifying selection on the phenotypes of an actively diverging lineage of gall midges on tall goldenrod. In this system, the gall of the midge consists of a biotrophic fungal symbiont that develops on host-plant leaves and forms distinctly variable protective carapaces over midge larvae. Through field studies, we show that fungal gall morphology, which is induced by midges (i.e., it is an extended phenotype), is under directional and diversifying selection by parasitoid enemies. Overall, natural enemies disruptively select for either small or large galls, mainly along the axis of gall thickness. These results imply that predators are driving the evolution of phenotypic diversity in symbiotic defense traits in this system and that divergence in defensive morphology may provide ecological opportunities that help to fuel the adaptive radiation of this genus of midges on goldenrods. This enemy-driven phenotypic divergence in a diversifying lineage illustrates the potential importance of consumerresource and symbiotic species interactions in adaptive radiation.  2018 by The University of Chicago. All rights reserved.","UE","include","interspecific","parasitoid, symbiosis observation","","Adaptive divergence in a defense symbiosis driven from the top down","Most studies of adaptive radiation in animals focus on resource competition as the primary driver of trait divergence. The roles of other ecological interactions in shaping divergent phenotypes during such radiations have received less attention. We evaluate natural enemies as primary agents of diversifying selection on the phenotypes of an actively diverging lineage of gall midges on tall goldenrod. In this system, the gall of the midge consists of a biotrophic fungal symbiont that develops on host-plant leaves and forms distinctly variable protective carapaces over midge larvae. Through field studies, we show that fungal gall morphology, which is induced by midges (i.e., it is an extended phenotype), is under directional and diversifying selection by parasitoid enemies. Overall, natural enemies disruptively select for either small or large galls, mainly along the axis of gall thickness. These results imply that predators are driving the evolution of phenotypic diversity in symbiotic defense traits in this system and that divergence in defensive morphology may provide ecological opportunities that help to fuel the adaptive radiation of this genus of midges on goldenrods. This enemy-driven phenotypic divergence in a diversifying lineage illustrates the potential importance of consumerresource and symbiotic species interactions in adaptive radiation.  2018 by The University of Chicago. All rights reserved.","PT","include","interspecific","parasite-host","",NA,NA,NA,NA,NA,NA,NA
"4","MA101",4,"DOES HOST-PLANT QUALITY MEDIATE APHID-ANT MUTUALISM","We investigated the hypothesis that variation in the quality of the host plant (Epilobium angustifolium) mediated the mutualistic interaction between a phloem-feeding homopteran (Aphis varians) and the ant (Formica cinerea) tending it.  First, we used a bioassay to define the quality of Epilobium for A. varians.  We established cohorts of first-instar A. varians on fireweed shoots of different heights.  Development time, size at maturity, and the number and size of embryos per adult were significantly correlated with plant height.  Therefore, plant height provided an indirect measure of plant quality. Second, we experimentally tested the effects of plant height and tending by ants on the growth of aphid populations.  We conducted this experiment in the absence of natural enemies of A. varians in order to examine the direct link between plants, aphids and ants, rather than the indirect links involving the natural enemies of aphids.  As expected, population growth of A. varians on individual Epilobium ramets was positively correlated with plant height.  However, in the absence of natural enemies, the effect of ants on the growth of aphid populations did not vary with plant height.  The absence of an interaction between tending by ants and plant quality was probably due to two processes. First, although there were more ants tending on higher quality host plants, the absolute number of ants tending aphids was low and the increase in the number of ants with increases in plant quality was small.  Second, in the absence of natural enemies and at initial densities of approximately 100 aphids per plant, we were unable to detect a significant effect of ants on the growth of aphid populations. We conclude that host-plant mediation did not occur in this aphid-ant interaction, but we do not know whether this was the result of 1) excluding predators, 2) using initial densities above which ants no longer benefit aphids, 3) the low numbers of ants, or 4) small sample sizes.","KJB","include","interspecific","mutualistic interactions","Seems to be 3 species and not much evidence was found in the end, but didn’t want to exclude it just yet.","DOES HOST-PLANT QUALITY MEDIATE APHID-ANT MUTUALISM","We investigated the hypothesis that variation in the quality of the host plant (Epilobium angustifolium) mediated the mutualistic interaction between a phloem-feeding homopteran (Aphis varians) and the ant (Formica cinerea) tending it.  First, we used a bioassay to define the quality of Epilobium for A. varians.  We established cohorts of first-instar A. varians on fireweed shoots of different heights.  Development time, size at maturity, and the number and size of embryos per adult were significantly correlated with plant height.  Therefore, plant height provided an indirect measure of plant quality. Second, we experimentally tested the effects of plant height and tending by ants on the growth of aphid populations.  We conducted this experiment in the absence of natural enemies of A. varians in order to examine the direct link between plants, aphids and ants, rather than the indirect links involving the natural enemies of aphids.  As expected, population growth of A. varians on individual Epilobium ramets was positively correlated with plant height.  However, in the absence of natural enemies, the effect of ants on the growth of aphid populations did not vary with plant height.  The absence of an interaction between tending by ants and plant quality was probably due to two processes. First, although there were more ants tending on higher quality host plants, the absolute number of ants tending aphids was low and the increase in the number of ants with increases in plant quality was small.  Second, in the absence of natural enemies and at initial densities of approximately 100 aphids per plant, we were unable to detect a significant effect of ants on the growth of aphid populations. We conclude that host-plant mediation did not occur in this aphid-ant interaction, but we do not know whether this was the result of 1) excluding predators, 2) using initial densities above which ants no longer benefit aphids, 3) the low numbers of ants, or 4) small sample sizes.","PT","include","interspecific","host-parasite","",NA,NA,NA,NA,NA,NA,NA
"6","MA103",6,"Does soil type drive social organization in southern hairy-nosed wombats?","Spatiotemporal distributions of key resources are hypothesized to underpin sociobiological patterns. Burrow availability and quality is of paramount importance to fossorial animals. The southern hairy-nosed wombat (Lasiorhinus latifrons) burrows in both hard and friable soils. Theoretical and empirical studies suggest that the harder substrate should promote closer geographical clustering of burrows than in softer soils. Clustered burrows are expected to be associated with larger group sizes. If sociality is driven by constraint rather than advantage, patterns of spatial and temporal distribution of animals within and among groups may show indications of avoidance or even antagonism, and `making the best of a bad job' via positive kin associations to offset the disadvantages of high-density living. To test these ideas, we compared warren relatedness and social structure of L. latifrons on friable soils (Nullarbor Plain) and hard calcrete (Brookfield Conservation Park, BCP). Individuals were sampled by noninvasive collection of hairs for genotyping to identify individuals and to estimate their space-use and associative behaviour with respect to relatedness. Burrows in calcrete were indeed more clumped, and warren and group size larger. Differences in spatiotemporal organization and relatedness structure between sites were in the expected direction: (i) Nullarbor males associated and shared warrens less than at BCP; and (ii) Nullarbor spatial relatedness patterning data were not consistent with proposed female breeding dispersal, in contrast to those at BCP. Under Nullarbor (low density) conditions, cooperation or tolerance between males may be less advantageous, and accessing or digging burrows should be less of a constraint for juvenile females.","CM","include","intraspecific","cooperation-tolerance",NA,"Does soil type drive social organization in southern hairy-nosed wombats?","Spatiotemporal distributions of key resources are hypothesized to underpin sociobiological patterns. Burrow availability and quality is of paramount importance to fossorial animals. The southern hairy-nosed wombat (Lasiorhinus latifrons) burrows in both hard and friable soils. Theoretical and empirical studies suggest that the harder substrate should promote closer geographical clustering of burrows than in softer soils. Clustered burrows are expected to be associated with larger group sizes. If sociality is driven by constraint rather than advantage, patterns of spatial and temporal distribution of animals within and among groups may show indications of avoidance or even antagonism, and `making the best of a bad job' via positive kin associations to offset the disadvantages of high-density living. To test these ideas, we compared warren relatedness and social structure of L. latifrons on friable soils (Nullarbor Plain) and hard calcrete (Brookfield Conservation Park, BCP). Individuals were sampled by noninvasive collection of hairs for genotyping to identify individuals and to estimate their space-use and associative behaviour with respect to relatedness. Burrows in calcrete were indeed more clumped, and warren and group size larger. Differences in spatiotemporal organization and relatedness structure between sites were in the expected direction: (i) Nullarbor males associated and shared warrens less than at BCP; and (ii) Nullarbor spatial relatedness patterning data were not consistent with proposed female breeding dispersal, in contrast to those at BCP. Under Nullarbor (low density) conditions, cooperation or tolerance between males may be less advantageous, and accessing or digging burrows should be less of a constraint for juvenile females.","PT","include","intraspecific","group living: antagonism v benefit","Unclear whether it's really about variation in a 'trait' though -- more about their 'state' of how closely they're living.  So questionable inclusion.",NA,NA,NA,NA,NA,NA,NA
"8","MA105",8,"Dominance hierarchies and associated signalling in a cooperative passerine","In animal societies, individuals face the dilemma of whether to cooperate or to compete over a shared resource. Two intertwined mechanisms may help to resolve this enduring evolutionary dilemma by preventing conflicts and thereby mediating the costs of living in groups: the establishment of dominance hierarchies and the use of badge-of-status for signalling dominance. We investigated these two mechanisms in the sociable weaver (Philetairus socius), a colonial and social passerine which cooperates over multiple tasks. We examined the sociable weavers dominance structure in 2years by recording 2563 agonistic interactions between 152 individuals observed at a feeder at eight colonies. We tested which individual traits, including sex, age, relatedness and two melanin-based plumage traits, predicted variation in social status. First, using social network analysis, we found that colonies were structured by strongly ordered hierarchies which were stable between years. Second, medium-ranked birds engaged more in aggressive interactions than highly ranking individuals, suggesting that competition over food is most pronounced among birds of intermediate social status. Third, we found that colony size and kinship influenced agonistic interactions, so aggression was less pronounced in smaller colonies and among relatives. Finally, within- and between-individual variation in social status and the presence of an individual at the feeder were associated with variation in bib size, as predicted by the badge-of-status hypothesis. These results suggest that dominance hierarchies and bib size mediate conflicts in sociable weaver societies.  2014, Springer-Verlag Berlin Heidelberg.","JW","include","intraspecific","social behavior","","Dominance hierarchies and associated signalling in a cooperative passerine","In animal societies, individuals face the dilemma of whether to cooperate or to compete over a shared resource. Two intertwined mechanisms may help to resolve this enduring evolutionary dilemma by preventing conflicts and thereby mediating the costs of living in groups: the establishment of dominance hierarchies and the use of badge-of-status for signalling dominance. We investigated these two mechanisms in the sociable weaver (Philetairus socius), a colonial and social passerine which cooperates over multiple tasks. We examined the sociable weavers dominance structure in 2years by recording 2563 agonistic interactions between 152 individuals observed at a feeder at eight colonies. We tested which individual traits, including sex, age, relatedness and two melanin-based plumage traits, predicted variation in social status. First, using social network analysis, we found that colonies were structured by strongly ordered hierarchies which were stable between years. Second, medium-ranked birds engaged more in aggressive interactions than highly ranking individuals, suggesting that competition over food is most pronounced among birds of intermediate social status. Third, we found that colony size and kinship influenced agonistic interactions, so aggression was less pronounced in smaller colonies and among relatives. Finally, within- and between-individual variation in social status and the presence of an individual at the feeder were associated with variation in bib size, as predicted by the badge-of-status hypothesis. These results suggest that dominance hierarchies and bib size mediate conflicts in sociable weaver societies.  2014, Springer-Verlag Berlin Heidelberg.","PT","include","intraspecific","Food cooperation/competition","",NA,NA,NA,NA,NA,NA,NA
"9","MA106",9,"Dominance hierarchies in group-living cleaning gobies: causes and foraging consequences","In species living in social groups, aggression among individuals to gain access to limiting resources can lead to the formation of stable social hierarchies. We tested whether dominance rank in social groups of sponge-dwelling cleaning gobies Elacatinus prochilos in Barbados was determined by physical attributes of individuals or by prior experience of dominance, and examined the foraging consequences of dominance rank. Intraspecific aggression within groups resulted in stable dominance hierarchies that were strongly correlated with fish length. Dominant individuals maintained exclusive territories while subordinate fish occupied broader home ranges. Larger, competitively dominant fish were able to monopolize areas inside the sponge lumen with the highest abundance of the polychaete Haplosyllis spp., a favoured prey item, and achieved the highest foraging rates. The removal of a territorial individual from large groups resulted in a domino-like effect in territory relocation of the remaining fish as individuals moved to the territory previously occupied by the individual just above them in the group hierarchy. Individuals added to existing groups generally failed to gain access to territories, despite being formerly dominant in their original groups. When given the opportunity to choose a location in the absence of larger competitors, gobies frequently preferred positions that were previously defended and that had abundant food. These results suggest that intraspecific competition for resources creates the observed dominance structures and provides support for the role of individual physical attributes in the formation and maintenance of dominance hierarchies. (C) 2004 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","CF","include","intraspecific","sociality - cooperation/competition","","Dominance hierarchies in group-living cleaning gobies: causes and foraging consequences","In species living in social groups, aggression among individuals to gain access to limiting resources can lead to the formation of stable social hierarchies. We tested whether dominance rank in social groups of sponge-dwelling cleaning gobies Elacatinus prochilos in Barbados was determined by physical attributes of individuals or by prior experience of dominance, and examined the foraging consequences of dominance rank. Intraspecific aggression within groups resulted in stable dominance hierarchies that were strongly correlated with fish length. Dominant individuals maintained exclusive territories while subordinate fish occupied broader home ranges. Larger, competitively dominant fish were able to monopolize areas inside the sponge lumen with the highest abundance of the polychaete Haplosyllis spp., a favoured prey item, and achieved the highest foraging rates. The removal of a territorial individual from large groups resulted in a domino-like effect in territory relocation of the remaining fish as individuals moved to the territory previously occupied by the individual just above them in the group hierarchy. Individuals added to existing groups generally failed to gain access to territories, despite being formerly dominant in their original groups. When given the opportunity to choose a location in the absence of larger competitors, gobies frequently preferred positions that were previously defended and that had abundant food. These results suggest that intraspecific competition for resources creates the observed dominance structures and provides support for the role of individual physical attributes in the formation and maintenance of dominance hierarchies. (C) 2004 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","PT","include","intraspecific","Resource competition","",NA,NA,NA,NA,NA,NA,NA
"12","MA109",12,"Dynamics of populations with individual variation in dispersal on bounded domains","Most classical models for the movement of organisms assume that all individuals have the same patterns and rates of movement (for example, diffusion with a fixed diffusion coefficient) but there is empirical evidence that movement rates and patterns may vary among different individuals. A simple way to capture variation in dispersal that has been suggested in the ecological literature is to allow individuals to switch between two distinct dispersal modes. We study models for populations whose members can switch between two different nonzero rates of diffusion and whose local population dynamics are subject to density dependence of logistic type. The resulting models are reaction-diffusion systems that can be cooperative at some population densities and competitive at others. We assume that the focal population inhabits a bounded region and study how its overall dynamics depend on the parameters describing switching rates and local population dynamics. (Traveling waves and spread rates have been studied for similar models in the context of biological invasions.) The analytic methods include ideas and results from reaction-diffusion theory, semi-dynamical systems, and bifurcation/continuation theory.","CM","include","intraspecific","theoretical/modelling, cooperation",NA,"Dynamics of populations with individual variation in dispersal on bounded domains","Most classical models for the movement of organisms assume that all individuals have the same patterns and rates of movement (for example, diffusion with a fixed diffusion coefficient) but there is empirical evidence that movement rates and patterns may vary among different individuals. A simple way to capture variation in dispersal that has been suggested in the ecological literature is to allow individuals to switch between two distinct dispersal modes. We study models for populations whose members can switch between two different nonzero rates of diffusion and whose local population dynamics are subject to density dependence of logistic type. The resulting models are reaction-diffusion systems that can be cooperative at some population densities and competitive at others. We assume that the focal population inhabits a bounded region and study how its overall dynamics depend on the parameters describing switching rates and local population dynamics. (Traveling waves and spread rates have been studied for similar models in the context of biological invasions.) The analytic methods include ideas and results from reaction-diffusion theory, semi-dynamical systems, and bifurcation/continuation theory.","NM","include","intraspecific","theoretical/modelling; competition-cooperation","",NA,NA,NA,NA,NA,NA,NA
"13","MA11",13,"Age-dependent change of coalitionary strategy in male Barbary macaques","Inter-and intra-specific variation in the propensity to form coalitions has been explained by variation in the availability of suitable partners, distribution of fighting ability, coalition profitability, and costs of coordination. Male coalition formation can be an alternative reproductive strategy to one-on-one competition to maximize male reproductive success. Here we focus on age as a state variable to explain within-group variation in individual propensity to form coalitions against other group members. We specifically test the prediction that males conditionally switch from a solo strategy for achievement of high mating success to a cooperative strategy after reaching post-prime age in male Barbary macaques (Macaca sylvanus). We combined new observations with data collected in 2006 and 2008 on the same individuals from one captive group living in semi-natural conditions at Affenberg Salem, Germany, and found that in all years males between 5 and 13 years formed significantly fewer coalitions than males 14 years and older (post-prime). More importantly, we found those males that aged into the post-prime phase to have switched their reproductive strategy and to form significantly more coalitions in 2014 compared to 2008. These first longitudinal data together with earlier cross-sectional analyses in this and other primate species suggest that group-level measures of coalition propensity may be strongly affected by the age composition of groups and that male coalition formation can be a conditional reproductive strategy.  Author(s) 2017.","KJB","include","intraspecific","coalition formation","Not sure if the effect is driven by variation (seems to be driven by the fact that stronger individuals are available, and hence by variation in quality)","Age-dependent change of coalitionary strategy in male Barbary macaques","Inter-and intra-specific variation in the propensity to form coalitions has been explained by variation in the availability of suitable partners, distribution of fighting ability, coalition profitability, and costs of coordination. Male coalition formation can be an alternative reproductive strategy to one-on-one competition to maximize male reproductive success. Here we focus on age as a state variable to explain within-group variation in individual propensity to form coalitions against other group members. We specifically test the prediction that males conditionally switch from a solo strategy for achievement of high mating success to a cooperative strategy after reaching post-prime age in male Barbary macaques (Macaca sylvanus). We combined new observations with data collected in 2006 and 2008 on the same individuals from one captive group living in semi-natural conditions at Affenberg Salem, Germany, and found that in all years males between 5 and 13 years formed significantly fewer coalitions than males 14 years and older (post-prime). More importantly, we found those males that aged into the post-prime phase to have switched their reproductive strategy and to form significantly more coalitions in 2014 compared to 2008. These first longitudinal data together with earlier cross-sectional analyses in this and other primate species suggest that group-level measures of coalition propensity may be strongly affected by the age composition of groups and that male coalition formation can be a conditional reproductive strategy.  Author(s) 2017.","MW","include","intraspecific","cooperation/conflict","",NA,NA,NA,NA,NA,NA,NA
"14","MA110",14,"Ecological characteristics of insects that affect symbiotic relationships with mites","Parasites and pathogens that begin as symbionts, i.e., organisms living together in the same habitat, are some of the most promising drivers of species evolution. Because insects are highly diverse and important as ecosystem service agents and because mites can exert large effects on insect populations (capable of killing at least juveniles), insect-mite interactions have been analyzed from various perspectives, including evolutionary, ecological and pest-management perspectives. Here, I review and examine insect-mite symbiotic associations to develop hypotheses concerning the factors that maintain and develop their relationships. Previous studies have hypothesized that insect sociality and mite richness and specificity affect insect-mite interactions. I found that both solitary and social insects, including parasocial and subsocial insects, harbor numbers of symbionts including species-specific ones but few dangerous mite symbionts in their nests or habitats under natural conditions. Nest size or the amount of food resources in a nest may affect mite richness. On the basis of this review, I hypothesize that the insect characteristics relevant for mite symbiotic hosting are sharing the same habitat with mites and living in a nutrient-rich habitat. I also suggest that many cases of species-specific symbiosis began with phoresy. To test these hypotheses, phylogenetic information on mites living with insect groups and quantitative analysis to characterize each insect-mite relationship are necessary.  2013 The Entomological Society of Japan.","CM","include","interspecific","review, insect-mite relationships, host-symbiont",NA,"Ecological characteristics of insects that affect symbiotic relationships with mites","Parasites and pathogens that begin as symbionts, i.e., organisms living together in the same habitat, are some of the most promising drivers of species evolution. Because insects are highly diverse and important as ecosystem service agents and because mites can exert large effects on insect populations (capable of killing at least juveniles), insect-mite interactions have been analyzed from various perspectives, including evolutionary, ecological and pest-management perspectives. Here, I review and examine insect-mite symbiotic associations to develop hypotheses concerning the factors that maintain and develop their relationships. Previous studies have hypothesized that insect sociality and mite richness and specificity affect insect-mite interactions. I found that both solitary and social insects, including parasocial and subsocial insects, harbor numbers of symbionts including species-specific ones but few dangerous mite symbionts in their nests or habitats under natural conditions. Nest size or the amount of food resources in a nest may affect mite richness. On the basis of this review, I hypothesize that the insect characteristics relevant for mite symbiotic hosting are sharing the same habitat with mites and living in a nutrient-rich habitat. I also suggest that many cases of species-specific symbiosis began with phoresy. To test these hypotheses, phylogenetic information on mites living with insect groups and quantitative analysis to characterize each insect-mite relationship are necessary.  2013 The Entomological Society of Japan.","NM","include","interspecific","parasite-host","",NA,NA,NA,NA,NA,NA,NA
"16","MA112",16,"Ectosymbiosis is a critical factor in. the local benthic biodiversity of the Antarctic deep sea,","In deep-sea benthic environments, competition for hard substrates is a critical factor in the distribution and diversity of organisms. In this context, the occurrence of biotic substrates in addition to mineral substrates may change the characteristics of sessile fauna. We tested this hypothesis at different localities of the Weddell Sea (Antarctica) by Studying the diversity of ectosymbionts living on the spines of cidaroids (echinoids), The presence of cidaroids promoted a higher total specific richness and increased sessile species abundance, but did riot change the diversity. Analyses of species distribution suggested that the cidaroids are a favourable habitat for sessile organisms, compared to rocks, but are colonized by relatively specialist sessile Species, leaving the unfavourable rock habitat to more generalist species. Therefore, our study highlights the role of some living organisms, such as cidaroids, as key species increasing Antarctic benthic deep-sea species richness through the niche they provide to symbiotic species.","UE","include","interspecific","cooperation observation","","Ectosymbiosis is a critical factor in. the local benthic biodiversity of the Antarctic deep sea","In deep-sea benthic environments, competition for hard substrates is a critical factor in the distribution and diversity of organisms. In this context, the occurrence of biotic substrates in addition to mineral substrates may change the characteristics of sessile fauna. We tested this hypothesis at different localities of the Weddell Sea (Antarctica) by Studying the diversity of ectosymbionts living on the spines of cidaroids (echinoids), The presence of cidaroids promoted a higher total specific richness and increased sessile species abundance, but did riot change the diversity. Analyses of species distribution suggested that the cidaroids are a favourable habitat for sessile organisms, compared to rocks, but are colonized by relatively specialist sessile Species, leaving the unfavourable rock habitat to more generalist species. Therefore, our study highlights the role of some living organisms, such as cidaroids, as key species increasing Antarctic benthic deep-sea species richness through the niche they provide to symbiotic species.","PT","include","interspecific","Symbionts","",NA,NA,NA,NA,NA,NA,NA
"18","MA114",18,"Effects of competitive and cooperative interaction among neighboring trees on tree growth in a naturally regenerated even-aged Larix sibirica stand in considering height stratification","This study attempted to explain the variation in growth of individual trees in a naturally regenerated, even-aged Larix sibirica stand using indices that represented the competitive and cooperative interactions among neighboring trees. These interaction indices and DBH were used in stepwise multiple regression procedures to model the growth of individual trees. However, when the data from all trees were used, DBH was the only factor accepted in the growth model. Since DBH can be influenced by the cumulative effect of past interaction and other environmental factors, we stratified the stand into three height strata and repeated the stepwise procedure for each stratum to remove the cumulative effect represented by DBH. Several competition and/or cooperation indices were accepted in growth models of the lower, middle and upper strata. In each stratum, the residual mean square of the growth model was smaller than that of all strata. These facts suggested that height stratification was generally successful in reducing the cumulative effect of past interaction and other factors. The cooperation indices that suggested protection from wind stress by neighboring trees was a significant variable in the growth models of all three strata. This demonstrated that cooperative interaction should be considered in the explanation of variation in tree growth in dry and windy climates such as the present study region.","CF","include","intraspecific","Cooperation","","Effects of competitive and cooperative interaction among neighboring trees on tree growth in a naturally regenerated even-aged Larix sibirica stand in considering height stratification","This study attempted to explain the variation in growth of individual trees in a naturally regenerated, even-aged Larix sibirica stand using indices that represented the competitive and cooperative interactions among neighboring trees. These interaction indices and DBH were used in stepwise multiple regression procedures to model the growth of individual trees. However, when the data from all trees were used, DBH was the only factor accepted in the growth model. Since DBH can be influenced by the cumulative effect of past interaction and other environmental factors, we stratified the stand into three height strata and repeated the stepwise procedure for each stratum to remove the cumulative effect represented by DBH. Several competition and/or cooperation indices were accepted in growth models of the lower, middle and upper strata. In each stratum, the residual mean square of the growth model was smaller than that of all strata. These facts suggested that height stratification was generally successful in reducing the cumulative effect of past interaction and other factors. The cooperation indices that suggested protection from wind stress by neighboring trees was a significant variable in the growth models of all three strata. This demonstrated that cooperative interaction should be considered in the explanation of variation in tree growth in dry and windy climates such as the present study region.","NM","include","intraspecific","competition-cooperation; plants","",NA,NA,NA,NA,NA,NA,NA
