"","label","title","author","journal","issn","volume","number","pages","year","doi","abstract","n_duplicates","AbstractID","screener initials","include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include)","ecological scale (e.g. interspecific or intraspecific)","topic area (e.g. predator-prey, parasite-host, male-female)"
"219","X.ISI.000227254000001","Effects of biodiversity on ecosystem functioning: A consensus of current knowledge","Hooper, DU and Chapin, FS and Ewel, JJ and Hector, A and Inchausti, P and Lavorel, S and Lawton, JH and Lodge, DM and Loreau, M and Naeem, S and Schmid, B and Setala, H and Symstad, AJ and Vandermeer, J and Wardle, DA","ECOLOGICAL MONOGRAPHS","0012-9615",75,"1","3-35",2005,"10.1890/04-0922","Humans are altering the composition of biological communities through a variety of activities that increase rates of species invasions and species extinctions, at all scales, from local to global. These changes in components of the Earth's biodiversity cause concern for ethical and aesthetic reasons, but they also have a strong potential to alter ecosystem properties and the goods and services they provide to humanity. Ecological experiments, observations, and theoretical developments show that ecosystem properties depend greatly on biodiversity in terms of the functional characteristics of organisms present in the ecosystem and the distribution and abundance of those organisms over space and time. Species effects act in concert with the effects of climate, resource availability, and disturbance regimes in influencing ecosystem properties. Human activities can modify all of the above factors; here we focus on modification of these biotic controls. The scientific community has come to a broad consensus on many aspects of the relationship between biodiversity and ecosystem functioning, including many points relevant to management of ecosystems. Further progress will require integration of knowledge about biotic and abiotic controls on ecosystem properties, how ecological communities are structured, and the forces driving species extinctions and invasions. To strengthen links to policy and management, we also need to integrate our ecological knowledge with understanding of the social and economic constraints of potential management practices. Understanding this complexity, while taking strong steps to minimize current losses of species, is necessary for responsible management of Earth's ecosystems and the diverse biota they contain. Based on our review of the scientific literature, we are certain of the following conclusions: 1)Species' functional characteristics strongly influence ecosystem properties. Functional characteristics operate in a variety of contexts, including effects of dominant species, keystone species', ecological engineers, and interactions among species (e.g., competition, facilitation, mutualism, disease, and predation). Relative abundance alone is not always a good predictor of the ecosystem-level importance of a species, as even relatively rare species (e.g., a keystone predator) can strongly influence pathways of energy and material flows. 2) Alteration of biota in ecosystems via species invasions and extinctions caused by human activities has altered ecosystem goods and services in many well-documented cases. Many of these changes are difficult, expensive, or impossible to reverse or fix with technological solutions. 3) The effects of species loss or changes in composition, and the mechanisms by which the effects manifest themselves, can differ among ecosystem properties, ecosystem types, and pathways of potential community change. 4) Some ecosystem properties are initially insensitive to species loss because (a) ecosystems may have multiple species that carry out similar functional roles, (b) some species may contribute relatively little to ecosystem properties, or (c) properties may be primarily controlled by abiotic environmental conditions. 5) More species are needed to insure a stable supply of ecosystem goods and services as spatial and temporal variability increases, which typically occurs as longer time periods and larger areas are considered. We have high confidence in the following conclusions: 1) Certain combinations of species are complementary in their patterns of resource use and can increase average rates of productivity and nutrient retention. At the same time, environmental conditions can influence the importance of complementarity in structuring communities. Identification of which and how many species act in a complementary way in complex communities is just beginning. 2) Susceptibility to invasion by exotic species is strongly influenced by species composition and, under similar environmental conditions, generally decreases with increasing species richness. However, several other factors, such as propagule pressure, disturbance regime, and resource availability also strongly influence invasion success and often override effects of species richness in comparisons across different sites or ecosystems. 3) Having a range of species that respond differently to different environmental perturbations can stabilize ecosystem process rates in response to disturbances and variation in abiotic conditions. Using practices that maintain a diversity of organisms of different functional effect and functional response types will help preserve a range of management options. Uncertainties remain and further research is necessary in the following areas: 1) Further resolution of the relationships among taxonomic diversity, functional diversity, and community structure is important for identifying mechanisms of biodiversity effects. 2) Multiple trophic levels are common to ecosystems but have been understudied in biodiversity/ecosystem functioning research. The response of ecosystem properties to varying composition and diversity of consumer organisms is much more complex than responses seen in experiments that vary only the diversity of primary producers. 3) Theoretical work on stability has outpaced experimental, work, especially field research. We need long-term experiments to be able to assess temporal stability, as well as experimental perturbations to assess response to and recovery from a variety of disturbances. Design and analysis of such experiments must account for several factors that covary with species diversity. 4) Because biodiversity both responds to and influences ecosystem properties, understanding the feedbacks involved is necessary to integrate results from experimental communities with patterns seen at broader scales. Likely patterns of extinction and invasion need to be linked to different drivers of global change, the forces that structure communities, and controls on ecosystem properties for the development of effective management and conservation strategies. 5) This paper focuses primarily on terrestrial systems, with some coverage of freshwater systems, because that is where most empirical and theoretical study has focused. While the fundamental principles described here should apply to marine systems, further study of that realm is necessary. Despite some uncertainties about the mechanisms and circumstances under which diversity influences ecosystem properties, incorporating diversity effects into policy and management is essential, especially in making decisions involving large temporal and spatial scales. Sacrificing those aspects of ecosystems that are difficult or impossible to reconstruct, such as diversity, simply because we are not yet certain about the extent and mechanisms by which they affect ecosystem properties, will restrict future management options even further. It is incumbent upon ecologists to communicate this need, and the values that can derive from such a perspective, to those charged with economic and policy decision-making.",2,"MA219","","","",""
"236","X.ISI.000177589000014","Contrasting effects of Wolbachia on cytoplasmic incompatibility and fecundity in the haplodiploid mite Tetranychus urticae","Perrot-Minnot, MJ and Cheval, B and Migeon, A and Navajas, M","JOURNAL OF EVOLUTIONARY BIOLOGY","1010-061X",15,"5","808-817",2002,"10.1046/j.1420-9101.2002.00446.x","Recent studies on Wolbachia-induced incompatibility in haplodiploid insects and mites have revealed a diversity of cytoplasmic incompatibility (CI) patterns among host species. Here, we report intraspecific diversity in CI expression among four strains of the arrhenotokous mite Tetranychus urticae and in T. turkestani. Variability of CI expression within T. urticae ranged from no CI to complete CI, and included either female embryonic mortality or male conversion types of CI. A fecundity cost attributed to the infection with the high-CI Wolbachia strain was the highest ever recorded for Wolbachia (-80 to -100\% decrease). Sequence polymorphism at a 550-bp-portion of Wolbachia wsp gene revealed two clusters distant by 21\%, one of which included three Wolbachia strains infecting mite populations sampled from the same host-plant species, but showing distinct CI patterns. These data are discussed in the light of theoretical predictions on the evolutionary pathways followed in this symbiotic interaction.",2,"MA236","","","",""
"5","X.ISI.000471294800006","Capuchin monkeys (Sapajus {[}Cebus] apella) play Nash equilibria in dynamic games, but their decisions are likely not influenced by oxytocin","Smith, Mackenzie F. and Leverett, Kelly L. and Wilson, Bart J. and Brosnan, Sarah F.","AMERICAN JOURNAL OF PRIMATOLOGY","0275-2565",81,"4",NA,2019,"10.1002/ajp.22973","Comparative approaches to experimental economics have shed light on the evolution of social decision-making across a range of primate species, including humans. Here we replicate our previous work looking at six pairs of capuchin monkeys' (Sapajus {[}Cebus] apella) responses to scenarios requiring both coordination (Assurance Game) and anti-coordination (Hawk-Dove Game). This then provides a foundation for assessing their responses to two additional games, one with a scenario of beneficial cooperation with a temptation to defect (Prisoner's Dilemma) and one with an environment requiring changing strategies within short temporal proximity (Alternating Economic Game). We additionally explored the effects of exogenous oxytocin on decision-making. Oxytocin did not affect decisions in any of our games. Results from the first two games largely replicated our previous findings. Responses to the Prisoner's Dilemma were more varied than was seen in previous games, with pairs respectively cooperating, defecting, and failing to establish stable strategies. Such variability indicates that this game may be a good assay for individual differences in social decision-making. Finally, capuchins were able to flexibly switch between their previously established strategies within each of the different games, even when the games were presented within the same session, requiring strategy adjustments within short temporal proximity. These results build on earlier findings showing that capuchins can alter decision-making strategies as the context demands, which is likely essential for decision-making in naturally occurring contexts.",2,"MA5","","","",""
"60","X.ISI.000391105500011","Variation in growth of Damaraland mole-rats is explained by competition rather than by functional specialization for different tasks","Zottl, Markus and Thorley, Jack and Gaynor, David and Bennett, Nigel C. and Clutton-Brock, Tim","BIOLOGY LETTERS","1744-9561",12,"12",NA,2016,"10.1098/rsbl.2016.0820","In some eusocial insect societies, adaptation to the division of labour results in multimodal size variation among workers. It has been suggested that variation in size and growth among non-breeders in naked and Damaraland mole-rats may similarly reflect functional divergence associated with different cooperative tasks. However, it is unclear whether individual growth rates are multimodally distributed (as would be expected if variation in growth is associated with specialization for different tasks) or whether variation in growth is unimodally distributed, and is related to differences in the social and physical environment (as would be predicted if there are individual differences in growth but no discrete differences in developmental pathways). Here, we show that growth trajectories of non-breeding Damaraland mole-rats vary widely, and that their distribution is unimodal, contrary to the suggestion that variation in growth is the result of differentiation into discrete castes. Though there is no evidence of discrete variation in growth, social factors appear to exert important effects on growth rates and age-specific size, which are both reduced in large social groups.",2,"MA60","","","",""
"247","X.ISI.000076410600014","Inducible defence and the social evolution of herd immunity","Frank, SA","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8452",265,"1408","1911-1913",1998,"10.1098/rspb.1998.0519","Many organisms vary their level of investment in defensive characters. Protective traits may be induced upon exposure to predators or parasites. In a similar way, humans vaccinate in response to threatening epidemics. When most group members defend themselves, epidemics die out quickly because parasites cannot spread. A high level of group (herd) immunity is therefore beneficial to the group. There is, however, a well-known divergence between the optimum degree of induction for selfish individuals and the level of induction that maximizes group benefit. I develop two optimality models for the frequency of induction. The first model shows that higher relatedness favours more induction and a smaller difference between selfish and cooperative optima. The second model assumes variation in the vigour of individuals and therefore differences in the relative cost for induction. The model predicts that strong individuals induce more easily than weak individuals. Small differences in vigour cause a large divergence in the optimal levels of induction for strong and weak individuals. The concept of genetic relatedness in an evolutionary model is analogous to correlated interests and correlated strategies in an economic model of human behaviour. The evolutionary models presented here therefore provide a basis for further study of human vaccination.",2,"MA247","","","",""
"139","X.ISI.000306418200003","Sperm storage reflects within- and extra-pair mating opportunities in a cooperatively breeding bird","Kingma, Sjouke A. and Hall, Michelle L. and Peters, Anne","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","0340-5443",66,"8","1115-1123",2012,"10.1007/s00265-012-1363-y","In passerine birds, storage and maturation of sperm takes place in the cloacal protuberance (CP), an external swelling of the reproductive organ. The considerable variation in CP size among species is presumed to be a consequence of varying levels of sperm-competition, but whether individual variation in CP size within a species also reflects sperm competition is not well established. Here, we study temporal variation in male CP size in relation to within-pair and extra-pair mating opportunities and cuckoldry risk in purple-crowned fairy-wrens Malurus coronatus. This is a socially monogamous cooperatively breeding passerine that can breed year-round and has low levels of extra-pair paternity (in 6 \% of broods). We show that male CP size sharply increased a few weeks before, and rapidly regressed after his partner laid eggs, consistent with a cost of its maintenance and/or sperm production. Surprisingly, despite low levels of extra-pair paternity, CP size of non-breeding and pre-breeding males was positively correlated with the number of breeding females in the population, suggesting that CP size is sensitive to extra-pair mating opportunities. However, CP sizes do not seem to reflect cuckoldry risk: CP size of dominant males was unaffected by the presence of a subordinate that was unrelated to the dominant female, although those subordinates occasionally sire offspring, and had a larger CP than subordinates living with their mother. Our results suggest that, even in a species with low levels of extra-pair paternity, individual investment in sperm storage reflects both within-pair and, albeit to lesser extent, extra-pair mating opportunities.",2,"MA139","","","",""
"230","X.ISI.000220632600009","Some evolutionary aspects of the food-procuring group behavior in phylogenesis of primates","Malyukova, IV and Uvarova, IA and Molotova, NG and Nikitin, VS","JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY","0022-0930",39,"6","702-713",2003,"10.1023/B:JOEY.0000023490.87440.ea","The peculiarities were studied of the intragroup competitive and cooperative behavior of primates differing by the level of phylogenetic development, beginning from low-organized species of the higher primates to high-organized anthropoid monkeys (Callithrix jacchus, Cebus apella, Macaca mulatta, Papio hamaofrijas, Pan troglodytes). It has been shown that in all monkeys, under conditions of competitive feeding situation, there were changes of the complex behavioral forms observed at individual learning. Under conditions of the activity in pairs, the females of platyrrhine (New World) and lower narrow-nose (Old World) monkeys lost the possibility to realize the skill and food needs, so the programmed tasks were solved predominantly by the males. In chimpanzees, the change of indices of instrumental activity involved to the equal degree the male and female, and solution of the alternation task was higher in individual experiments. The age differences were revealed in the competitive behavior of chimpanzees in group. The realization of formed skills depended on the complex of factors including the requirements dominating in the given situation and the age and typological peculiarities, as well as the social rank of each monkey in the community. In rhesus macaques the capability for cooperative interaction was revealed under conditions of complex operant activity.",2,"MA230","","","",""
"70","X.ISI.000374207800016","Information use and resource competition: an integrative framework","Lee, Alexander E. G. and Ounsley, James P. and Coulson, Tim and Rowcliffe, J. Marcus and Cowlishaw, Guy","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8452",283,"1825",NA,2016,"10.1098/rspb.2015.2550","Organisms may reduce uncertainty regarding how best to exploit their environment by collecting information about resource distribution. We develop a model to demonstrate how competition can facilitate or constrain an individual's ability to use information when acquiring resources. As resource distribution underpins both selection on information use and the strength and nature of competition between individuals, we demonstrate interdependencies between the two that should be common in nature. Individuals in our model can search for resources either personally or by using social information. We explore selection on social information use across a comprehensive range of ecological conditions, generalizing the producer scrounger framework to a wide diversity of taxa and resources. We show that resource ecology defined by scarcity, depletion rate and monopolizability determines patterns of individual differences in social information use. These differences suggest coevolutionary processes linking dominance systems and social information use, with implications for the evolutionary demography of populations.",2,"MA70","","","",""
"100","X.ISI.000344075300022","Population Dynamics and Growth Rates of Endosymbionts During Diaphorina citri (Hemiptera, Liviidae) Ontogeny","Alda Dossi, Fabio Cleisto and da Silva, Edney Pereira and Consoli, Fernando Luis","MICROBIAL ECOLOGY","0095-3628",68,"4","881-889",2014,"10.1007/s00248-014-0463-9","The infection density of symbionts is among the major parameters to understand their biological effects in host-endosymbionts interactions. Diaphorina citri harbors two bacteriome-associated bacterial endosymbionts (Candidatus Carsonella ruddii and Candidatus Profftella armatura), besides the intracellular reproductive parasite Wolbachia. In this study, the density dynamics of the three endosymbionts associated with the psyllid D. citri was investigated by real-time quantitative PCR (qPCR) at different developmental stages. Bacterial density was estimated by assessing the copy number of the 16S rRNA gene for Carsonella and Profftella, and of the ftsZ gene for Wolbachia. Analysis revealed a continuous growth of the symbionts during host development. Symbiont growth and rate curves were estimated by the Gompertz equation, which indicated a negative correlation between the degree of symbiont-host specialization and the time to achieve the maximum growth rate (t{*}). Carsonella densities were significantly lower than those of Profftella at all host developmental stages analyzed, even though they both displayed a similar trend. The growth rates of Wolbachia were similar to those of Carsonella, but Wolbachia was not as abundant. Adult males displayed higher symbiont densities than females. However, females showed a much more pronounced increase in symbiont density as they aged if compared to males, regardless of the incorporation of symbionts into female oocytes and egg laying. The increased density of endosymbionts in aged adults differs from the usual decrease observed during host aging in other insect-symbiont systems.",2,"MA100","","","",""
"131","X.ISI.000313606500006","Host-parasite dynamics lead to mixed cooperative games","Stopka, Pavel and Johnson, Dominic D. P.","FOLIA ZOOLOGICA","0139-7893",61,"3-4","233-238",2012,NA,"Although the Prisoner's dilemma is a leading metaphor for the evolution of sociality, only a few studies demonstrate that this game indeed operates in nature. We offer an alternative perspective, in which parasites and their hosts are used as a model system, suggesting that Prisoner's dilemma may be rare due to different individuals experiencing variation in the payoffs they receive from alternative strategies. Ectoparasites (such as fleas) move stochastically between hosts, causing differential parasite burdens. The resulting variance in the need for cooperation - in this case cooperative allogrooming - means that payoffs for different strategies (e.g. cooperate and defect) are not fixed. Our simulations revealed that due to parasite dynamics, cooperation among hosts conforms to a mixture of two games: Mutualism and Cruel Bind, both of which are more likely to coerce individuals into mutual cooperation than Prisoner's dilemma. Though interesting, Prisoner's dilemma is in fact the least likely scenario. If payoff variation is common, the dominance of the Prisoner's dilemma paradigm may have made us unnecessarily puzzled by cooperation in nature.",2,"MA131","","","",""
