abstract.id,studytype,interaction,scale,decision,,,,,,,
MA222,Experimental,"Host-symbiont, Competition-cooperation",Interspecific,Maybe,,,,,,,
MA10,Experimental,"Host-symbiont, Consumer-resource/predator-prey",Interspecific,Maybe,,,,,,,
MA202,"Experimental, network approach",plant-animal,Interspecific,Maybe,,,,,,,
MA367,Observational,Host-symbiont,Interspecific,Maybe,,,,,,,
MA163,"Observational, Experimental",Host-symbiont,Interspecific,Maybe,,,,,,,
MA60,Observational,"Consumer-resource/predator-prey, Plants - seed dispersers/predators",Interspecific,Yes,,,,,,,
MA92,Experimental,"Consumer-resource/predator-prey, Plant-pollinator/seed predator",Interspecific,Yes,,,,,,,
MA209,Experimental,Host-symbiont,Interspecific,Yes,,,,,,,
MA73,Review,Host-symbiont,Interspecific,Yes,,,,,,,
MA160,Observational,"Host-symbiont, Consumer-resource/predator-prey",Interspecific,Yes,,,,,,,
MA175,Experimental,Consumer-resource/predator-prey,Interspecific,Yes,,,,,,,
MA411,"Observational, Experimental",Host-symbiont,Both,Yes,,,,,,,
MA199,"Modelling/theory, Review",Consumer-resource/predator-prey,Both,Maybe,,,,,,,
MA159,"Observational, Experimental",Host-symbiont,Both,Yes,,,,,,,
MA130,Review,"Host-symbiont, Competition-cooperation",Both,Maybe,,,,,,,
MA109,Modelling/theory,"Abstract interaction (type not specified, but relates to invasions)",Interspecific,Maybe,,,,,,,
MA290,Experimental,Host-symbiont,Interspecific,Maybe,,,,,,,
MA156,Experimental,Host-symbiont,Interspecific,Yes,,,,,,,
MA377,Review,"Host-symbiont, Competition-cooperation",Interspecific,Yes,,,,,,,
MA2,"Modelling/theory, Review",Consumer-resource/predator-prey,Interspecific,Yes,,,,,,,
MA267,Experimental,Competition-cooperation,Interspecific,Yes,,,,,,,
MA353,Modelling/theory,Competition-cooperation,Interspecific,Yes,,,,,,,
MA351,Experimental,Consumer-resource/predator-prey,Interspecific,Yes,,,,,,,
MA118,Modelling/theory,"Host-symbiont, Consumer-resource/predator-prey, Plant-animal (pollinator-seed parasite)",Interspecific,Yes,,,,,,,
MA294,Modelling/theory,interdependency of functions between organisms (something like cooperation),Both,Yes,,,,,,,
MA183,Modelling/theory,Cooperation in removing parasites,Both,Maybe,,,,,,,
MA162,Experimental,"Competition-cooperation, Consumer-resource/predator-prey",Both,Maybe,,,,,,,
MA18,Modelling/theory,Consumer-resource/predator-prey,Both,Yes,,,,,,,
MA344,Observational,Competition-cooperation,Both,Yes,,,,,,,
MA360,Synthesis (supposedly!),Competition-cooperation,Both,Yes,,,,,,,
MA36,Experimental,Competition-cooperation,Intraspecific,Maybe,,,,,,,
MA76,Experimental,Competition-cooperation,Intraspecific,Yes,,,,,,,
MA52,Review,"It's just about cooperation level, so none of the above.",Intraspecific,Maybe,,,,,,,
MA43,Hypothesis - opinion paper,transition from single cells to multicellularity,Intraspecific,Maybe,,,,,,,
