row.id,abstract.id,TaskforceAllocation,FulltextTopicIdentifier,FulltextReviewer,title,author,journal,volume,number,pages,year,doi,,,,,,
13,MA28,Intraspecific,competition-cooperation,BC,"Bargaining power and adolescent aggression: the role of fighting ability, coalitional strength, and mate value","Sell, Aaron and Eisner, Manuel and Ribeaud, Denis",EVOLUTION AND HUMAN BEHAVIOR,37,2,105-116,2016,10.1016/j.evolhumbehav.2015.09.003,,,,,,
14,MA32,Intraspecific,competition-cooperation,BC,"Behavioural type, status and social context affect behaviour and resource allocation in cooperatively breeding cichlids","Riebli, Thomas and Taborsky, Michael and Chervet, Noemie and Apolloni, Nadine and Zuercher, Yvonne and Heg, Dik",ANIMAL BEHAVIOUR,84,4,925-936,2012,10.1016/j.anbehav.2012.07.017,,,,,,
21,MA43,Intraspecific,competition-cooperation,BC,Cheats as first propagules: A new hypothesis for the evolution of individuality during the transition from single cells to multicellularity,"Rainey, Paul B. and Kerr, Benjamin",BIOESSAYS,32,10,872-880,2010,10.1002/bies.201000039,,,,,,
50,MA106,Intraspecific,competition-cooperation,BC,Dominance hierarchies in group-living cleaning gobies: causes and foraging consequences,"Whiteman, EA and Cote, IM",ANIMAL BEHAVIOUR,67,2,239-247,2004,10.1016/j.anbehav.2003.04.006,,,,,,
77,MA164,Intraspecific,male-female,BC,Genetic clusters and sex-biased gene flow in a unicolonial Formica ant,"Holzer, Barbara and Keller, Laurent and Chapuisat, Michel",BMC EVOLUTIONARY BIOLOGY,9,NA,NA,2009,10.1186/1471-2148-9-69,,,,,,
78,MA173,Intraspecific,competition-cooperation,BC,Harsh childhood environmental characteristics predict exploitation and retaliation in humans,"McCullough, M.E. and Pedersen, E.J. and Schroder, J.M. and Tabak, B.A. and Carver, C.S.",Proceedings of the Royal Society B: Biological Sciences,280,1750,NA,2013,10.1098/rspb.2012.2104,,,,,,
79,MA174,Intraspecific,competition-cooperation,BC,Helping effort in primitively eusocial wasps,"Field, J. and Cant, M.",Annales Zoologici Fennici,43,05-Jun,481-487,2006,NA,,,,,,
142,MA320,Intraspecific,male-female,BC,"Sexual conflict, ecology, and breeding systems in shorebirds","Szkely, T. and Thomas, G.H. and Cuthill, I.C.",BioScience,56,10,801-808,2006,10.1641/0006-3568(2006)56[801:SCEABS]2.0.CO;2,,,,,,
146,MA332,Intraspecific,competition-cooperation,BC,Social complementation and growth advantages promote socially defective bacterial isolates,"Kraemer, S.A. and Velicer, G.J.",Proceedings of the Royal Society B: Biological Sciences,281,1781,NA,2014,10.1098/rspb.2014.0036,,,,,,
150,MA339,Intraspecific,male-female,BC,"Sociosexuality, testosterone, and life history status: prospective associations and longitudinal changes among men in Cebu, Philippines","Gettler, Lee T. and Kuo, Patty X. and Rosenbaum, Stacy and Avila, Josephine L. and McDade, Thomas W. and Kuzawa, Christopher W.",EVOLUTION AND HUMAN BEHAVIOR,40,2,249-258,2019,10.1016/j.evolhumbehav.2018.11.001,,,,,,
161,MA361,Intraspecific,competition-cooperation,BC,Testis size depends on social status and the presence of male helpers in the cooperatively breeding cichlid Julidochromis ornatus,"Awata, S. and Heg, D. and Munehara, H. and Kohda, M.",Behavioral Ecology,17,3,372-379,2006,10.1093/beheco/arj043,,,,,,
164,MA369,Intraspecific,competition-cooperation,BC,The effect of attachment and environmental manipulations on cooperative behavior in the prisoner's dilemma game,"Taheri, M. and Rotshtein, P. and Beierholm, U.",PloS one,13,11,e0205730,2018,10.1371/journal.pone.0205730,,,,,,
169,MA375,Intraspecific,competition-cooperation,BC,The extended personality: indirect effects of behavioural syndromes on the behaviour of others in a group-living cichlid,"Hamilton, Ian M. and Ligocki, Isaac Y.",ANIMAL BEHAVIOUR,84,3,659-664,2012,10.1016/j.anbehav.2012.06.022,,,,,,
8,MA14,Intraspecific,male-female,CF,"All signals are not equal: acoustic signalling of individuality, sex and breeding status in a cooperative breeder","Warrington, Miyako H. and McDonald, Paul G. and Rollins, Lee Ann and Griffith, Simon C.",ANIMAL BEHAVIOUR,93,NA,249-260,2014,10.1016/j.anbehav.2014.05.007,,,,,,
