abstract.id,row.id,TaskforceAllocation,FulltextTopicIdentifier,FulltextReviewer.initial,title,author,journal,volume,number,pages,year,doi,Timestamp,FulltextReviewer,StudyType,InteractionType,Scale,SpeciesInteracting,TraitDescription,SpeciesTraitVariation,GeneticNotes,What.is.the.scale.of.the.shift,Is.there.a.shift.in.the.interaction,What.is.the.direction.of.shift,What.factors.are.driving.that.shift,What.is.the.ecological.impact.of.the.interaction.and.shift.of.that.interaction,Is.there.a.connection.to.the.NC3,Reviewer.notes,Reviewer.outstanding.concerns,ReviewerDecision,ReviewerDecisionReason,ReviewerDecision.checked.by,FinalDecision,FinalDecisionReason,FinalDecisionNotes
MA197,87,Intraspecific,competition-cooperation,UE,Individual and genetic task specialization in policing behaviour in the European honeybee,"Ernst, U.R. and Cardoen, D. and Cornette, V. and Ratnieks, F.L.W. and de Graaf, D.C. and Schoofs, L. and Verleyen, P. and Wenseleers, T.",Animal Behaviour,128,NA,95-102,2017,10.1016/j.anbehav.2017.04.005,02/05/2020 05:11,UE,Experimental,Competition-cooperation,Intra-specific (within population),Apis mellifera,policing behaviour,Apis mellifera,yes; patriline specialisation,"Individuals, patrilines",no,"Not really a shift; some patrilines do police more than others, but most likely all do",NA,None,"yes; indiviudal differences, patriline differences",NA,NA,No,There is no shift in the quality of the interaction,MW/NM,pending,,"[NM: I think it should be included, as this is about policing non-cooperative behaviours, which fits in with systematic mechanisms controlling shifts between cooperation and competition in social groups (we have also included 2 other papers about policing, MA286, MS297)]"
MA32,14,Intraspecific,competition-cooperation,BC,"Behavioural type, status and social context affect behaviour and resource allocation in cooperatively breeding cichlids","Riebli, Thomas and Taborsky, Michael and Chervet, Noemie and Apolloni, Nadine and Zuercher, Yvonne and Heg, Dik",ANIMAL BEHAVIOUR,84,4,925-936,2012,10.1016/j.anbehav.2012.07.017,11/24/2019 20:11:38,BC,Experimental,Competition-cooperation,Intra-specific (within population),Neolamprologus pulcher,body size,Neolamprologus pulcher,,Individuals,no,no shift,NA,NA,no,NA,no,No,"There is no evidence of trait variation, There is no shift in the quality of the interaction",MW/NM,pending,,"[NM: I think it may be included, as behavioural trait variation (aggression), is influencing social interactions where competition and cooperation covary]"
MA48,23,Intraspecific,competition-cooperation,NL,Coalitions destabilize dyadic dominance relationships in male Barbary macaques (Macaca sylvanus),"Berghaenel, Andreas and Ostner, Julia and Schuelke, Oliver",BEHAVIOUR,148,Nov-13,1257-1275,2011,10.1163/000579511X600628,01/11/2020 01:33,NL,"Observational, Observers provoked antagonistic interactions between individuals",Competition-cooperation,Intra-specific (within population),"Barbary macaques, Macaca sylvanus","Age, Behavioural phenotype",Barbary macaque,no,NA,no,NA,NA,NA,no,,no clear shift in the interaction between mutualism and antagonism,No,No relevant interaction,MW/NM,pending,,"[NM: I think it may be included, you could consider variation in size/power with age decreases the likelihood of cooperative relationships forming with other males, in the context of competition for dominance]"
MA264,117,Interspecific,host-symbiont,RR,Ontogenetic shifts in a freshwater cleaning symbiosis: consequences for hosts and their symbionts,"Thomas, Michael J. and Creed, Robert P. and Skelton, James and Brown, Bryan L.",ECOLOGY,97,6,1507-1517,2016,10.1890/15-1443.1,12/27/2019 8:49:51,RR,Experimental,Host-symbiont,Inter-specific (>2 species),Cambarus bartonii (cray fish) and Cambarincola philadelphicus and Cambarincola ingens (  branchiobdellidan annelids ),size or ontogenic stage,host (cray fish),"No, it is about the variation in size at different life stages",the symbiont composition changes with the size difference at different life changes.,the study shows a rapid removal rate of the worms by smaller hosts. ALso there was  gill scarring by the worms on the hosts but dont have a net negative effect.But in general it is stated about the interaction that the worms can turn parasites when there is food limitation.,the dominating symbiotic species changes with host ontogeny due to removal of the symbiont species by host differentially at different life stages.,the shift in symbiont composition was due to ability of the symbionts to avoid removal by host which inturn depends on the size of the specific symbiont species and the specific life stage (size) of the host,no such information obtained from the paper,no,,,No,"The trait varies between species, not within-species",MW/NM,pending,,"[NM: I think it may be included, as there is an interaction (host-symbiont), variation (body size), and in smaller crayfish Cambarincola philadelphicus did some damage to the host (mutualistic interaction became more antagonistic). It is not the primary focus, and not a super clear shift, but it does seem like the symbionts can become damaging parasites depending on the size/state of the host car]"
MA345,154,Modelling,n/a,KJB,Spatial evolutionary dynamics produce a negative cooperation-population size relationship,"Tekwa, Edward W. and Gonzalez, Andrew and Loreau, Michel",THEORETICAL POPULATION BIOLOGY,125,NA,94-101,2019,10.1016/j.tpb.2018.12.003,2/15/2020 10:23:58,KJB,Modelling/theory,Competition-cooperation,Intra-specific (within population),NA,"Discrete types, cooperator type and defector type",NA,NA,Populations,"Yes, abiotic factors (degree of clustering) affect whether cooperators are maintained in the population.",Antagonistic to mutualistic,Abiotic,Population density,"Maybe, there are two discrecte types that can be maintained.",NA,No clear connection between trait *variation* and interaction.,No,There is no evidence of trait variation,MW/NM,pending,,"[NM: I think it may be included, considing the trait to be the 'level of movement', It just really seems relevant enough]"
MA371,166,Modelling,n/a,KJB,The effects of behavioral plasticity and leadership on the predictions of optimal skew models,"Hamilton, Ian M.",BEHAVIORAL ECOLOGY,24,2,444-456,2013,10.1093/beheco/ars182,2/15/2020 7:14:52,KJB,Modelling/theory,Group persistence,Intra-specific (within population),NA,model 1 : Share of group productivity allocated to partner and partner's threshold for group dissolution. Model 2: competitive ability of both partners,"The traits don't really vary (multiple trait values are being considered, but populations with multiple trait values in them at the same time are not)","No, although relatedness is taken as a parameter.",Individuals,Not in the sense that we are looking for. Group dissolution is discussed though as the outcome of an interaction.,Mutualistic to antagonistic,The willingness to share the group productivity.,unknown,"Yes, in the sense that the paper distinguishes two types of individuals that play different roles (leaders and subordinates).",NA,No,No,There is no evidence of trait variation,MW/NM,pending,,"[NM: I think it may be included, as there is intraspecific variation (among groups) in trait values, and resulting changes in reproductive skew could be interpreted as variation in the cooperation-competition relationship between group members.]"
MA28,13,Intraspecific,competition-cooperation,BC,"Bargaining power and adolescent aggression: the role of fighting ability, coalitional strength, and mate value","Sell, Aaron and Eisner, Manuel and Ribeaud, Denis",EVOLUTION AND HUMAN BEHAVIOR,37,2,105-116,2016,10.1016/j.evolhumbehav.2015.09.003,11/24/2019 20:01:29,BC,testing hypothesis on an existing observational data set,Competition-cooperation,Intra-specific (within population),Homo sapiens,"fighting ability, coalitional strength, and mate value",humans,no,Individuals,"no, coalitional strength and fighting ability (i.e. bargaining power) correlates with aggressive behaviour",no shift present,NA,NA,"perhaps, individual variation in bargaining power and aggression ","It does report coalition strength (mutualism) and aggression (antagonism), but there is no shift, both traits correlate positively,  ",no,Yes,Humans as a study subject (note: this is currently being treated as an exclusion criteria),MW/NM,pending,,"[NM: This will be excluded, as empirical studies on humans are being excluded (note, modelling, theory studies that are based on humans but are generalisable may be included)]"
MA351,155,Interspecific,host-symbiont,NC,State-dependent parasitism by a facultative parasite of fruit flies,"Luong, L.T. and Brophy, T. and Stolz, E. and Chan, S.J.",Parasitology,144,11,1468-1475,2017,10.1017/S0031182017000890,01/06/2020 09:07,NC,Experimental,Consumer-resource/predator-prey,Inter-specific (2 species),"Macrocheles subbadius, Drosophila nigrospiracula","Starvation, mating status of mite, previous infection and injury of host",both,No,Individuals,"Yes, from free-living to antagonism/parasitism",Mutualistic to antagonistic,"Ecological, resource-availability",Increase of parasitism,Yes,,Shift is from neutral to antagonism and is resource-availability/demand -driven,Yes,,MW/NM,pending,,"[NM: I would exclude as no evidence of variation in mutualism (only anagonistic variation, not along the m-a continuum)]"
MA359,159,Modelling,n/a,KJB,Symbiotic sympatric speciation through interaction-driven phenotype differentiation,"Kaneko, K and Yomo, T",EVOLUTIONARY ECOLOGY RESEARCH,4,3,317-350,2002,NA,02/04/2020 06:33,KJB,Modelling/theory,Competition-cooperation,"Inter-specific (2 species), Intra-specific (within population), Moving from one species to multiple",NA,Competititive similarity,All,"Heritability is initially low, but later increases (as a product of the model)",Individuals,"Yes (competition decreases, the paper is between neutral and antagonistic)",Antagonistic to less antagonistic,Avoiding similarity to decrease competitive pressure,Speciation,Individuals develop different genotypes to fit their self-formed niche.,,"Mutualism doesn't seem to appear.Also, the notation was hard to follow, unsure if I understood the paper fully.",Yes,,MW/NM,pending,,"[NM: I would exclude as no evidence of variation in mutualism (only anagonistic variation, not along the m-a continuum)]"
MA159,73,Interspecific,plant-animal,NC,From species to individuals: does the variation in ant-plant networks scale result in structural and functional changes?,"Koch, Elmo B. A. and Dattilo, Wesley and Camarota, Flavio and Vasconcelos, Heraldo L.",POPULATION ECOLOGY,60,4,309-318,2018,10.1007/s10144-018-0634-5,01/08/2020 08:07,NC,"Observational, Experimental",Host-symbiont,"Inter-specific (>2 species), Intra-specific (within population)","Caryocar brasiliense, 47 species of mutualistic ants, herbivore termites",Plant individual-specific species richness and abundance of ants (network nestedness),Caryocar brasiliense,No,"Individuals, communities of mutualist species",between mutualism and less mutualism,Mutualistic to antagonistic,NA,Better protection from termites through higher nestness (more diverse and abundant ant communities),Yes,,Underlying reason for individuality unknown. Actual selection pressure on trait unknown.,Yes,,MW/NM,pending,,"[NM: I would exclude as no evidence of variation in antagonism (only mutualistic variation, not along the m-a continuum)]"
