abstract.id,row.id,TaskforceAllocation,FulltextTopicIdentifier,FulltextReviewer.initial,title,author,journal,volume,number,pages,year,doi,Timestamp,FulltextReviewer,StudyType,InteractionType,Scale,SpeciesInteracting,TraitDescription,SpeciesTraitVariation,GeneticNotes,What.is.the.scale.of.the.shift,Is.there.a.shift.in.the.interaction,What.is.the.direction.of.shift,What.factors.are.driving.that.shift,What.is.the.ecological.impact.of.the.interaction.and.shift.of.that.interaction,Is.there.a.connection.to.the.NC3,Reviewer.notes,Reviewer.outstanding.concerns,ReviewerDecision,ReviewerDecisionReason,ReviewerDecision.checked.by,FinalDecision,FinalDecisionReason,FinalDecisionNotes
MA109,52,Modelling,n/a,PT,Dynamics of populations with individual variation in dispersal on bounded domains,"Cantrell, Robert Stephen and Cosner, Chris and Yu, Xiao",JOURNAL OF BIOLOGICAL DYNAMICS,12,1,288-317,2018,10.1080/17513758.2018.1445305,12/12/2019 10:45,PT,Modelling/theory,Non-specific,Interspecific,u and v,Dispersal switching rate (and rate of local dynamical processes),"In some ways, both.  In another way, neither.",No.,Species,Yes. (Woo hoo!),"Either.  (When switching rate is high, the system is cooperative, when low, it's antagonistic.)",Mainly the switching rate between modes of migration,"Aside from cooperative/antagonistic, the stability of the system and the speed of invasion waves, I think.  (I'd need considerable time to really absorb this paper; it's quite maths-heavy.)","Hmm, probably not (aside from bieng useful for this project)","It's not an easy paper to digest; will take some deep thought to know how best to summarise it for the review, as the inputs are single (rate) values -- so it could be argued to *not* be relevant.  I think it's the sort of approach that Meike is more used to than I am -- so she may be able to digest it much more easily.","It's really that the trait gets set (high or low rate of switching between migration modes) and this then governs mutulaism/antagonism.  So it's not really that the trait itself varies, as it's an input.  However, I think the paper is still relevant to this review, as it says what should happen depending on that input.",Maybe,"There is no evidence of trait variation, It allows at trait to vary, and as that trait value cahnges, so does the cooperation/antagonism.  Which is why it's a maybe; it depends whether we can then interpret results in terms of subpopulations with different input values -- and that will require considerable thought.",NM,Include,,"Following reviewer reasoning, changing the trait in the model is shifts the quality of the interaction implying intraspecific variation in such a trait can shift the interaction"
MA224,104,Interspecific,host-symbiont,JK,Intraspecific variation in indirect plant-soil feedbacks influences a wetland plant invasion,"Allen, Warwick J. and Meyerson, Laura A. and Flick, Andrew J. and Cronin, James T.",ECOLOGY,99,6,1430-1440,2018,10.1002/ecy.2344,2/26/2020 8:20:01,JK,Experimental,Competition-cooperation,Interspecific,"Phragmites australis, Spartina alterniflora, soil biota","P. australis lineages (invasive, native)",P. australis,P. australis lineages differ genetically,Populations,yes,Antagonistic to mutualistic,soil biota,invasion success,potential niche construction via soil biota,complex interaction of two plant species mediated via soil,,Yes,,NM,Include,,Agree with reviewer decision
MA71,32,Modelling,n/a,KJB,Conflicting selection in the course of adaptive diversification: The interplay between mutualism and intraspecific competition,"Raimundo, R.L.G. and Gibert, J.P. and Hembry, D.H. and Guimares Jr., P.R.",American Naturalist,183,3,363-375,2014,10.1086/674965,02/04/2020 07:07,KJB,Modelling/theory,Competition-cooperation,Interspecific,NA,A 'magic' trait [literally taken from the paper],both,Offspring get the average of the parental trait values + a number from a normal distribution with mu =0 and sigma =0.05,"Species, Somehwat unclear as later the original species are again divided into subspecies.","The number of mutualistic partners that an individual typically encounters, determines how many species can co-exist.",Antagonistic to mutualistic,Number of mutualistic partner encountered,Speciation,Subniches are formed to respond to subniches in the mutualistic partner species,,,Maybe,"There is no evidence of trait variation, It is not so clear what happens when the amount of variation changes, rather the amount of variation is a prodcut of the model.",NM,Include,,Implied variation in abstract 'magic' trait is sufficent to meet the criteria
MA267,119,Interspecific,competition-cooperation,CM,Parabiotic associations between tropical ants: Equal partnership or parasitic exploitation?,"Menzel, F. and Blthgen, N.",Journal of Animal Ecology,79,1,71-81,2010,10.1111/j.1365-2656.2009.01628.x,12/12/2019 00:01,CM,Experimental,Competition-cooperation,Interspecific,Crematogaster modiglianii and Camponotus rufifemur (ant species),"nest initiation, foraging, trail.following, nest defence",both ant species,NA,nests as entities,yes,Mutualistic to antagonistic,Involvement of epiphyte (Poikilospermum cordifolium),foraging niches in parabiotic nests,different trophic niches in species interactions,NA,"somehow complex, a third ant species and a plant are also invloved in the interactions; I focused on the two main ant players",Yes,,NM,Include,,Agree with reviewer decision
MA353,157,Interspecific,competition-cooperation,CM,State-space modelling of the drivers of movement behaviour in sympatric species,"Prez-Barbera, F.J. and Small, M. and Hooper, R.J. and Aldezabal, A. and Soriguer-Escofet, R. and Bakken, G.S. and Gordon, I.J.",PLoS ONE,10,11,NA,2015,10.1371/journal.pone.0142707,12/12/2019 00:12,CM,Modelling/theory,Competition-cooperation,Interspecific,Ovis aries (sheep) and Cervus elaphus (red deer),"movement, food preferences, thermal insulation",in both species,NA,Individuals,yes,Mutualistic to antagonistic,density,multi-species animal movement under different babitat mosaics and abiotic environmental conditions,Potentially for movement data and density-dependence aspects,NA,NA,Yes,,NM,Include,,Agree with reviewer decision
MA263,116,Intraspecific,competition-cooperation,UE,On the reorganization of fitness during evolutionary transitions in individuality,"Michod, RE and Nedelcu, AM",INTEGRATIVE AND COMPARATIVE BIOLOGY,43,1,64-73,2003,10.1093/icb/43.1.64,02/06/2020 09:11,UE,Review,Competition-cooperation,Both,"e.g. origin of eukaryotic cell; green algae group, Volvocales (e.g. Volvox)",I am not sure,predessesors of eukayotic cells,no,"Individuals, I am not sure","""even if the groups initially form via antagonistic interactions, as may have been the case during the origin of the eukaryotic cell (e.g., (Maynard Smith and Szathma´ry, 1995; Michod and Nedelcu, 2003)""",Antagonistic to mutualistic,I do not know,"creating og higher order units, e.g. eukaryots, or multicellularity (or even higher units)",Shift from antagonism to cooperation at the origin from Eukaryots,,no clear trait,Yes,,NM,Include,,Agree with reviewer decision
MA344,153,Interspecific,competition-cooperation,NC,Spatial consequences for dolphins specialized in foraging with fishermen,"Cantor, Mauricio and Simoes-Lopes, Paulo C. and Daura-Jorge, Fabio G.",ANIMAL BEHAVIOUR,139,NA,19-27,2018,10.1016/j.anbehav.2018.03.002,01/06/2020 08:22,NC,Observational,Competition-cooperation,Both,"Tursiops truncatus, Homo sapiens",cooperativeness,Tursiops truncatus,No,,No,,,Cooperativeness decreases necessary foraging area and sometimes increases site conservatism.,"Yes, promotion of individual-level traits ",,No within-individual shift,Yes,,NM,Include,,"Agree with reviewer decision, among-individual variation in compeitive-cooperative interactions with fisherman if sufficient to show variation in the interaction"
MA360,160,Modelling,n/a,PT,Synthesizing perspectives on the evolution of cooperation within and between species,"Barker, J.L. and Bronstein, J.L. and Friesen, M.L. and Jones, E.I. and Reeve, H.K. and Zink, A.G. and Frederickson, M.E.",Evolution,71,4,814-825,2017,10.1111/evo.13174,01/09/2020 10:52,PT,Synthesis (supposedly!),Competition-cooperation,Both,n/a,"Level of cooperation, which in turn depends on various things like relatedness, resource-generating efficiency, competition, rates of evolution of asymmetric strategies, and outside options.",All.,No,"Individuals, Populations, Species",It focuses on the cooperation side.,"As usual, both -- depends on the circumstances.",Unspecified.,"Mainly just whether they cooperate or not (though left to the reader's imagination what that means if they're more efficient at foraging, etc.","Yes, but it doesn't really get into niches.",,Mainly jsut about cooperation -- not antagonism.,Yes,,NM,Include,,Agree with reviewer decision
MA76,35,Intraspecific,competition-cooperation,ET,Cooperation and conflict in ant foundress associations: insights from geographical variation,"Cahan, SH",ANIMAL BEHAVIOUR,61,4,819-825,2001,10.1006/anbe.2000.1671,11/21/2019 22:30:34,ET,Experimental,Competition-cooperation,Intraspecific,Messor pergandel,Behavioural phenotype,,No,"Individuals, Populations",Yes,"Mutualistic to antagonistic, Antagonistic to mutualistic",Social,Investment,Yes,"Non-social Foundresses shifted towards cooperation (regarding investment decisions) when in social context, whereas social Foundresses shifted towards competition.",,Yes,,NM,Include,,Agree with reviewer decision
MA8,4,Intraspecific,competition-cooperation,UE,Adaptations for social cognition in the primate brain,"Platt, M.L. and Seyfarth, R.M. and Cheney, D.L.",Philosophical Transactions of the Royal Society B: Biological Sciences,371,1687,NA,2016,10.1098/rstb.2015.0096,02/06/2020 21:50,UE,Review,Competition-cooperation,Intraspecific,"Old world monkeys, e.g.baboons (Papio spp.), Assamese macaques, Macaca assamensis; Barbary macaques, Macaca sylvana; geladas, Theropithecus gelada, chimpanzees, Pan troglodytes; rhesus macaques, Macaca mulatta","unclear, whether genetic, skills, motivation; some evidence for ""adaptive influence of genes on neural circuits and neuromodulatory systems mediating social function""",see Q6; experiments in Rhesus macaques,very little to date; some suggest some heritability (one study),Individuals,yes; individuals have to decide whether to cooperate and/or compete with each other,"Mutualistic to antagonistic, Antagonistic to mutualistic, can go forth and back, depending on the situation",likely individual decisions,[my interpretation:] selction for social behaviour,"yes, individual differences, personality",,"no clear shift, as individuals have to decide in each interaction whether they cooperate or compete",Yes,,NM,Include,,"Agree with reviewer decision, individual variation is considered in a range of neurological/behavioural traits that leads to variation along the m-a continuum"
