Timestamp,"Q1. Abstract ID (MA1, MA2 etc.)",Q2. Screener ID,Q3. Study Type,Q4. Interaction type,Q5. Ecological scale of the interaction,"Q6. Interacting species, scientific name(s)",Q7. What trait influences the quality of the interaction? (e.g. behavioural phenotype),Q8. In which species does the trait vary?,Q9. Is anything know about the genetic basis or heritability of the trait? (focusing on information provided by the paper only),"Q11. In what scale does the interaction shift between mutualistic and antagonistic (e.g. does the trait variation lead to individuals, populations or species varying along this continuum)",Q10. Does the study show a shift in the interaction between mutualism-antagonism?,Q12. What is the direction of shift?,"Q13. What factors are driving that shift? (e.g. ecological, abiotic, social)","Q14. What is the ecological impact of the interaction and shift of that interaction? (i.e. what ecological processes may be effected, focusing on information provided by the paper)",Q15. Is there a connection to the NC3? (e.g. the promotion and maintenance of individual-level traits or niche variation),Q17. Additional notes (include any points of significance that are not included in this questionnaire),"Q16. Do you have any outstanding concerns or questions about the paper (e.g. is there no clear trait that appears to vary, is there no clear shift in the interaction between mutualism and antagonism)",Q18. Do you think this paper can be included within the review (on the basis of our inclusion/exclusion criteria)?,"Q19. If No/Maybe, why?",,,,,,,
10/29/2019 0:30:18,MA11,JW,Observational,Competition-cooperation,Intra-specific (within population),Macaca sylvanus,Age,Macaca sylvanus (Barbary macaques),N/A,Individuals,Yes,competition to cooperation,social competition and competitive ability with age,"How coalition formation can change within-group reproductive success, population age structure, population dynamics. (My interpretation)","Age as a proxy for competitive ability, leads to inherent variation over time.",,No,Yes,,,,,,,,
11/12/2019 11:14:47,TEST,NM,TEST,TEST,TEST,TEST,TEST,TEST,TEST,TEST,TEST,TEST,TEST,TEST,TEST,TEST,TEST,No,TEST,,,,,,,
11/15/2019 14:10:29,MA62,NM,Modelling/theory,"Competition-cooperation, Cooperation in group foraging behaviour",Intra-specific (within population),NA (based on the behaviour of the three-spined stickleback (Gasterosteus aculeatus)),Social rank within the group using the probability of an individual's being among the ones sharing the food in a patch found by the group (also termed competitive ability); ,"NA (general, modelling)",NA,Individuals,"Yes, decrease in social status reduced the benefits of cooperation and pushes individual towards more solitary behaviour",Mutualistic to antagonistic,Variation in the individual benefits of group foraging for the individual,"Collective behaviour, within-population foraging dynamics",Shows factors the drive behaviour in a group towards greater individualization and niche differentiation.,Information-sharing model,No,Yes,,,,,,,,
11/21/2019 22:04:19,MA36,ET,Experimental,Competition-cooperation,Intra-specific (between populations),Homo sapiens,Decision making,Homo sapiens,No,Individuals,No,No shift,Social,Formation of social interactions,Yes,"The experimental procedure is an ""investment game"" (protocol)",,Maybe,Humans as a study subject (note: this is currently being treated as an exclusion criteria),,,,,,,
11/21/2019 22:18:28,MA39,ET,Experimental,"Competition-cooperation, Male-female",Intra-specific (within population),Sapajus (Cebus) apella,Behavioural phenotype (decision making),,No,Individuals,Yes,Mutualistic to antagonistic,Social,Reproductive success / Dominance,Yes,,,Yes,,,,,,,,
11/21/2019 22:30:34,MA76,ET,Experimental,Competition-cooperation,Intra-specific (between populations),Messor pergandel,Behavioural phenotype,,No,"Individuals, Populations",Yes,"Mutualistic to antagonistic, Antagonistic to mutualistic",Social,Investment,Yes,"Non-social Foundresses shifted towards cooperation (regarding investment decisions) when in social context, whereas social Foundresses shifted towards competition.",,Yes,,,,,,,,
11/21/2019 22:41:16,MA79,ET,Experimental,Competition-cooperation,Intra-specific (within population),Homo sapiens,Behavioural phenotype,,No,,No,No shift,No shift,,,,,No,There is no shift in the quality of the interaction,,,,,,,
11/21/2019 22:53:48,MA105,ET,Observational,Competition-cooperation,Intra-specific (within population),Philetairus socius,Behavioural phenotype (social stauts),,Social status is not heritable. But bib size is.,Individuals,No,No shift,No shift,Social interactions / Hierarchy,Yes,,,No,There is no shift in the quality of the interaction,,,,,,,
11/21/2019 23:06:21,MA114,ET,Observational,Competition-cooperation,Intra-specific (within population),Larix sibirica,Growth,,,,No,,,,No,,,No,There is no shift in the quality of the interaction,,,,,,,
11/21/2019 23:17:55,MA140,ET,Observational,Consumer-resource/predator-prey,Inter-specific (2 species),"Manorina melanophrys, Psyllidae insects",Insect distribution influences sex ratio of offspring,,Facultative control of offspring sex ratio is heritable,Populations,No,No shift,,,,,,No,There is no shift in the quality of the interaction,,,,,,,
