"abstract.id","title.y","abstract.y","screener.id","include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include)","ecological scale (e.g. interspecific or intraspecific)","topic area (e.g. predator-prey, parasite-host, male-female, theoretical/modelling, review)"
"MA379","The hoopoe's uropygial gland hosts a bacterial community influenced by the living conditions of the bird","Molecular methods have revealed that symbiotic systems involving bacteria are mostly based on whole bacterial communities. Bacterial diversity in hoopoe uropygial gland secretion is known to be mainly composed of certain strains of enterococci, but this conclusion is based solely on culture-dependent techniques. This study, by using culture-independent techniques (based on the 16S rDNA and the ribosomal intergenic spacer region) shows that the bacterial community in the uropygial gland secretion is more complex than previously thought and its composition is affected by the living conditions of the bird. Besides the known enterococci, the uropygial gland hosts other facultative anaerobic species and several obligated anaerobic species (mostly clostridia). The bacterial assemblage of this community was largely invariable among study individuals, although differences were detected between captive and wild female hoopoes, with some strains showing significantly higher prevalence in wild birds. These results alter previous views on the hoopoe-bacteria symbiosis and open a new window to further explore this system, delving into the possible sources of symbiotic bacteria (e.g. nest environments, digestive tract, winter quarters) or the possible functions of different bacterial groups in different contexts of parasitism or predation of their hoopoe host.  2015 Rodrguez-Ruano et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","UE","","",""
"MA309","Resource limitation moderates the adaptive suppression of subordinate breeding in a cooperatively breeding mongoose","Social animal species show considerable variation in the way in which reproduction is distributed among group members. Recent attempts to explain this variation have proposed that differences in reproductive skew are attributable to differences in the net benefits group members receive from suppressing each other's breeding attempts. Despite receiving relatively little theoretical and empirical attention, the availability of resources required for successful breeding may have an important influence in determining the costs and benefits of suppressing reproduction and thus influence reproductive skew within social groups. Here, we test this possibility using a long-term study of female reproductive success in the banded mongoose Mungos mungo. We find that females experience greater costs of co-breeding when resources are in short supply and that older, more dominant females respond to this cost by suppressing subordinate breeding. This results in differing patterns of reproductive success for females of different competitive abilities, with the oldest, most dominant females breeding regardless of resource availability and younger, subordinate females breeding only when resources are abundant. Our findings highlight the role of resource limitation in determining the distribution of reproductive opportunities within social groups.  2012 The Author.","UE","","",""
"MA72","Conservation of protists: Is it needed at all?","Protists have scarcely been considered in traditional perspectives and strategies in environmental management and biodiversity conservation. This is a remarkable omission given that these tiny organisms are highly diverse, and have performed as key ecological players in evolutionary theatres for over a billion years of Earth history. Protists hold key roles in nearly all ecosystems, notably as participants in fluxes of energy and matter through foodwebs that centre on their predation on microbes. In spite of this, they have been largely ignored in conservation issues due to a widespread, naive belief that protists are ubiquitous and cosmopolitanously distributed. Nevertheless, recent research shows that many protists have markedly restricted distributions. These range from palaeoendemics (Gondwanan-Laurasian distribution) to local endemics. Our ignorance about the ultimate and proximate causes of such acute disparities in scale-dependent distributions of protists can be flagged as a singular reason to preserve these more cryptic participants in ecological and evolutionary dynamics. This argument is disturbing when one considers anthropogenic modifications of landscapes and the very poorly understood roles of protists in ecological processes in soils, not least in agroecolandscapes and hydrological systems. Major concerns include host specific symbiotic, symphoric and parasitic species which become extinct, unseen and largely unknown, alongside their metazoan hosts; change or loss of habitats; massive change or loss of type localities; and losses of unique genetic resources and evolutionary potential. These concerns are illustrated by examples to argue that conservation of protists should be integral to any strategy that traditionally targets vascular plants and animals. The ongoing decline in research capacity to inventory and classify protist diversity exemplifies a most acute symptom of the failures, at local, national and international levels, to support scientific responses to the biodiversity crisis. Responsible responses to these severe problems need to centre on the revival of natural history as the core discipline in biology.  2007 Springer Science+Business Media B.V.","UE","","",""
"MA55","Communal singing in the cooperatively breeding subdesert mesite Monias benschi: Evidence of numerical assessment?","It has long been suggested that competing groups of social animals assess one another on the basis of communal vocalisations, but so far this has only been demonstrated in mammals. We investigated this idea in the subdesert mesite, a group-living bird that produces communal songs during aggressive territorial interactions with other groups. Where groups compete as units, differences in group size might outweigh inter-individual differences in determining the outcome of contests. Given this species' variable social system, we predicted that the composition of groups would also influence their resource holding potential. Playback experiments showed that the number of simulated intruders significantly influenced the strength of response by defending groups hearing the stimulus: groups were less likely to approach but gave more protracted and more communal vocal responses as the number of vocalising intruders increased. We found that the likelihood of a group approaching playback increased as the ratio between the number of males in the defending group and the number of males in the intruding group increased. Furthermore, the ratio of adult males to females in the defending group significantly affected the probability of approach, with the probability increasing as groups became more male-biased. This finding supports the idea that the social structure of groups may be important in determining the outcome of contests between groups. Overall this study provides some indication in birds of relative numerical assessment based on vocal cues.","UE","","",""
"MA384","The origins of consistent individual differences in cooperation in wild banded mongooses, Mungos mungo","Individual differences in contributions to cooperation can be strikingly consistent over time giving rise to alternative cooperative phenotypes within animal societies. Following the social niche specialization hypothesis, these consistent differences may be driven by social conflict over reproductive opportunities if individuals specializing as `breeders' and `nonbreeders' experience a beneficial reduction in social conflict and differential costs associated with cooperating. This hypothesis gives three testable predictions: (1) consistent individual differences in cooperative behaviour will be accompanied by consistent individual differences in reproductive behaviour, (2) individuals contributing heavily to reproduction will contribute relatively little to cooperative behaviours within the same breeding attempt and vice versa, and (3) individuals that consistently contribute heavily to reproduction over their lifetime will also consistently contribute less to cooperative behaviours and vice versa. We tested these predictions with a 15-year investigation into the lifetime patterns of mate guarding and two forms of cooperative offspring care ('babysitting' and `escorting') in a wild population of banded mongooses. We found significant repeatability of individual contributions to both cooperative behaviours, as well as significant repeatability of individual levels of mate guarding. However, we found no evidence of negative covariance between contributions to cooperative and reproductive behaviours either within breeding attempts or across lifetimes. This suggests that the observed consistent individual differences in both cooperative behaviour and reproduction are not associated; there is no evidence of a trade-off between reproduction and cooperation. However, we found a significant positive covariance between babysitting and escorting when estimated both within breeding attempts and across lifetimes, which suggests that some group members are generally more cooperative than others, contributing more to both behaviours over their lifetimes. The drivers of this consistent individual variation in contributions to cooperation remain unknown. (C) 2015 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd.","UE","","",""
"MA333","Social complexity: patterns, processes, and evolution","Abstract: Animal and human societies exhibit extreme diversity in the size, composition and cohesion of their social units, in the patterning of sex-specific reproductive skew, in the nature of parental care, in the form and frequency of cooperation and in their competitive regime, creating a diversity of socially complex societies. However, there is an ongoing debate about whether social complexity is a real, emergent property of a society or whether it only provides a conceptual framework for studying the diversity and evolution of societies. In this introduction to our topical collection, we identify three areas of current research addressing relevant challenges in the study of social complexity. First, previous studies have suffered from a lack of a common conceptual framework, including shared definitions, and existing measures of social complexity do not acknowledge its multiple components and dimensions. Second, most previous studies have ignored intraspecific variation, and the proximate and ultimate determinants of variation in social complexity, as well as their interactions, remain poorly known. Third, comparative studies of social complexity offer opportunities to explore its biological causes and correlates and but it is frequently difficult to identify the causal relationships involved and the development of general insights has been hampered by conceptual and methodological difficulties. In this paper, we briefly characterize these three challenges and offer guidance to the other contributions to this topical collection on social complexity by placing their key results in the context of these three topics. Significance statement: In this paper, we address the main current challenges in the study of social complexity and combine our brief overview with a synopsis of the other contributions to this topical collection on various aspects of social complexity.  2019, Springer-Verlag GmbH Germany, part of Springer Nature.","UE","","",""
"MA86","Deciphering the Interdependence between Ecological and Evolutionary Networks","Biological systems consist of elements that interact within and across hierarchical levels. For example, interactions among genes determine traits of individuals, competitive and cooperative interactions among individuals influence population dynamics, and interactions among species affect the dynamics of communities and ecosystem processes. Such systems can be represented as hierarchical networks, but can have complex dynamics when interdependencies among levels of the hierarchy occur. We propose integrating ecological and evolutionary processes in hierarchical networks to explore interdependencies in biological systems. We connect gene networks underlying predator-prey trait distributions to food webs. Our approach addresses longstanding questions about how complex traits and intraspecific trait variation affect the interdependencies among biological levels and the stability of meta-ecosystems.","UE","","",""
"MA296","Range expansion drives dispersal evolution in an equatorial three-species symbiosis","Background: Recurrent climatic oscillations have produced dramatic changes in species distributions. This process has been proposed to be a major evolutionary force, shaping many life history traits of species, and to govern global patterns of biodiversity at different scales. During range expansions selection may favor the evolution of higher dispersal, and symbiotic interactions may be affected. It has been argued that a weakness of climate fluctuation-driven range dynamics at equatorial latitudes has facilitated the persistence there of more specialized species and interactions. However, how much the biology and ecology of species is changed by range dynamics has seldom been investigated, particularly in equatorial regions. Methodology/Principal Findings: We studied a three-species symbiosis endemic to coastal equatorial rainforests in Cameroon, where the impact of range dynamics is supposed to be limited, comprised of two species-specific obligate mutualists -an ant-plant and its protective ant- and a species-specific ant parasite of this mutualism. We combined analyses of within-species genetic diversity and of phenotypic variation in a transect at the southern range limit of this ant-plant system. All three species present congruent genetic signatures of recent gradual southward expansion, a result compatible with available regional paleoclimatic data. As predicted, this expansion has been accompanied by the evolution of more dispersive traits in the two ant species. In contrast, we detected no evidence of change in lifetime reproductive strategy in the tree, nor in its investment in food resources provided to its symbiotic ants. Conclusions/Significance: Despite the decreasing investment in protective workers and the increasing investment in dispersing females by both the mutualistic and the parasitic ant species, there was no evidence of destabilization of the symbiosis at the colonization front. To our knowledge, we provide here the first evidence at equatorial latitudes that biological traits associated with dispersal are affected by the range expansion dynamics of a set of interacting species. Copyright:  2009 Lotard et al.","UE","","",""
"MA57","Comparative evolution of flower and fruit morphology","Angiosperm diversification has resulted in a vast array of plant morphologies. Only recently has it been appreciated that diversification might have proceeded quite differently for the two key diagnostic structures of this clade, flowers and fruits. These structures are hypothesized to have experienced different selective pressures via their interactions with animals in dispersal mutualisms, resulting in a greater amount of morphological diversification in animal-pollinated flowers than in animal-dispersed fruits. I tested this idea using size and colour traits for the flowers and fruits of 472 species occurring in three floras (St John, Hawaii and the Great Plains). Phylogenetically controlled analyses of nearest-neighbour distances in multidimensional trait space matched the predicted pattern: in each of the three floras, flowers were more divergent from one another than were fruits. In addition, the spacing of species clusters differed for flowers versus fruits in the flora of St John, with clusters in flower space more divergent than those in fruit space. The results are consistent with the idea that a major driver of angiosperm diversification has been stronger selection for divergent floral morphology than for divergent fruit morphology, although genetic, physiological and ecological constraints may also play a role.","UE","","",""
"MA122","Evidence for personality conformity, not social niche specialization in social jays","Animal personality traits are defined as consistent individual differences in behavior over time and across contexts. Occasionally this inflexibility results in maladaptive behavioral responses to external stimuli. However, in social groups inflexible behavioral phenotypes might be favored as this could lead to more predictable social interactions. Two hypotheses seek to describe the optimal distribution of personality types within groups. The social niche specialization hypothesis states that individuals within groups should partition social roles, like personality types, to avoid conflict; whereas the conformity hypothesis states that individuals should assort with conspecifics of similar personality. However, no research so far has compared these hypotheses using data from wild animal systems. We tested boldness in the wild on 2 species with different social systems, the Mexican Jay and California Scrub-Jay. We found support for the conformity hypothesis over the social niche specialization hypothesis because individuals within groups of the social species had more similar personalities, and consequently there was a statistically significant group effect. The most likely mechanism for this conformity is social learning of behaviors through development, but more explicit research on this is needed.","UE","","",""
