"title","abstract","AbstractID","screener initials","include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include)","ecological scale (e.g. interspecific or intraspecific)","topic area (e.g. predator-prey, parasite-host, male-female, theoretical/modelling, review)"
"Molecular evolution patterns reveal life history features of mycoplasma-related endobacteria associated with arbuscular mycorrhizal fungi","The mycoplasma-related endobacteria (MRE), representing a recently discovered lineage of Mollicutes, are widely distributed across arbuscular mycorrhizal fungi (AMF, Glomeromycota). AMF colonize roots of most terrestrial plants and improve plant mineral nutrient uptake in return for plant-assimilated carbon. The role of MRE in the biology of their fungal hosts is unknown. To start characterizing this association, we assessed partitioning of MRE genetic diversity within AMF individuals and across the AMF phylogeographic range. We further used molecular evolution patterns to make inferences about MRE codivergence with AMF, their lifestyle and antiquity of the Glomeromycota-MRE association. While we did not detect differentiation between MRE derived from different continents, high levels of diversity were apparent in MRE populations within AMF host individuals. MRE exhibited significant codiversification with AMF over ecological time and the absence of codivergence over evolutionary time. Moreover, genetic recombination was evident in MRE. These patterns indicate that, while MRE transmission is predominantly vertical, their complex intrahost populations are likely generated by horizontal transmission and recombination. Based on predictions of evolutionary theory, we interpreted these observations as a suggestion that MRE may be antagonists of AMF. Finally, we detected a marginally significant signature of codivergence of MRE with Glomeromycota and the Endogone lineage of Mucoromycotina, implying that the symbiosis between MRE and fungi may predate the divergence between these two groups of fungi.","MA249","","","",""
"Incidence and biomarkers of pregnancy, spontaneous abortion, and neonatal loss during an environmental stressor: Implications for female reproductive suppression in the cooperatively breeding meerkat","Meerkats are group-living, insectivorous herpestids in which subordinate members provide extensive care for the dominant female's young. In contrast to some cooperative breeders, subordinate female meerkats are physiologically able to reproduce and occasionally do so successfully; their attempts are more frequently `suppressed' via eviction or infanticide by the dominant female. Spontaneous abortion and neonatal loss occur with some regularity, further negatively impacting reproductive success. Here, we compared the reproductive outcomes and endocrine profiles, including of serum progesterone (P-4), serum estradiol (E-2), and fecal glucocorticoid metabolites (fGCm), of dominant and subordinate dams residing within their clans in the Kalahari Desert of South Africa. Our study spanned years of drought, which reduced insect abundance and represented a substantial environmental stressor. Meerkat pregnancies were identified at mid-term and culminated either in spontaneous abortions or full-term deliveries, after which pups were either lost prior to emergence from the natal den (usually within 2 days of birth) or emerged at 2-3 weeks. Neonatal loss exceeded fetal loss for all females, and contributed to narrowing the status-related disparity in female reproductive output seen during less arid periods. Although E-2 concentrations were significantly lower in subordinate than dominant females, they were sufficient to support gestation. Absolute E-2 concentrations may owe to androgenic precursors that also attain highest concentrations in dominant dams and may mediate aggression underlying female reproductive skew. Pregnancies terminating in fetal loss were marked by significantly lower 134 concentrations in mid-gestation and modestly lower E-2 concentrations overall. Consistently high fGCm concentrations further increased across trimesters, particularly (but not consistently) in subordinates and in aborted pregnancies. Environmental stressor may modulate reproductive outcomes in meerkats through their influence on sex steroids and their effects on intragroup competition. The social and eco-physiological factors affecting intraspecific variation in reproductive output, even in obligate cooperative breeders, may be most apparent during extreme conditions, reflecting the benefits of long-term studies for assessing the impact of climate change.","MA193","","","",""
"Geography has a greater effect than Wolbachia infection on population genetic structure in the spider mite, Tetranychus pueraricola","Wolbachia is an intracellular symbiotic bacterium that infects various spider mite species and is associated with alterations in host reproduction, which indicates the potential role in mite evolution. However, studies of Wolbachia infections in the spider mite Tetranychus pueraricola, a major agricultural pest, are limited. Here, we used multilocus sequence typing to determine Wolbachia infection status and examined the relationship between Wolbachia infection status and mitochondrial diversity in T. pueraricola from 12 populations in China. The prevalence of Wolbachia ranged from 2.8 to 50%, and three strains (wTpue1, wTpue2, and wTpue3) were identified. We also found double infections (wTpue1 + wTpue3) within the same individuals. Furthermore, the wTpue1 strain caused weak cytoplasmic incompatibility (CI) (egg hatchability ~55%), whereas another widespread strain, wTpue3, did not induce CI. There was no reduction in mitochondrial DNA (mtDNA) or nuclear DNA diversity among infected individuals, and mtDNA haplotypes did not correspond to specific Wolbachia strains. Phylogenetic analysis and analysis of molecular variance revealed that the distribution of mtDNA and nuclear DNA haplotypes were significantly associated with geography. These findings indicate that Wolbachia infection in T. pueraricola is complex, but T. pueraricola genetic differentiation likely resulted from substantial geographic isolation.  Cambridge University Press 2016.","MA167","","","",""
"Community-wide consequences of sexual dimorphism: evidence from nectar microbes in dioecious plants","Intraspecific trait variation is receiving renewed interest as a factor affecting the structure of multi-species communities within and across trophic levels. One pervasive form of intraspecific trait variation is sexual dimorphism in animals and plants, which might exert large effects particularly on the communities of host-associated organisms, but the extent of these effects is not well understood. We investigated whether host-associated microbial communities developed differently in the floral nectar of female and male individuals of the dioecious shrubs, Eurya emarginata and E.japonica. We found that nectar-colonizing microbes such as bacteria and fungi were more than twice as prevalent and, overall, more than 10 times as abundant in male flowers as in female flowers. Microbial species composition also differed between flower sexes. To examine potential mechanisms behind these differences, we manipulated the frequency of flower visitation by animals and the order of arrival of microbial species to nectar. Animal visitation frequency affected microbial communities more greatly in male flowers, while arrival order affected them more in female flowers. These sex-specific effects appeared attributable to differences in how animals and microbes altered the chemical characteristics of nectar that limited microbial growth. Taken together, our results provide evidence that sexual dimorphism can have large effects on the structure of host-associated communities.  2018 by the Ecological Society of America","MA56","","","",""
"Dominance hierarchies and associated signalling in a cooperative passerine","In animal societies, individuals face the dilemma of whether to cooperate or to compete over a shared resource. Two intertwined mechanisms may help to resolve this enduring evolutionary dilemma by preventing conflicts and thereby mediating the costs of living in groups: the establishment of dominance hierarchies and the use of badge-of-status for signalling dominance. We investigated these two mechanisms in the sociable weaver (Philetairus socius), a colonial and social passerine which cooperates over multiple tasks. We examined the sociable weavers dominance structure in 2years by recording 2563 agonistic interactions between 152 individuals observed at a feeder at eight colonies. We tested which individual traits, including sex, age, relatedness and two melanin-based plumage traits, predicted variation in social status. First, using social network analysis, we found that colonies were structured by strongly ordered hierarchies which were stable between years. Second, medium-ranked birds engaged more in aggressive interactions than highly ranking individuals, suggesting that competition over food is most pronounced among birds of intermediate social status. Third, we found that colony size and kinship influenced agonistic interactions, so aggression was less pronounced in smaller colonies and among relatives. Finally, within- and between-individual variation in social status and the presence of an individual at the feeder were associated with variation in bib size, as predicted by the badge-of-status hypothesis. These results suggest that dominance hierarchies and bib size mediate conflicts in sociable weaver societies.  2014, Springer-Verlag Berlin Heidelberg.","MA105","","","",""
"Building the microbiome in health and disease: niche construction and social conflict in bacteria","Microbes collectively shape their environment in remarkable ways via the products of their metabolism. The diverse environmental impacts of macro-organisms have been collated and reviewed under the banner of `niche construction'. Here, we identify and review a series of broad and overlapping classes of bacterial niche construction, ranging from biofilm production to detoxification or release of toxins, enzymes, metabolites and viruses, and review their role in shaping microbiome composition, human health and disease. Some bacterial niche-constructing traits can be seen as extended phenotypes, where individuals actively tailor their environment to their benefit (and potentially to the benefit of others, generating social dilemmas). Other modifications can be viewed as non-adaptive by-products from a producer perspective, yet they may lead to remarkable within-host environmental changes. We illustrate how social evolution and niche construction perspectives offer complementary insights into the dynamics and consequences of these traits across distinct timescales. This review highlights that by understanding the coupled bacterial and biochemical dynamics in human health and disease we can better manage host health.","MA37","","","",""
"Endocrinology of sociality: Comparisons between sociable and solitary individuals within the same population of African striped mice","The social organization of species ranges from solitary-living to complex social groups. While the evolutionary reasons of group-living are well studied, the physiological mechanisms underlying alternative social systems are poorly understood. By studying group-living and solitary individuals of the same species, we can determine hormonal correlates of sociality without the problem of confounding phylogenetic factors. The African striped mouse (Rhabdomys pumilio) is a socially flexible species, which can be solitary or alternatively form complex family groups, depending on population density and the extent of reproductive competition. We predicted group-living striped mice to show signs of reproductive suppression and social stress, resulting in higher corticosterone but lower testosterone levels when compared to solitary-living individuals. To determine whether differences in social organization correlated with hormonal differences, we collected blood samples from free-living striped mice during four breeding seasons when we experimentally induced solitary-living in philopatric individuals by locally reducing population density. Striped mice that were group-living did not change their corticosterone or estosterone levels during the study, indicating that there was no temporal effect during the breeding season. Striped mice of both sexes had significantly lower corticosterone levels after switching from group- to solitary-living. Solitary males - but not solitary females - had higher testosterone levels than group-living conspecifics. Our results suggest that group-living results in physiological stress and can induce reproductive suppression, at least in philopatric males. The switch to solitary-living may thus be a tactic to avoid reproductive competition within groups, and is associated with decreased stress hormone levels and onset of independent reproduction. (C) 2013 Elsevier Inc. All rights reserved.","MA120","","","",""
"Fitness costs of phoretic nematodes in the burying beetle, Nicrophorus vespilloides","Nicrophorusvespilloides is a social beetle that rears its offspring on decomposing carrion. Wild beetles are frequently associated with two types of macrobial symbionts, mites, and nematodes. Although these organisms are believed to be phoretic commensals that harmlessly use beetles as a means of transfer between carcasses, the role of these symbionts on N.vespilloides fitness is poorly understood. Here, we show that nematodes have significant negative effects on beetle fitness across a range of worm densities and also quantify the density-dependent transmission of worms between mating individuals and from parents to offspring. Using field-caught beetles, we provide the first report of a new nematode symbiont in N.vespilloides, most closely related to Rhabditoides regina, and show that worm densities are highly variable across individuals isolated from nature but do not differ between males and females. Next, by inoculating mating females with increasing densities of nematodes, we show that worm infections significantly reduce brood size, larval survival, and larval mass, and also eliminate the trade-off between brood size and larval mass. Finally, we show that nematodes are efficiently transmitted between mating individuals and from mothers to larvae, directly and indirectly via the carcass, and that worms persist through pupation. These results show that the phoretic nematode R.regina can be highly parasitic to burying beetles but can nevertheless persist because of efficient mechanisms of intersexual and intergenerational transmission. Phoretic species are exceptionally common and may cause significant harm to their hosts, even though they rely on these larger species for transmission to new resources. However, this harm may be inevitable and unavoidable if transmission of phoretic symbionts requires nematode proliferation. It will be important to determine the generality of our results for other phoretic associates of animals. It will equally be important to assess the fitness effects of phoretic species under changing resource conditions and in the field where diverse interspecific interactions may exacerbate or reduce the negative effects of phoresy.  2018 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.","MA149","","","",""
"Root Herbivore Effects on Aboveground Multitrophic Interactions: Patterns, Processes and Mechanisms","In terrestrial food webs, the study of multitrophic interactions traditionally has focused on organisms that share a common domain, mainly above ground. In the last two decades, it has become clear that to further understand multitrophic interactions, the barrier between the belowground and aboveground domains has to be crossed. Belowground organisms that are intimately associated with the roots of terrestrial plants can influence the levels of primary and secondary chemistry and biomass of aboveground plant parts. These changes, in turn, influence the growth, development, and survival of aboveground insect herbivores. The discovery that soil organisms, which are usually out of sight and out of mind, can affect plant-herbivore interactions aboveground raised the question if and how higher trophic level organisms, such as carnivores, could be influenced. At present, the study of above-belowground interactions is evolving from interactions between organisms directly associated with the plant roots and shoots (e.g., root feeders - plant - foliar herbivores) to interactions involving members of higher trophic levels (e.g., parasitoids), as well as non-herbivorous organisms (e.g., decomposers, symbiotic plant mutualists, and pollinators). This multitrophic approach linking above- and belowground food webs aims at addressing interactions between plants, herbivores, and carnivores in a more realistic community setting. The ultimate goal is to understand the ecology and evolution of species in communities and, ultimately how community interactions contribute to the functioning of terrestrial ecosystems. Here, we summarize studies on the effects of root feeders on aboveground insect herbivores and parasitoids and discuss if there are common trends. We discuss the mechanisms that have been reported to mediate these effects, from changes in concentrations of plant nutritional quality and secondary chemistry to defense signaling. Finally, we discuss how the traditional framework of fixed paired combinations of root- and shoot-related organisms feeding on a common plant can be transformed into a more dynamic and realistic framework that incorporates community variation in species, densities, space and time, in order to gain further insight in this exciting and rapidly developing field.","MA312","","","",""
"Testis size depends on social status and the presence of male helpers in the cooperatively breeding cichlid Julidochromis ornatus","Cooperatively breeding animals, in which helpers may participate in reproduction with dominant breeders, are ideal species for examining intraspecific variation in testis size because they often exhibit both monogamous breeding (low risk of sperm competition) and polyandrous breeding (high risk) within a population. However, little is known about testis investment as a result of sperm competition in these animals. The substrate-brooding cichlid fish Julidochromis ornatus has a cooperatively breeding system, in which some males mate monogamously and other males reproduce as dominant breeders or helpers within cooperatively breeding groups, in which male helpers frequently sire young. We examined the relationship between testis investment and male social status in relation to the risk of sperm competition. As predicted from sperm competition models, in groups with male helpers, both the male breeders and the male helpers invested more in testes mass, compared to breeding males without male helpers. We also found a positive relationship between the testes mass of male breeders and their male helpers, suggesting that males increase their investment in reproductive capability under the risk of sperm competition. Sperm competition models also predict that larger testes are associated with increased siring success. Our paternity analysis supported this prediction; we found a positive relationship between testis investment by male helpers and the number of offspring they sired.  The Author 2006. Published by Oxford University Press on behalf of the International Society for Behavioral Ecology. All rights reserved.","MA361","","","",""
