"title","abstract","abstract.id","screener.id","include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include)","ecological scale (e.g. interspecific or intraspecific)","topic area (e.g. predator-prey, parasite-host, male-female, theoretical/modelling, review)"
"Revealing microparasite diversity in aquatic environments using brute force molecular techniques and subtle microscopy","Aquatic ecosystems (seas, oceans, rivers and lakes) cover >70% of the Earth's surface and play essential roles in geochemical cycling and climate regulation. They are also hugely important for human health, nutrition and economy, providing drinking water, food, transport and leisure resources. These environments harbour complex and cryptic ecosystems dominated in terms of abundance and biomass by planktonic microbes including bacteria, archaea, viruses and eukaryotic organisms (such as protists and fungi). These organisms form numerous and diverse interactions encompassing all kind of exchanges, e.g. predatorprey relationships and all shades of symbiosis from commensalism to parasitism.  Cambridge University Press 2015.","MA311","MW","","",""
"Harsh childhood environmental characteristics predict exploitation and retaliation in humans","Across andwithin societies,people vary intheirpropensities towards exploitative and retaliatory defection in potentially cooperative interaction.We hypothesized that this variation reflects adaptive responses to variation in cues during childhood that life will be harsh, unstable and short-cues that probabilistically indicate that it is in one's fitness interests to exploit co-operators and to retaliate quickly against defectors. Here, we show that childhood exposure to family neglect, conflict and violence, and to neighbourhood crime, were positively associated for men (but not women) with exploitation of an interaction partner and retaliatory defection after that partner began to defect. The associations between childhood environment and both forms of defection for men appeared to be mediated by participants' endorsement of a 'code of honour'. These results suggest that individual differences in mutual benefit cooperation are not merely due to genetic noise, random developmental variation or the operation of domain-general cultural learning mechanisms, but rather, might reflect the adaptive calibration of social strategies to local social-ecological conditions.  2012 The Author(s) Published by the Royal Society. All rights reserved.","MA173","MW","","",""
"Leaf domatia and mites on Australasian plants: ecological and evolutionary implications","Leaf domatia, specialized chambers in the vein axils on the underside of leaves of many plant species, have remained an enigma for over a century. In this study we show a strong association between foliar domatia and mites in 37 plant species in Australasia. Overall, mites accounted for 91% of the arthropods observed in domatia. Across all species, a median of 51% of domatia were occupied and 71% of leaves showed mite evidence in domatia. The level of mite association did not depend on domatia type (pit, pouch, pocket, or tuft) or provenance (Papua New Guinea, Queensland, Victoria, or New Zealand). Mite association with domatia commonly varied between plant species, between individuals within species, and between shoots within individuals. The leaf developmental stage probably explains much of the variation in association for many of these species. The presence of a variety of life history stages of mites within domatia indicates that these structures act as shelters for development and reproduction. Furthermore, in 12 of 13 plant species examined, domatia concentrate mites in particular locations on the leaf. Mite taxa that we classify as largely predaceous (e.g. phytoseiids, stigmaeids and tydeids) or fungivorous (e.g. acarids and oribatids) were most common in domatia and dominated the association in 21 of 24 plant species in which the relative abundance of herbivorous, fungivorous and predaceous groups was quantified. We evaluate hypotheses that explain the role of leaf domatia, including nonfunctional hypotheses (e.g. architectural constraints), physiological function (e.g. gas exchange and water uptake), bacterial symbiosis and antagonistic and mutualistic associations with mites. Our quantitative results confirm anecdotal accounts of mite association with leaf domatia and are most consistent with Lundstrem's centuryold hypothesis of plantmite mutualism in which leaf domatia billet predaceous and fungivorous mites that prey on plant enemies. Leaf domatia are widespread among woody angiosperms and abundant in many temperate and tropical regions of Australasia. Mites, an ancient group of arthropods whose diversity and abundance parallels that of insects, are likely to be important selective agents on terrestrial plants. Our results (1) indicate that mitedomatia association represents a relationship of comparable scope to plantant associations mediated by specialized plant structures such as extrafloral nectaries, food bodies and specialized domatia; (2) suggest that sociality is not a necessary prerequisite for widespread and diverse mutualisms between arthropods and plants; and, (3) extend the diversity of organisms that produce specialized mite houses from lizards, and wasps and bees to woody angiosperms. 1989 The Linnean Society","MA230","MW","","",""
"PHYSIOLOGICAL VARIATION IN ANIMALS","Numerous examples are cited of physiological characters which, like morphological characters, vary genotypically, ontogenetically or phenotypically. Physiological variation is useful in describing interspecific relations, intraspecific variation and the limits of ecological range. Physiological variation of a character permits the establishment of populations at environmental limits and thus predisposes a race for genetic fixation of a character (Baldwin effect). Such variation is primary in providing one mechanism of reproductive isolation. Secondary physiological variation functions in habitat selection, particularly after reproductive isolation. Criteria for physiological variation are given by measurement of internal state in relation to environmental stress. In regulators a criterion is the point of failure of homeostatic mechanisms; in adjusters a criterion is the limit of tolerance after maximum acclimation. Both regulation and adjustment are adaptive to environmental change; in both types, phenotypic variation must be distinguished from genotypic variation. Examples of physiological variation in osmotic adaptation, in different populations of the same species, are given for species of Paramecium, Euplotes, Asterias, Gammarus, Callinectes, Anopheles, Onchorhynchus and Gasterosteus. Genetically different races have been established for Gasterosteus aculeatus and Euplotes vassus. Ionic balance has been little studied as a basis for variation of populations but specific requirements for some elements, such as copper and calcium, may have led to local differences. Stress of temperature extremes has induced many physiological variants. Closely related large homoiotherms differ in insulating capacity, smaller species differ also in metabolic response, particularly to cold. Poikilotherms differ in tolerance limits after acclimation, in selected temperatures, in metabolic level according to their temperature history, in Q 10 , in critical temperatures for reproduction and development. Physiological races with respect to temperature tolerance or selection are cited for species of Notropis, Micropterus, Gambusia, Pandalus and Carabus. Examples of metabolic differences in populations are found in aquatic but not terrestrial poikilotherms. Examples of races with respect to optimal temperature of development are found in species of Paramecium, Crassostrea, Urosalpinx, Daphnia, Drosophila, Lymantria and Rana. Criteria of variation with respect to oxygen are the halfsaturation value of transport pigments, the critical oxygen concentration, metabolic level, tolerance of products of anaerobiosis, auxiliary breathing mechanisms and stimulation of pigment development by hypoxia. Correlations of these functions with history of oxygen availability are cited, but data are inadequate to establish genetic races. Selection of specific food plants depends on secondary products, not primary food; many subspecies and races are known by food plant selection, especially among bugs, gall flies and butterflies. Preference can be transferred from one plant to another by forcedfeeding habituation; a food habit can be transmitted by behaviour from one generation to the next, or it may be fixed by genetic differences. Many genetic strains resistant to natural and artificial poisons are known. Light is an isolating mechanism for cave animals, for races differing in phototaxes, for races and related species differing in pigmentation and in establishing photoperiodic cycles. Variation in tolerance of type of substratum, of stream and of wind velocity isolates in some species. Examples of isolation by reproductive behaviour are given in crickets, Drosophila, birds and other groups. Selection of host by parasites and symbionts is a subtle isolating mechanism, probably based largely on chemical specificity. Serological incompatibility is a secondary mechanism in maintaining genetic intersterility. Physiological variation is usually accompanied by detectable morphological variation which may or may not be adaptive. Reproductive isolation may exist with slight physiological or morphological variation or conversely interbreeding may occur among very different populations. Need for physiological study of intraspecific variation according to history and distribution of natural populations is stressed. Copyright  1955, Wiley Blackwell. All rights reserved","MA279","MW","","",""
"The oldest fossil evidence of animal parasitism by fungi supports a Cretaceous diversification of fungal-arthropod symbioses","Paleoophiocordyceps coccophagus, a fungal parasite of a scale insect from the Early Cretaceous (Upper Albian), is reported and described here. This fossil not only provides the oldest fossil evidence of animal parasitism by fungi but also contains morphological features similar to asexual states of Hirsutella and Hymenostilbe of the extant genus Ophiocordyceps (Ophiocordycipitaceae, Hypocreales, Sordariomycetes, Pezizomycotina, Ascomycota). Because species of Hypocreales collectively exhibit a broad range of nutritional modes and symbioses involving plants, animals and other fungi, we conducted ancestral host reconstruction coupled with phylogenetic dating analyses calibrated with P. coccophagus. These results support a plant-based ancestral nutritional mode for Hypocreales, which then diversified ecologically through a dynamic process of intra- and interkingdom host shifts involving fungal, higher plant and animal hosts. This is especially evident in the families Cordycipitaceae, Clavicipitaceae and Ophiocordycipitaceae, which are characterized by a high occurrence of insect pathogens. The ancestral ecologies of Clavicipitaceae and Ophiocordycipitaceae are inferred to be animal pathogens, a trait inherited from a common ancestor, whereas the ancestral host affiliation of Cordycipitaceae was not resolved. Phylogenetic dating supports both a Jurassic origin of fungal-animal symbioses within Hypocreales and parallel diversification of all three insect pathogenic families during the Cretaceous, concurrent with the diversification of insects and angiosperms. Published by Elsevier Inc.","MA383","MW","","",""
"Policing and punishment across the domains of social evolution","Several decades of research in humans, other vertebrates, and social insects have offered fascinating insights into the dynamics of punishment (and its subset, policing), but authors have only rarely addressed whether there are fundamental joint principles underlying the maintenance of these behaviors. Here we present a punisher/bystander approach rooted in inclusive fitness logic to predict which individuals should take on punishing roles in animal societies. We apply our scheme to societies of eusocial Hymenoptera and nonhuman vertebrate social breeders, and we outline potential extensions for understanding conflict regulation among cells in metazoan bodies and unrelated individuals in human societies. We highlight that: 1) no social unit is expected to express punishment behavior unless it collects positive inclusive fitness benefits that surpass alternative benefits of bystanding; 2) punishment with public good benefits can be maintained through either direct fitness benefits (coercion) or indirect fitness benefits (correction) or both; 3) differences across social systems in the distributions of power, relatedness, and reproductive options drive variation in the extent to which individuals actively punish; and 4) inclusive fitness logic captures many punishment-relevant evolutionary and ecological variables in a single framework that appears to apply across very different types of social arrangements. Synthesis Researchers have long observed that individuals in animal societies punish (and by extension, police) each other, but they have rarely investigated whether general principles underlie this behavior across social arrangements. In this paper, we present a punisher/bystander approach rooted in inclusive fitness logic to predict which individuals should take on punisher roles in animal societies. We apply the approach to eusocial insects and cooperatively breeding vertebrates and outline extensions towards the control of cancer cell lineages and punishment in human groups. We highlight how variation in specific social variables may drive differences in punishing/policing across the social domains.  2015 The Authors.","MA287","MW","","",""
"Intra- and Intersexual Conflicts and Cooperation in the Evolution of Mating Strategies: Lessons Learnt From Ungulates","The traditional narrow focus on male mate competition in studies of mammalian mating strategies has been successful in explaining many conspicuous outcomes of sexual selection. However, focusing on ungulates, I here review increasing evidence that a comprehensive understanding of sexually selected adaptations requires consideration of a broader range of sex roles, particularly those relating to female behaviour. I show how mate competition and mate choice in both sexes can interact and often lead to intra- and intersexual conflicts and sometimes also cooperation. By causing phenotypic selection, these behavioural interactions can shape evolution although the outcome depends on genetic constraints. I conclude that to advance the understanding of mammalian mating systems we must broaden our conceptual framework from being largely focused on male competitive strategies to encompass coevolutionary dynamics between the mating strategies of both sexes. Future challenges include clarifying (1) the ecological basis for the inter- and intraspecific diversity in sex roles, (2) the condition-dependence of female mating strategies, and (3) the ultimate causes of mate competition and promiscuity in females.  2010 Springer Science+Business Media, LLC.","MA215","MW","","",""
"The microbiology of seagrasses","Like both terrestrial plants and other benthic marine organisms, seagrasses host abundant and diverse communities of microorganisms. These microbes fundamentally influence seagrass physiology and health, while also regulating the biogeochemical dynamics of entire seagrass meadows. Discrete populations of bacteria, fungi, microalgae, archaea and viruses inhabit seagrass leaves, roots and rhizomes and the surrounding sediments. The plethora of ecological interactions taking place between seagrasses and this microbiome span the continuum of symbiotic relationships from mutualism to parasitism. Indeed, the metabolic activities of some seagrass associated microbes, such as diazotrophic and sulphur oxidizing bacteria, govern the local chemical environment in ways that facilitate seagrass survival. On the other hand, pathogens, such as the protozoan parasite Labyrinthula cause disease outbreaks that can lead to mass seagrass die offs. While the role of the seagrass microbiome in defining the success of seagrass habitats is becoming increasingly apparent, there is still much to be learnt. For instance, the development of an understanding of how seagrass associated microbes may buffer or augment the negative impacts of growing environmental pressures will be valuable for informing decisions regarding the management and conservation of threatened seagrass habitats. In this chapter we will synthesise the current state of knowledge on the microbiology of seagrasses, with a goal of conveying the often overlooked importance of the seagrass microbiome in governing seagrass health and the biogeochemical stability of seagrass ecosystems.  Springer International Publishing AG, part of Springer Nature 2018.","MA380","MW","","",""
"Cooperation promotes the evolution of separate sexes from hermaphrodites with unitary growth","Most animals have specialized into separate sexes but most plants remain hermaphroditic. The underlining cause for this is still unclear. Here we address this question by evolutionary stable strategy analysis and exact calculation of frequency-dependent selection and genetic drift in geographically structured populations. Reproductive investments of hermaphrodites are divided into male and female functions, and each sex requires linear investments that increase linearly with successful gamete number and reusable investments (RIs) that increase less than linearly. Individuals specializing into one sex require RIs of only this sex and thus can produce more gametes. However, these gametes suffer strong kin competition as they are of the same sex and gamete number of the other sex decreases. The success of individuals specializing into one sex requires individuals specializing into the other sex to cooperate with them, providing them with more opposite-sex gametes and relaxing them of the same-sex competition. The evolution of this cooperation does not require two rare mutations to happen simultaneously at the same place, because single-sex mutants can sparsely spread in a hermaphroditic population with RIs despite genetic drift and wait for mutants of the other sex to arise. RI resembles fixed cost in previous theories. However, previous theories considered all costs except for costs for gametes as fixed costs and this does not capture an important plant-animal difference; modular growth of sexual organs in most plants and some animals promotes reproductive investments to increase linearly with offspring number, so their investments in sexual organs are linear investments rather than fixed costs. This study shows the evolution of separate sexes from hermaphrodites as an example of the evolution of cooperation and mutualism as in harmony games, and highlights modular growth as an important factor that prevents most plants and some animals from evolving into separate sexes. (C) 2013 Elsevier Ltd. All rights reserved.","MA80","MW","","",""
"COMPETITION VERSUS COOPERATION - SUCCESS OF INDIVIDUALS FORAGING ALONE AND IN GROUPS","Using a variant of information-sharing models, we examine the pros and cons of group foraging against the alternative of staying alone. Models of this category-assuming that in groups food finding by one results in food sharing by many-conclude that patch-finding rate improves with group size. In our modification interference among individuals reduces pooled searching efficiency of the group. We introduce a term, s, the probability of an individual's being among the ones sharing the food in a patch found by the group. Not unexpectedly, these fine-tunings prolong food-finding rates that push individuals in the group toward the foraging status of a solitary individual. With phenotype-related differences in s, foraging in groups turns out to be a less profitable option the lower an individual is ranked in the group. The model suggests that, in terms of food finding, individuals have to pay attention to their performance in the foraging group. The option of foraging alone may easily be a better strategy than that of a low-ranking individual foraging in a group. If so, the model also suggests groups assorted by phenotype.","MA62","MW","","",""
