"label","title","author","journal","volume","number","pages","year","doi","abstract","n_duplicates","AbstractID","screener initials","include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include)","ecological scale (e.g. interspecific or intraspecific)","topic area (e.g. predator-prey, parasite-host, male-female, theoretical/modelling, review)"
"Kuester1997941","Group fission in Barbary macaques (Macaca sylvanus) at affenberg salem","Kuester, J. and Paul, A.","International Journal of Primatology",18,"6","941-966",1997,"10.1023/A:1026396113830","We analyzed eight group fissions occurring during a 20-year period in three groups of a free-ranging provisioned Barbary macaque population. The founder group fissioned four times within 3.5 years after transfer to the enclosure, indicating that external factors-new environment, more space, absence of other groups-facilitated group fissions. Two groups resulting from these fissions, split twice within 2.5 and 1 years, respectively, many years later. The process of fissioning lasted from a few months to almost 2 years. Fissions were preceded by peripheralization/subgrouping of mainly young adult males (8-10 years old), suggesting that male competition was the primary force for the fissions. The males were joined by middle- to low-ranking but not the lowest-ranking females. The resulting new groups were usually smaller than the groups in which the former -matriline-old groups-stayed, and they were also more variable in size and sex ratio, suggesting that variable numbers of surplus individuals were expelled during fission. Mean adult sex ratios were similar in both groups after fission, indicating that the competitively superior males in the old groups (groups + -matriline) could not increase their breeding opportunities. Female kin, even of large matrilinies, almost always stayed together during fission. Natal males strongly preferred to join the old groups, and this preference was most pronounced in juveniles and subadults. Hence, most natal males stayed with maternally related females, i.e., remained true natal males, if the females stayed in old groups. They were separated from female kin, i.e., became seminatal, if the females joined the new groups. These seminatal males did not differ from natal males with respect to matrilineal rank; but they had more female relatives, above all more close relatives (sisters), indicating that avoidance of mating with maternal kin was important for group choice. Despite joining the same group as female kin during fissioning breeding opportunities of natal males (ratio of unrelated females/male) were not less than that of their seminatal peers, because natal males had fewer female relatives. Only a minority of both groups of males would have done better by joining the alternative group. Paternal relatives were distributed during fission by chance, and loss of patrilinies was therefore much less pronounced. We conclude that the rules governing social relationships among Barbary macaque males are less apt to cope with the high number of males resulting from provisioning; whereas the rules regulating social relationships of females living in a nepotistic, female-bonded society are very robust in this respect.",2,"MA170","","","",""
"X.ISI.000280901100011","Lateralization in response to social stimuli in a cooperatively breeding cichlid fish","Reddon, Adam R. and Balshine, Sigal","BEHAVIOURAL PROCESSES",85,"1","68-71",2010,"10.1016/j.beproc.2010.06.008","Cerebral lateralization, an evolutionarily ancient and widespread phenomenon among vertebrates, is thought to bestow cognitive advantages. The advantages of lateralization at the individual-level do not necessarily require that the entire population share the same pattern of lateralization. In fact, directional bias in lateralization may lead to behavioural predictability and enhanced predator success or prey evasion. Recent theory has suggested that population-level lateralization may be favored if individuals are better able to perform coordinated behaviours, providing a distinct advantage in cooperative contexts. Here we test whether the highly social, cooperatively breeding cichlid fish Neolamprologus pulcher shows lateralized responses to a social stimulus. We found population-level biases in males; on average male N. pulcher use their right eye/left hemisphere to view their mirror image. Individual females had a preferred hemisphere, but these preferences appeared not to be directionally aligned among females. We discuss these results in the context of coordinated social behaviour and suggest future research directions. (C) 2010 Elsevier B.V. All rights reserved.",1,"MA229","","","",""
"Sergeant20065895","Identification, typing, and insecticidal activity of Xenorhabdus isolates from entomopathogenic nematodes in United Kingdom soil and characterization of the xpt toxin loci","Sergeant, M. and Baxter, L. and Jarrett, P. and Shaw, E. and Ousley, M. and Winstanley, C. and Morgan, J.A.W.","Applied and Environmental Microbiology",72,"9","5895-5907",2006,"10.1128/AEM.00217-06","Xenorhabdus strains from entomopathogenic nematodes isolated from United Kingdom soils by using the insect bait entrapment method were characterized by partial sequencing of the 16S rRNA gene, four housekeeping genes (asd, ompR, recA, and serC) and the flagellin gene (fliC). Most strains (191/197) were found to have genes with greatest similarity to those of Xenorhabdus bovienii, and the remaining six strains had genes most similar to those of Xenorhabdus nematophila. Generally, 16S rRNA sequences and the sequence types based on housekeeping genes were in agreement, with a few notable exceptions. Statistical analysis implied that recombination had occurred at the serC locus and that moderate amounts of interallele recombination had also taken place. Surprisingly, the fliC locus contained a highly variable central region, even though insects lack an adaptive immune response, which is thought to drive flagellar variation in pathogens of higher organisms. All the X. nematophila strains exhibited a consistent pattern of insecticidal activity, and all contained the insecticidal toxin genes xptA1A2B1C1, which were present on a pathogenicity island (PAI). The PAIs were similar among the X. nematophila strains, except for partial deletions of a peptide synthetase gene and the presence of insertion sequences. Comparison of the PAI locus with that of X. bovienii suggested that the PAI integrated into the genome first and then acquired the xpt genes. The independent mobility of xpt genes was further supported by the presence of xpt genes in X. bovienii strain 173 on a type 2 transposon structure and by the variable patterns of insecticidal activity in X. bovienii isolates, even among closely related strains. Copyright  2006, American Society for Microbiology. All Rights Reserved.",1,"MA190","","","",""
"Sanvicente.Aorve20101371","Carapace relative growth of Trapezia Latreille, 1828 (Decapoda, Brachyura), crabs that are symbionts of hard corals, from Clipperton atoll and the Revillagigedo islands: Ecological and zoogeographical implications","Sanvicente-Aorve, L. and Hermoso-Salazar, M. and Sols-Weiss, V. and Salgado-Ugarte, I.H.","Crustaceana",83,"11","1371-1383",2010,"10.1163/001121610X533520","Decapod metapopulation dynamics are better understood by confronting theoretical studies with empirical data. In this study, our goal was to analyse the morphometric characteristics and relative growth of the carapace of Trapezia bidentata (Forskl, 1775) and T. digitalis Latreille, 1828, crabs from the islands Clipperton and Revillagigedo, in order to assess the degree of inter- and intraspecific similarity of the four insular populations. We examined 325 specimens and identified four species: T. bidentata (72.9% of total abundance), T. digitalis (23.1%), T. formosa Smith, 1869 (3.4%), and T. corallina Gerstaecker, 1857 (0.6%). Three carapace measurements were taken for each specimen: carapace width (CW), carapace length (CL), and interocular distance (ID). The variables CL and ID were fit to a power equation taking CW as the reference dimension. As in other brachyurans, growth pattern analyses indicated an isometric type in all CW vs CL and CW vs ID relationships examined. Interspecific differences included a larger body size for T. bidentata and larger ID/CW for T. digitalis. Significant intraspecific differences in the two insular populations of T. digitalis were evidenced in the ID/CW ratio. In contrast, populations of T. bidentata were morphometrically closer. These results indicate a higher degree of connectedness of the parts of the T. bidentata metapopulation than of that of T. digitalis, probably due to differences in the duration of their larval stages. We think that the larger body size in T. bidentata might account for competitive advantages in food gathering and habitat selection over the remaining species. In turn, as a counteracting trait for its smaller size, the larger ID might allow T. digitalis a better ability to perceive 3D and to judge relative distances between objects, thus avoiding competitive combats and improving antipredatory or escape responses.  2010 Koninklijke Brill NV, Leiden.",1,"MA40","","","",""
"X.ISI.000301431100001","Codivergence and multiple host species use by fig wasp populations of the Ficus pollination mutualism","McLeish, Michael J. and van Noort, Simon","BMC EVOLUTIONARY BIOLOGY",12,NA,NA,2012,"10.1186/1471-2148-12-1","Background: The interaction between insects and plants takes myriad forms in the generation of spectacular diversity. In this association a species host range is fundamental and often measured using an estimate of phylogenetic concordance between species. Pollinating fig wasps display extreme host species specificity, but the intraspecific variation in empirical accounts of host affiliation has previously been underestimated. In this investigation, lineage delimitation and codiversification tests are used to generate and discuss hypotheses elucidating on pollinating fig wasp associations with Ficus. Results: Statistical parsimony and AMOVA revealed deep divergences at the COI locus within several pollinating fig wasp species that persist on the same host Ficus species. Changes in branching patterns estimated using the generalized mixed Yule coalescent test indicated lineage duplication on the same Ficus species. Conversely, Elisabethiella and Alfonsiella fig wasp species are able to reproduce on multiple, but closely related host fig species. Tree reconciliation tests indicate significant codiversification as well as significant incongruence between fig wasp and Ficus phylogenies. Conclusions: The findings demonstrate more relaxed pollinating fig wasp host specificity than previously appreciated. Evolutionarily conservative host associations have been tempered by horizontal transfer and lineage duplication among closely related Ficus species. Independent and asynchronistic diversification of pollinating fig wasps is best explained by a combination of both sympatric and allopatric models of speciation. Pollinator host preference constraints permit reproduction on closely related Ficus species, but uncertainty of the frequency and duration of these associations requires better resolution.",1,"MA49","","","",""
"X.ISI.000464407800001","How individual and relative size affect participation in territorial defense and cortisol levels in a social fish","Ligocki, Isaac Y. and Earley, Ryan L. and Hamilton, Ian M.","JOURNAL OF EXPERIMENTAL ZOOLOGY PART A-ECOLOGICAL AND INTEGRATIVE PHYSIOLOGY",331,"4","217-226",2019,"10.1002/jez.2255","For many species, behaviors such as territory defense and parental care are energetically costly, but are nonetheless can provide substantial fitness gains. In systems in which both parents provide parental care, each of the parents benefits from exhibiting (or having their partner exhibit) these behaviors. However, in many cases, costs and benefits differ between parents due to factors such as size or sex. Different intruder types may also impose different costs on parents. Predatory intruders might consume offspring, whereas conspecifics might threaten the social status of a parent, or provide benefits as a potential group joiner or mate. Responses to these intrusions may also be associated with variation in individual stress responses. We investigated associations among male and female sizes, and the interaction between these, with defense against conspecific and heterospecific territorial intruders by members of successfully breeding pairs in the cichlid fish Neolamprologus pulcher. We also investigated whether cortisol levels were associated with size or participation in territory defense because each may be a cause or consequence of individual variation in the stress response. We found that females paired with large males performed fewer defensive behaviors than females paired with smaller males. Males paired with relatively large females had higher baseline cortisol levels than those paired with smaller females. Collectively, individual characteristics such as size have consequences for each individual's behavior, and also influence the behavior, and endocrine state of social partners.",1,"MA188","","","",""
"Tan2018","Transgenerational wing induction upon fungal infection of aphids","Tan, W.-H. and Reyes, M.L. and Hoang, K.L. and Acevedo, T. and Leon, F. and Barbosa, J.D. and Gerardo, N.M.","PLoS ONE",13,"10",NA,2018,"10.1371/journal.pone.0201865","Aphids, like most animals, mount a diverse set of defenses against pathogens. For aphids, two of the best studied defenses are symbiont-conferred protection and transgenerational wing induction. Aphids can harbor bacterial symbionts that provide protection against pathogens, parasitoids and predators, as well as against other environmental stressors. In response to signals of danger, aphids also protect not themselves but their offspring by producing more winged than unwinged offspring as a way to ensure that their progeny may be able to escape deteriorating conditions. Such transgenerational wing induction has been studied most commonly as a response to overcrowding of host plants and presence of predators, but recent evidence suggests that pea aphids (Acyrthosiphon pisum) may also begin to produce a greater proportion of winged offspring when infected with fungal pathogens. Here, we explore this phenomenon further by asking how protective symbionts, pathogen dosage and environmental conditions influence this response. Overall, while we find some evidence that protective symbionts can modulate transgenerational wing induction in response to fungal pathogens, we observe that transgenerational wing induction in response to fungal infection is highly variable. That variability cannot be explained entirely by symbiont association, by pathogen load or by environmental stress, leaving the possibility that a complex interplay of genotypic and environmental factors may together influence this trait.  2018 MDPI AG. All rights reserved.",1,"MA394","","","",""
"Ros2007239","Spider mite (Acari: Tetranychidae) mitochondrial COI phylogeny reviewed: Host plant relationships, phylogeography, reproductive parasites and barcoding","Ros, V.I.D. and Breeuwer, J.A.J.","Experimental and Applied Acarology",42,"4","239-262",2007,"10.1007/s10493-007-9092-z","The past 15 years have witnessed a number of molecular studies that aimed to resolve issues of species delineation and phylogeny of mites in the family Tetranychidae. The central part of the mitochondrial COI region has frequently been used for investigating intra- and interspecific variation. All these studies combined yield an extensive database of sequence information of the family Tetranychidae. We assembled this information in a single alignment and performed an overall phylogenetic analysis. The resulting phylogeny shows that important patterns have been overlooked in previous studies, whereas others disappear. It also reveals that mistakes were made in submitting the data to GenBank, which further disturbed interpretation of the data. Our total analysis clearly shows three clades that most likely correspond to the species T. urticae, T. kanzawai and T. truncatus. Intraspecific variation is very high, possibly due to selective sweeps caused by reproductive parasites. We found no evidence for host plant associations and phylogeographic patterns in T. urticae are absent. Finally we evaluate the application of DNA barcoding.  2007 Springer Science+Business Media B.V.",1,"MA349","","","",""
"X.ISI.000367474300005","Individual variation behind the evolution of cooperation","Barta, Zoltan","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",371,"1687",NA,2016,"10.1098/rstb.2015.0087","Life on Earth has two remarkable properties. The first is variation: even apart from the vast number of extant species, there are considerable differences between individuals within a single species. The second property is cooperation. It is surprising that until recently the interactions between these two properties have rarely been addressed from an evolutionary point of view. Here, I concentrate on how inter-individual differences influence the evolution of cooperation. First, I deal with cases where individuality is maintained by random processes like mutation or phenotypic noise. Second, I examine when differences in state cause differences in behaviour. Finally, I investigate the effects of individual role specialization. Variation can be important in several ways. Increased random variation can change the expectation about cooperativeness of future partners, altering behaviour in a current relationship. Differences in state may serve as a book-keeping mechanism that is necessary for the evolution of reciprocity. If the cost of cooperation can depend on state then strategic regulation of state makes it possible to coerce partners to cooperate. If conditions force individuals to specialize, cooperation becomes more valuable. My review of theoretical models suggests that variation plays an important role in the evolution of cooperation.",1,"MA201","","","",""
"X.ISI.000438464300009","Deciphering the Interdependence between Ecological and Evolutionary Networks","Melian, Carlos J. and Matthews, Blake and de Andreazzi, Cecilia S. and Rodriguez, Jorge P. and Harmon, Luke J. and Fortuna, Miguel A.","TRENDS IN ECOLOGY \& EVOLUTION",33,"7","504-512",2018,"10.1016/j.tree.2018.04.009","Biological systems consist of elements that interact within and across hierarchical levels. For example, interactions among genes determine traits of individuals, competitive and cooperative interactions among individuals influence population dynamics, and interactions among species affect the dynamics of communities and ecosystem processes. Such systems can be represented as hierarchical networks, but can have complex dynamics when interdependencies among levels of the hierarchy occur. We propose integrating ecological and evolutionary processes in hierarchical networks to explore interdependencies in biological systems. We connect gene networks underlying predator-prey trait distributions to food webs. Our approach addresses longstanding questions about how complex traits and intraspecific trait variation affect the interdependencies among biological levels and the stability of meta-ecosystems.",2,"MA86","","","",""
