abstract.id,title,abstract,screener.id,decision,scale,topic
MA95,Diversity and evolutionary patterns of bacterial gut associates of corbiculate bees,"The animal gut is a habitat for diverse communities of microorganisms (microbiota). Honeybees and bumblebees have recently been shown to harbour a distinct and species poor microbiota, which may confer protection against parasites. Here, we investigate diversity, host specificity and transmission mode of two of the most common, yet poorly known, gut bacteria of honeybees and bumblebees: Snodgrassella alvi (Betaproteobacteria) and Gilliamella apicola (Gammaproteobacteria). We analysed 16S rRNA gene sequences of these bacteria from diverse bee host species across most of the honeybee and bumblebee phylogenetic diversity from North America, Europe and Asia. These focal bacteria were present in 92% of bumblebee species and all honeybee species but were found to be absent in the two related corbiculate bee tribes, the stingless bees (Meliponini) and orchid bees (Euglossini). Both Snodgrassella alvi and Gilliamella apicola phylogenies show significant topological congruence with the phylogeny of their bee hosts, albeit with a considerable degree of putative host switches. Furthermore, we found that phylogenetic distances between Gilliamella apicola samples correlated with the geographical distance between sampling locations. This tentatively suggests that the environmental transmission rate, as set by geographical distance, affects the distribution of G. apicola infections. We show experimentally that both bacterial taxa can be vertically transmitted from the mother colony to daughter queens, and social contact with nest mates after emergence from the pupa greatly facilitates this transmission. Therefore, sociality may play an important role in vertical transmission and opens up the potential for co-evolution or at least a close association of gut bacteria with their hosts.  2013 Blackwell Publishing Ltd.",JW,"exclude (no intraspecific trait variation, no shift in quality of interaction)",,
MA358,"Symbiosis, Introduction to","Symbiosis is the persistent association of two or more dissimilar species. This phenomenon is widespread in nature and has contributed to major transitions in the evolution of life on Earth. Symbiosis can serve as a source of evolutionary innovation. Diverse plant and animal species harbor microbial symbionts that aid their hosts in resource acquisition and defense. Symbioses can originate from diverse interaction types, and can be maintained or broken down through a variety of mechanisms. Understanding and manipulating symbioses may provide direct benefits to human health and agricultural systems.  2016 Elsevier Inc. All rights reserved.",JW,"exclude (no intraspecific trait variation, no shift in quality of interaction)",,
MA176,Heterogenistics: An epistemological restructuring of biological and social sciences,"The epistemology which sees intra-specific and intra-group heterogenization, symbiotization, interactive pattern-generating and change as basic principles produces types of theories and research strategies different from the epistemology based on the notions of intra-specific and intra-group uniformity, competition and stabilization. In the uniformistic view, individual variations have been reduced mainly either to statistical deviations from the mean or to dominance relationship. On the other hand in the heterogenistic view, mutual beneficial interactions between qualitatively heterogeneous individuals within a group is regarded as indispensable for the increase of the level of behavioral and biological sophistication and evolution. This article compares five epistemologies including the two mentioned above in the context of the current epistemological transition in science, particularly due to the emergence of non-equilibrium thermodynamics in physics and differentiation-amplifying reciprocal causal models in mathematics and engineering, both of which consider the universe as pattern-generating, information-creating and evolving.  1977 Leiden University Press/Dr. W. Junk b.v.",JW,exclude (no shift in quality of interaction),,
MA323,Simple foraging rules in competitive environments can generate socially structured populations,"Social vertebrates commonly form foraging groups whose members repeatedly interact with one another and are often genetically related. Many species also exhibit within-population specializations, which can range from preferences to forage in particular areas through to specializing on the type of prey they catch. However, within-population structure in foraging groups, behavioral homogeneity in foraging behavior, and relatedness could be outcomes of behavioral interactions rather than underlying drivers. We present a simple process by which grouping among foragers emerges and is maintained across generations. We introduce agent-based models to investigate (1) whether a simple rule (keep foraging with the same individuals when you were successful) leads to stable social community structure, and (2) whether this structure is robust to demographic changes and becomes kin-structured over time. We find the rapid emergence of kin-structured populations and the presence of foraging groups that control, or specialize on, a particular food resource. This pattern is strongest in small populations, mirroring empirical observations. Our results suggest that group stability can emerge as a product of network self-organization and, in doing so, may provide the necessary conditions for the evolution of more sophisticated processes, such as social learning. This taxonomically general social process has implications for our understanding of the links between population, genetic, and social structures.",JW,exclude (no shift in quality of interaction),,
MA217,Intra-group relatedness affects parental and helper investment rules in offspring care,"In any system where multiple individuals jointly contribute to rearing offspring, conflict is expected to arise over the relative contributions of each carer. Existing theoretical work on the conflict over care has: (a) rarely considered the influence of tactical investment during offspring production on later contributions to offspring rearing; (b) concentrated mainly on biparental care, rather than cooperatively caring groups comprising both parents and helpers; and (c) typically ignored relatedness between carers as a potential influence on investment behavior. We use a game-theoretical approach to explore the effects of female production tactics and differing group relatedness structures on the expected rearing investment contributed by breeding females, breeding males, and helpers in cooperative groups. Our results suggest that the breeding female should pay higher costs overall when helpful helpers are present, as she produces additional offspring to take advantage of the available care. We find that helpers related to offspring through the breeding female rather than the breeding male should contribute less to care, and decrease their contribution as group size increases, because the female refrains from producing additional offspring to exploit them. Finally, within-group variation in helper relatedness also affects individual helper investment rules by inflating the differences between the contributions to care of dissimilar helpers. Our findings underline the importance of considering maternal investment decisions during offspring production to understand investment across the entire breeding attempt, and provide empirically testable predictions concerning the interplay between maternal, paternal and helper investment and how these are modified by different relatedness structures.  2013 Springer-Verlag Berlin Heidelberg.",JW,include,intraspecific,"male-female, theoretical/modelling"
MA236,Male reproductive skew is higher in bonobos than chimpanzees,"The two closest living relatives of humans, bonobos (Pan paniscus) and chimpanzees (Pan troglodytes), share many traits that are common in humans but rare in other mammals, including societies with high fissionfusion dynamics, male philopatry, female dispersal and extensive social bonding among unrelated individuals [1]. The major difference between these two species is that male aggression is more frequent and intense in male-dominated chimpanzees than in bonobos, where the highest-ranking individuals are female [1]. One potential explanation is that because periods of female sexual receptivity and attractiveness are more extended in bonobos [2], males compete less intensely for each mating opportunity. This would reduce the strength of selection for traits that lead to success in direct contest competition between males and in sexual coercion of females, thus increasing the potential for female choice [3]. Accordingly, it has been predicted that the influence of male dominance rank on reproductive success and the extent of male reproductive skew should be lower in bonobos than in chimpanzees [1]. Although relevant for understanding the evolution of the unusual levels of egalitarianism and cooperation found in human hunter-gatherers [4], comparative analyses in the genus Pan have been limited by the scanty paternity data available for wild bonobos [5]. Here, we show using the largest sample of paternity data available that, contrary to expectation, male bonobos have a higher reproductive skew and a stronger relationship between dominance rank and reproductive success than chimpanzees.  2017 Elsevier Ltd",JW,include,intraspecific,male-female
MA407,Volatile-mediated location of mutualist host and toxic non-host microfungi by Drosophila larvae,"In analogy to herbivores, fungivorous animals may find suitable host fungi using fungal volatiles as infochemicals and to distinguish between fungi of varying suitability. This study tests the influence of volatiles emitted by micro-fungi, yeast and mould, on the foraging behaviour of facultative fungivorous Drosophila melanogaster larvae. We hypothesised that establishing or avoiding contact with edible yeast (host fungus) and inedible, toxic mould (non-host fungus) is regulated by fungus-specific variation in volatile production. In particular, we expected the non-host fungus to produce specific volatiles that repel fly larvae and thus contribute to signal inedibility. By quantifying innate variation in arrival of individual D. melanogaster larvae at colonies of the mutualist yeast Candida californica or of the antagonistic mould Penicillium expansum, we found the yeast to attract more rapidly a larger number of larvae than the mould did. The developmental stage (young, vegetative vs. old, sporulating) of P. expansum did not affect arrival of larvae at fungal colonies. We used gas chromatography coupled with mass spectrometry (GC-MS) to identify the composition of fungal volatiles. Four compounds appeared to be yeast-specific, twenty to be mould-specific volatiles. Eight volatiles were consistently produced by both young and old P. expansum. Two compounds, 3-methyl-1-butanol and 2-methyl-1-propanol, were released by P. expansum (young and old) as well as C. californica. Time-dependent behavioural response profiles of similar to 750 D. melanogaster larvae revealed innate attraction to three alcohols produced by yeast and/or moulds and to two yeast-specific organic acids. We found no indication of a repellent effect of mould-specific compounds, including terpenoids like geosmin known to elicit strong avoidance behaviour of adult D. melanogaster in response to harmful microbes. Also, synthetic mould and yeast-specific blends of attractive compounds were equally attractive to the larvae. With respect to the species combinations investigated in this study, we hypothesize that qualitative differences in fungal volatile profiles are of minor relevance in how Drosophila larvae locate and probably discriminate between fungi of varying suitability.",JW,exclude (no intraspecific trait variation in fungal volatiles that would change the quality of interspecific interaction) ,,
MA143,Feather mite abundance varies but symbiotic nature of mite-host relationship does not differ between two ecologically dissimilar warblers,"Feather mites are obligatory ectosymbionts of birds that primarily feed on the oily secretions from the uropygial gland. Feather mite abundance varies within and among host species and has various effects on host condition and fitness, but there is little consensus on factors that drive variation of this symbiotic system. We tested hypotheses regarding how within-species and among-species traits explain variation in both (1) mite abundance and (2) relationships between mite abundance and host body condition and components of host fitness (reproductive performance and apparent annual survival). We focused on two closely related (Parulidae), but ecologically distinct, species: Setophaga cerulea (Cerulean Warbler), a canopy dwelling open-cup nester, and Protonotaria citrea (Prothonotary Warbler), an understory dwelling, cavity nester. We predicted that feather mites would be more abundant on and have a more parasitic relationship with P.citrea, and within P.citrea, females and older individuals would harbor greater mite abundances. We captured, took body measurements, quantified feather mite abundance on individuals primaries and rectrices, and monitored individuals and their nests to estimate fitness. Feather mite abundance differed by species, but in the opposite direction of our prediction. There was no relationship between mite abundance and any measure of body condition or fitness for either species or sex (also contrary to our predictions). Our results suggest that species biology and ecological context may influence mite abundance on hosts. However, this pattern does not extend to differential effects of mites on measures of host body condition or fitness.  2017 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.",JW,include,interspecific,predator-prey
MA352,State-dependent sentinels: an experimental study in the Arabian babbler,"Natural patterns of cooperative sentinel behaviour in Arabian babblers. Turdoides squamiceps have proven consistent with state-dependent models of individually selfish anti-predator strategies. Here we demonstrate experimentally that sentinel effort within groups is determined simply hy individual state. The two highest-ranking males in eight groups were separately fed a supplement of mealworms each for one day at a time. Control days before and after each treatment confirmed that Ilo carry-over effects occurred, and that most normal sentinel activity was carried our by alpha males, then beta males and then by. the rest of the group. When supplemented. both alpha and beta males exhibited similar marked increases in sentinel activity relative to control days. Unsupplemented males and the rest of the group incompletely compensated for these increases with reductions in sentinel effort. Differences in individual bod! mass within groups reflected natural and experimental variation in sentinel effort. Alpha and beta males weighed more than other group members, and gained mass only when supplementally fed. There was no evidence either for competitive sentinel behaviour, nor for an); increased interference between malts during the supplementation treatments. These results therefore provide strong evidence in support of the state-dependent approach to cooperative sentinel behaviour.",JW,include,intraspecific,social behavior
MA118,Emergence of ratio-dependent and predator-dependent functional responses for pollination mutualism and seed parasitism,"Prey (N) dependence {[}g(N)], predator (P) dependence {[}g(P) or g(N,P)], and ratio dependence {[}f(P/N)] are often seen as contrasting forms of the predator's functional response describing predator consumption rates on prey resources in predator-prey and parasitoid-host interactions. Analogously, prey-, predator-, and ratio-dependent functional responses are apparently alternative functional responses for other types of consumer-resource interactions. These include, for example, the fraction of flowers pollinated or seeds parasitized in pollination (pre-dispersal) seed-parasitism mutualisms, such as those between fig wasps and fig trees or yucca moths and yucca plants. Here we examine the appropriate functional responses for how the fraction of flowers pollinated and seeds parasitized vary with the density of pollinators (predator dependence) or the ratio of pollinator and flower densities (ratio dependence). We show that both types of functional responses can emerge from minor, but biologically important variations on a single model. An individual-based model was first used to describe plant-pollinator interactions. Conditional upon on whether the number of flowers visited by the pollinator was limited by factors other than search time (e.g., by the number of eggs it had to lay, if it was also a seed parasite), and on whether the pollinator could directly find flowers on a plant, or had to search, the simulation results lead to either a predator-dependent or a ratio-dependent functional response. An analytic model was then used to show mathematically how these two cases can arise. (c) 2005 Published by Elsevier B.V.",JW,include,interspecific,"predator-prey, theoretical/modelling"
