abstract.id,title,abstract,screener.id,decision,scale,topic
MA28,"Bargaining power and adolescent aggression: the role of fighting ability, coalitional strength, and mate value","Basic models of animal conflict show that animals with more bargaining power can expect a larger share of resources and more frequently deploy aggression when challenged. Bargaining power comes from multiple sources including formidability (e.g. personal fighting ability) and cooperative value (e.g. mate value). Here, we apply this basic conceptual framework to human adolescents and test seven core hypotheses derived from this paradigm on a large sample of Swiss students (N = 1447; 15-17 years old). Three components of bargaining power were measured in males and females: fighting ability, coalitional strength, and mate value. Fighting ability and mate value reliably predicted aggression, aggressive attitudes, and delinquent behavior in both boys and girls. The effect of fighting ability on aggression was predictably larger and more robust in males than females. Coalitional strength also reliably predicted aggressive bargaining in boys but less consistently in girls. Regression analyses showed that the effect of each component of bargaining power was independent and survived numerous controls. Results support the thesis that individual differences in aggressive behavior result, in part, from individual differences in bargaining power. (C) 2016 Elsevier Inc. All rights reserved.",PT,include,intraspecific,resource competition
MA287,Policing and punishment across the domains of social evolution,"Several decades of research in humans, other vertebrates, and social insects have offered fascinating insights into the dynamics of punishment (and its subset, policing), but authors have only rarely addressed whether there are fundamental joint principles underlying the maintenance of these behaviors. Here we present a punisher/bystander approach rooted in inclusive fitness logic to predict which individuals should take on punishing roles in animal societies. We apply our scheme to societies of eusocial Hymenoptera and nonhuman vertebrate social breeders, and we outline potential extensions for understanding conflict regulation among cells in metazoan bodies and unrelated individuals in human societies. We highlight that: 1) no social unit is expected to express punishment behavior unless it collects positive inclusive fitness benefits that surpass alternative benefits of bystanding; 2) punishment with public good benefits can be maintained through either direct fitness benefits (coercion) or indirect fitness benefits (correction) or both; 3) differences across social systems in the distributions of power, relatedness, and reproductive options drive variation in the extent to which individuals actively punish; and 4) inclusive fitness logic captures many punishment-relevant evolutionary and ecological variables in a single framework that appears to apply across very different types of social arrangements. Synthesis Researchers have long observed that individuals in animal societies punish (and by extension, police) each other, but they have rarely investigated whether general principles underlie this behavior across social arrangements. In this paper, we present a punisher/bystander approach rooted in inclusive fitness logic to predict which individuals should take on punisher roles in animal societies. We apply the approach to eusocial insects and cooperatively breeding vertebrates and outline extensions towards the control of cancer cell lineages and punishment in human groups. We highlight how variation in specific social variables may drive differences in punishing/policing across the social domains.  2015 The Authors.",PT,include,intraspecific,Social policing
MA88,Determinants of reproductive success in dominant female meerkats,"1. In cooperative societies with high reproductive skew, selection on females is likely to operate principally through variation in the probability of acquiring dominant status and variation in reproductive success while dominant. Despite this, few studies of cooperative societies have investigated the factors that influence which females become dominant, and/or their reproductive output while in the dominant position. 2. Here we use long-term data from a wild meerkat population to describe variation in the breeding success of dominant female meerkats Suricata suricatta and investigate its causes. 3. Female meerkats compete intensely for breeding positions, and the probability of acquiring the breeding role depends upon a female's age in relation to competitors and her weight, both at the time of dominance acquisition and early in life. 4. Once dominant, individual differences in breeding success depend principally on the duration of dominance tenure. Females remain for longer in the dominant position if they are heavier than their competitors at the start of dominance, and if the number of adult female competitors at the start is low. 5. Female breeding success is also affected by variation in fecundity and pup survival, both of which increase with group size. After controlling for these effects, female body weight has a positive influence on breeding rate and litter size, while the number of adult female competitors reduces litter survival. 6. These findings suggest that selection for body weight and competitive ability will be high in female meerkats, which may moderate their investment in cooperative activities. We suggest that similar consequences of competition may occur among females in other cooperative societies where the benefits of attaining dominance status are high.  2007 The Authors.",PT,exclude,,
MA364,The bitterling-mussel interaction as a test case for co-evolution,"The European bitterling Rhodeus sericeus (Cyprinidae) spawns in the gills of freshwater mussels (Unionidae) and shows some obvious adaptations to this type of spawning, such as the development of an ovipositor. Furthermore, recent studies have shown that the fish avoid species of mussels that have a high likelihood of ejecting their eggs prematurely. This leads to the question of whether the interaction between bitterling and mussels could represent a case of co-evolution, involving evolutionary responses by both species to selection imposed by the other. The evidence for and against co-evolution is reviewed, incorporating new results from two sets of experiments designed to test for adaptive choices by bitterling according to the mussels' sex and reproductive state, as well as a preliminary study of potential benefits for mussels from exposure to bitterling. Host preferences by bitterling, both among and within mussel species, may indeed have evolved in response to differences in benefits for offspring survival. There is no evidence yet for any benefits to mussels from receiving eggs, whereas there are costs due to reduced ventilation rates when the gills contain bitterling eggs. While there are differences among mussel species and individuals in their tendency to reject bitterling embryos, these differences do not provide strong evidence for co-evolution. For example, they may reflect differences in host physiology such as ventilation rate and generalized responses to expelling objects from their gills. Therefore, while bitterling are well adapted for their obligate spawning relationship with mussels, it has been much more difficult to find evidence for adaptations by mussels for dealing with bitterling. This suggests that any co-evolutionary dynamics between bitterling and mussels may be asymmetric, with stronger responses to selection by the fish than by mussels.  2003 The Fisheries Society of the British Isles.",PT,exclude,,
MA185,"Host-symbiont-pathogen interactions in blood-feeding parasites: Nutrition, immune cross-talk and gene exchange","Animals are common hosts of mutualistic, commensal and pathogenic microorganisms. Blood-feeding parasites feed on a diet that is nutritionally unbalanced and thus often rely on symbionts to supplement essential nutrients. However, they are also of medical importance as they can be infected by pathogens such as bacteria, protists or viruses that take advantage of the blood-feeding nutritional strategy for own transmission. Since blood-feeding evolved multiple times independently in diverse animals, it showcases a gradient of host-microbe interactions. While some parasitic lineages are possibly asymbiotic and manage to supplement their diet from other food sources, other lineages are either loosely associated with extracellular gut symbionts or harbour intracellular obligate symbionts that are essential for the host development and reproduction. What is perhaps even more diverse are the pathogenic lineages that infect blood-feeding parasites. This microbial diversity not only puts the host into a complicated situation -distinguishing between microorganisms that can greatly decrease or increase its fitness -but also increases opportunity for horizontal gene transfer to occur in this environment. In this review, I first introduce this diversity of mutualistic and pathogenic microorganisms associated with blood-feeding animals and then focus on patterns in their interactions, particularly nutrition, immune cross-talk and gene exchange.  2018 Cambridge University Press.",PT,exclude,,
MA367,The distribution of Symbiodinium diversity within individual host foraminifera,"While one-to-one specificity between reef-dwelling hosts and symbiotic dinoflagellates of the genus Symbiodinium may occur, detailed examination of some hosts reveals that they contain multiple symbiont types. Individuals of the foraminifer Amphisorus hemprichii living in Papua New Guinea contained mixed communities of Symbiodinium dominated by symbiont types in clades C and F. Moreover, the types showed a distinct pattern in their distribution across the radius of the foraminifer, with clade F Symbiodinium more prevalent in the center of the host cell. The mixed community of symbionts and their pattern of distribution within the foraminifer is likely the result of processes happening both inside the foraminifer and in its external environment. Persistent mixed symbiont communities in foraminifera may be stabilized through benefits conferred by maintaining multiple symbiont lineages for symbiont shuffling. Alternatively they may be stabilized through a heterogeneous internal host environment, partitioning of symbiont functional roles or limitation of symbiont reproduction by the host. Six factors generally determine the presence of any particular symbiont type within a foraminifer: mode of transmission, availability from the environment, recognition by the host, regulation by the host, competition between lineages, and fitness of the holobiont.  The Author(s) 2009.",PT,include,interspecific,Symbionts
MA108,Dominant and subordinate outside options alter help and eviction in a pay-to-stay negotiation model,"In several cooperatively breeding species, subordinates that do not help sufficiently are punished or evicted from the group by dominant individuals. The credibility of dominant eviction threats may vary with the social context beyond the group level: when subordinates can easily breed in a neighboring territory, dominants may be less able to demand help from subordinates. Further, dominant ability to enforce subordinate cooperation may be reduced when it is difficult to replace evicted subordinates or in small groups where each subordinate makes a large contribution to group productivity. Here, we develop a 2-player game theoretic model to examine how the social context influences subordinate help and the threshold of help at which dominants evict subordinates. In contrast to predictions, we found that dominants demand more help when dominants are less able to replace evicted subordinates, suggesting that dominants punish a dereliction of helping behavior more strongly when they are unable to compensate for the loss of an evicted subordinate. In single sealed-bid games, subordinates help less than the fitness costs they impose on dominants and help does not vary with subordinate breeding opportunities outside the group. However, when subordinates can plastically increase help in response to demanding dominants (akin to pay-to-stay dynamics), subordinates provide more help overall, but decrease their help as breeding opportunities outside of the group increase. Our results demonstrate the importance of incorporating negotiation into theoretical models of helping strategies and demonstrate that plasticity is a key mechanism underlying pay-to-stay mechanisms of cooperation.",PT,include,intraspecific,Theory/modelling
MA144,Feedback between Population and Evolutionary Dynamics Determines the Fate of Social Microbial Populations,"The evolutionary spread of cheater strategies can destabilize populations engaging in social cooperative behaviors, thus demonstrating that evolutionary changes can have profound implications for population dynamics. At the same time, the relative fitness of cooperative traits often depends upon population density, thus leading to the potential for bi-directional coupling between population density and the evolution of a cooperative trait. Despite the potential importance of these eco-evolutionary feedback loops in social species, they have not yet been demonstrated experimentally and their ecological implications are poorly understood. Here, we demonstrate the presence of a strong feedback loop between population dynamics and the evolutionary dynamics of a social microbial gene, SUC2, in laboratory yeast populations whose cooperative growth is mediated by the SUC2 gene. We directly visualize eco-evolutionary trajectories of hundreds of populations over 50-100 generations, allowing us to characterize the phase space describing the interplay of evolution and ecology in this system. Small populations collapse despite continual evolution towards increased cooperative allele frequencies; large populations with a sufficient number of cooperators ``spiral{''} to a stable state of coexistence between cooperator and cheater strategies. The presence of cheaters does not significantly affect the equilibrium population density, but it does reduce the resilience of the population as well as its ability to adapt to a rapidly deteriorating environment. Our results demonstrate the potential ecological importance of coupling between evolutionary dynamics and the population dynamics of cooperatively growing organisms, particularly in microbes. Our study suggests that this interaction may need to be considered in order to explain intraspecific variability in cooperative behaviors, and also that this feedback between evolution and ecology can critically affect the demographic fate of those species that rely on cooperation for their survival.",PT,exclude,,
MA142,Favouritism or intrabrood competition? Access to food and the benefits of philopatry for red-cockaded woodpeckers,"In species showing delayed natal dispersal, broodmates vary in natal dispersal timing and strategy, where some choose to disperse early while others delay. In the cooperatively breeding red-cockaded woodpecker, Picoides borealis, typically only one juvenile male per brood delays dispersal despite the lifetime fitness benefits associated with delayed dispersal. We sought to determine whether adult favouritism or intrabrood competition over the distribution of natal food resources provides a mechanism for the persistence of individual variation in natal dispersal strategies. We show that fledgling red-cockaded woodpeckers form male-biased, linear dominance hierarchies as a result of frequent aggressive conflicts. For males, high nestling condition relative to male broodmates was a strong predictor of future dominance, and this condition-rank relationship persisted after individuals reached nutritional independence. Adults were never observed interfering with broodmate conflicts, and were only rarely aggressive towards fledglings. Adults showed no overt favouritism towards offspring when targeting individual fledglings during provisioning early in the postfledging period. However, conflict rates increased with decreasing targeted-feeding rates, suggesting that access to resources is an important function of dominance hierarchies. After fledglings were developmentally able to compete for positions near foraging adults, first-and second-ranking males were fed more often than subordinate females. Of the juvenile males surviving to spring, subordinates were more likely to disperse during their first year than were their dominant broodmates. Together, our findings suggest that for young red-cockaded woodpeckers, intrabrood social rank provides a mechanism for prioritized access to natal resources and variation in natal dispersal strategy. (C) 2011 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",PT,exclude,,
MA203,"Individual versus social complexity, with particular reference to ant colonies","Insect societies - colonies of ants, bees, wasps and termites vary enormously in their social complexity. Social complexity is a broadly used term that encompasses many individual and colony-level traits and characteristics such as colony size, polymorphism and foraging strategy. A number of earlier studies have considered the relationships among various correlates of social complexity in insect societies; in this review, we build upon those studies by proposing additional correlates and show how all correlates can be integrated in a common explanatory framework. The various correlates are divided among four broad categories (sections). Under 'polyphenism' we consider the differences among individuals, in particular focusing upon 'caste' and specialization of individuals. This is followed by a section on 'totipotency' in which we consider the autonomy and subjugation of individuals. Under this heading we consider various aspects such as intracolony conflict, worker reproductive potential and physiological or morphological restrictions which limit individuals' capacities to perform a range of tasks or functions. A section entitled 'organization of work' considers a variety of aspects, e.g. the ability to tackle group, team or partitioned tasks, foraging strategics and colony reliability and efficiency. A final section, 'communication and functional integration', considers how individual activity is coordinated to produce an integrated and adaptive colony. Within each section we use illustrative examples drawn from the social insect literature (mostly from ants, for which there is the best data) to illustrate concepts or trends and make a number of predictions concerning how a particular trait is expected to correlate with other aspects of social complexity. Within each section we also expand the scope of the arguments to consider these relationships in a much broader sense of 'sociality' by drawing parallels with other 'social' entities such as multicellular individuals, which can be understood as 'societies' of cells. The aim is to draw out any parallels and common causal relationships among the correlates. Two themes run through the study. The first is the role of colony size as an important factor affecting social complexity. The second is the complexity of individual workers in relation to the complexity of the colony. Consequently, this is an ideal opportunity to test a previously proposed hypothesis that 'individuals of highly social ant species arc less complex than individuals from simple ant species' in light of numerous social correlates. Our findings support this hypothesis. In summary, we conclude that, in general, complex societies arc characterized by large colony size, worker polymorphism, strong behavioural specialization and loss of totipotency in its workers, low individual complexity, decentralized colony control and high system redundancy, low individual competence, a high degree of worker cooperation when tackling tasks, group foraging strategies, high tempo, multi-chambered tailor-made nests, high functional integration, relatively greater use of cues and modulatory signals to coordinate individuals and heterogeneous patterns of worker-worker interaction.",PT,exclude,,
