title,abstract,abstract.id,screener.id,decision,scale,topic,notes
Intraspecific variation in allelochemistry determines an invasive species' impact on soil microbial communities,"
Invasive species can benefit from altered species interactions in their new range, and by interfering with species interactions among native competitors. Since exotic invasions are generally studied at the species level, relatively little is known about intraspecific variation in the traits that determine an invader's effect on native species. Alliaria petiolata is a widespread and aggressive invader of forest understories that succeeds in part by interfering with mutualistic interactions between native plants and soil fungi. Here, I show that the impact of A. petiolata on soil microbial communities varied among individuals due to variation in their allelochemical concentrations. The differential impacts translated into varied effects on native tree growth, partly because A. petiolata's allelochemicals preferentially affected the most mutualistic fungal taxa. These results highlight the importance of considering the spatial and temporal variation in an invasive species' impacts for understanding and managing the invasion process.
",MA222,KJB,include,interspecific,mutualistic interactions,"Doubtful: seems that it is not the variation itself, but rather the different actual values.
[it’s saying that indivs with a different trait value, have a different effect, but not that the presence of multiple trait values changes the effect]"
Competing for seed dispersal: evidence for the role of avian seed hoarders in mediating apparent predation among oaks,"
In communities of large-seeded tree species, generalist seed hoarders often link the temporally variable dynamics of various species in ways that can result in indirect ecological interactions. A special case of such interactions is apparent predation' - when variation in seed production of one tree species changes the outcome of the interaction between seed hoarders and another tree species from seed dispersal mutualism to predation. We investigated how two species of avian hoarders responded to differences in acorn availability among individual valley oaks (Quercus lobata) and across a landscape dominated by blue oaks (Q.douglasii) to determine whether seed dispersal and predation dynamics result in apparent predation between these oak species. California scrub-jays (Aphelocoma californica), high-quality seed dispersers with large spatial scales of resource perception, showed strong numerical and functional responses to individually large Q.lobata acorn crops when landscape-level acorn crops were low, but the numerical response was not observed when Q.douglasii produced a good acorn crop the subsequent year. In contrast, acorn woodpeckers (Melanerpes formicivorus), which are significant acorn predators, exhibited a consistent functional response to individual Q.lobata acorn crops independent of landscape-wide availability. Consequently, Q.lobata experienced increased predation and a near absence of high-quality seed dispersal when Q.douglasii acorns were abundant. Our results suggest that apparent predation among oak species can arise from contrasting responses of generalist seed predators and dispersers to acorn availability on different spatial scales. Thus, the spatial scale of resource perception, which can differ greatly among generalist seed hoarders, may provide a proximate mechanism underlying indirect, temporally variable ecological affects such as apparent predation among sympatric species of large-seeded trees.
",MA60,KJB,exclude,interspecific,dispersal/predation,Seems to require three species and seems to be more about actual values than about variation itself.
Complex network representation of multiagent systems with cooperative and competitive interactions,"
The dynamic behavior of Multi-Agent Systems (MAS) is analyzed in the context of a modifed Lotka-Volterra model. The interaction strength is determined by the difference of agent sizes: as the difference increases, the interaction is weaker. Competitive and cooperative scenarios are analyzed, showing clusters of agents in the stationary state. However, meantime in the competitive scenario the agent sizes are constrained to be non greater than the capacity value ( = 1), in the cooperative scenario, they are allowed to exceed such capacity making clear the advantages of cooperation. The complex network representation is introduced in order to enhance the role of agent sizes and their one-on-one interactions in the dynamic behavior of the system. 2014 by the Author.
",MA67,KJB,include,intraspecific,"competition, theoretical/modelling","probably cooperation vs. competition are imposed externally, and not the product of the variation."
Policing and group cohesion when resources vary,"
The transition from competing individuals to cooperative groups has occurred several times in evolutionary history. The puzzle is why selfish individuals did not subvert cohesive group behaviour by taking resources without contributing to the group's overall success. Kin selection and reciprocal altruism are the two standard explanations for group cohesion. But many groups have evolved into cooperative units when relatedness was low and opportunities were limited for the strategic alliances required for reciprocity. A new theory was recently proposed in which individuals invest some of their resources into repressing competition between group members. Such policing increases the fair distribution of resources in the group and enhances group cohesion. The surprising aspect of this theory is that low relatedness is more conducive to the spread of policing traits than is high relatedness. Here a new explanation is developed of the biological processes that favour policing. The model is then extended in two ways. First, more realism is added to the theory by accounting for the full range of costs and benefits associated with competitive and cooperative traits within groups. Second, another surprising result is introduced about cooperative evolution. Small variations in individual vigour or resources can lead to large variations in individual contributions to policing the group. Stronger individuals often invest all of their excess resources into policing, but weaker individuals do not contribute to group cohesion. (C) 1996 The Association for the Study of Animal Behaviour
",MA286,KJB,include,intraspecific,"competition, theoretical/modelling","Last part of the abstract might be relevant ‘ Small variations in individual vigour or resources can lead to large variations in individual contributions to policing the group. Stronger individuals often invest all of their excess resources into policing, but weaker individuals do not contribute to group cohesion.’ Based on the abstract it seems uninteresting for us (the amount of competition itself does not change), but we might want to read the paper to be certain."
Intergroup encounters in Verreauxs sifakas (Propithecus verreauxi): who fights and why?,"
Abstract: Individuals living in groups have to achieve collective action for successful territorial defense. Because conflicts between neighboring groups always involve risks and costs, individuals must base their decision to participate in a given conflict on an evaluation of the trade-off between potential costs and benefits. Since group members may differ in motivation to engage in group encounters, they exhibit different levels of participation in conflicts. In this study, we investigated factors influencing participation in intergroup encounters in Verreauxs sifakas (Propithecus verreauxi), a group-living primate from Madagascar. Over a period of 12months, we studied eight adjacent sifaka groups in Kirindy Forest. We observed 71 encounters between known neighboring groups in which adult females and males participated equally as often. No individual participated in every encounter, and non-participation occurred more often in larger groups. Females participated less often in encounters when they had dependent infants, presumably to reduce the risk of infanticide. Male participation was influenced by social status: dominant males participated in most encounters, whereas males with fewer opportunities to reproduce participated less often, hence male participation is influenced by the incentive of maintaining access to females. The number of actively participating individuals in the opponent group positively influenced theparticipation in both sexes. Thus, sifakas seem to decide joining a given encounter opportunistically, most likely based on a combination of individual incentives and the actual circumstance of each encounter, suggesting that the complexity in intergroup relationships appears to be the product of decisions made by each individual group member. Significance statement: Cooperation among group-living animals is often challenged by collective action problems resulting from individual differences in interests in contributing to collective behaviors. Intergroup encounters involve distinguished costs and benefits for each individual despite being in the same social group. Therefore, encounters between groups offer a good opportunity to investigate individual participation in collective action. In this study, we investigate the influence of different incentives on individual participation in intergroup encounters in wild Malagasy primate, Verreauxs sifakas. We propose a novel approach that takes into account the variable circumstances of each conflict, such as the number of individuals fighting in both groups as a predictor for participation. We believe that our study not only provides novel data on wild sifakas, but it also offers new perspectives for the interpretation of intergroup relationships in other taxa. 2016, The Author(s).
",MA212,KJB,exclude,intraspecific,"empirical, conflicts",
Cooperation and conflict in the evolution of individuality .1. Multilevel selection of the organism,"
This article studies the transition in evolution from cells to multicellular organisms. The issues considered are applicable to all major transitions in the units of evolution that share two themes: the emergence of cooperation and the regulation of conflict among the lower-level units, in this case, cells. Explicit genetic models of mutation and selection both within and between organisms are studied in sexual and asexual haploid and diploid organisms without a germ line. The results may be understood in terms of the differing opportunities for within-and between-organism selection under the different reproductive modes and parameter values. Cooperation among cells increases when the fitness covariance at the level of the organism overcomes within-organism change toward defecting cells. Selection and mutation during development generate significant levels of within-organism variation and lead to significant variation in organism fitness at equilibrium. The levels of cooperativity attained can be low, even with reproduction passing through a single-cell zygote stage and the high kinship that entails. Sex serves to maintain higher levels of cooperation and lower levels of within-organism change. Fixed size may help organisms reduce conflict among cells.
",MA77,KJB,include,intraspecific,"Modelling, Multicellularity / competition across cells","doubtful: seems irrelevant, but the abstract is a bit vague, specifically, fitness covariance is mentioned, but it is unclear what fitness is covarying with. Quick scanning of the paper would be good."
"Trade-offs between social learning and individual innovativeness in common marmosets, Callithrix jacchus","
Social learning and innovation are two different ways to acquire novel behaviours, and the form of the relationship between these two processes strongly affects cultural evolution. Whereas modelling results suggest a negative correlation between the two processes within a species, comparative data show, and the cultural intelligence hypothesis predicts, positive covariation across species. Thus, there is considerable uncertainty about the form of the relationship between social learning and innovation. We explored this problem experimentally in common marmosets. Social learning of 18 subjects was assessed by presenting a video clip of a conspecific demonstrator solving a complex foraging task and comparing their success to a control group. For the same subjects, the propensity to innovate was assessed with two tasks that operationalize different types of innovation: (1) a multistage problem-solving task to estimate goal-directed Type I innovation, that is, the ability to find a solution to a novel problem or a novel solution to an old problem, and (2) a flexibility task testing for more incidental Type II innovation, that is, the propensity to realize and switch to a novel, but easier solution after the establishment of a well-learned solution. Social learning was negatively correlated with Type II innovation, but not with Type I innovation. We discuss these results with regard to competition within an individual of the various attentional processes aimed at conspecifics' behaviour or aspects of the environment, and whether they might be the result of the cooperative breeding system shared by humans and callitrichids. (C) 2009 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.
",MA392,KJB,exclude,intraspecific,relation between social learning and innovation,
Small and variable sperm sizes suggest low sperm competition despite multiple paternity in a lekking suboscine bird,"
Sperm competition, whereby sperm from multiple males compete to fertilize an egg, selects for adaptations that increase fertilization success. Because fertilization success is related to sperm number, size, and quality, both interspecific and intraspecific variation in these traits are predicted to correlate with the level of sperm competition. Specifically, species and individuals that experience high sperm competition are predicted to produce more sperm per ejaculate, produce longer sperm, and exert higher quality control, resulting in reduced numbers of morphologically abnormal sperm and reduced size variation via selection for the most successful sperm phenotype. However, the causes of sperm morphological and size variation and its consequences for sperm competition remain poorly understood, especially within species. We quantified variation in sperm morphology, size, and number in the Lancetailed Manakin (Chiroxiphia lanceolata), a Neotropical suboscine passerine with a cooperative lek mating system. Although alpha-status males sire almost all chicks, the numbers of sperm produced per ejaculate by betas, nonterritorial adults, and subadult males were similar to those produced by alphas. Sperm counts declined with age in alphas, which may explain the decreased siring success of older alphas. Most ejaculates contained both normal helical sperm and abnormal sperm with rounded heads. The proportion of morphologically normal sperm per ejaculate was unrelated to social status or age. The coefficients of variation in sperm component length (head, tail, and total) both between and within alpha males were comparable to variation reported in passerines with low sperm competition. Total sperm length was shorter than in the majority of avian species studied to date, and cloacal protuberance and relative testis size were small. These results indicate low sperm competition, despite evidence for multiple paternity, or that sperm number rather than sperm morphology may be a major postcopulatory mediator of male reproductive success in this species. This work represents the first thorough quantification of intraspecific sperm variability in a suboscine passerine. Copyright 2014 American Ornithologists' Union.
",MA325,KJB,exclude,intraspecific,sperm competition,
Phylosymbiosis: Relationships and Functional Effects of Microbial Communities across Host Evolutionary History,"
Phylosymbiosis was recently proposed to describe the eco-evolutionary pattern, whereby the ecological relatedness of host-associated microbial communities parallels the phylogeny of related host species. Here, we test the prevalence of phylosymbiosis and its functional significance under highly controlled conditions by characterizing the microbiota of 24 animal species from four different groups (Peromyscus deer mice, Drosophila flies, mosquitoes, and Nasonia wasps), and we reevaluate the phylosymbiotic relationships of seven species of wild hominids. We demonstrate three key findings. First, intraspecific microbiota variation is consistently less than interspecific microbiota variation, and microbiota-based models predict host species origin with high accuracy across the dataset. Interestingly, the age of host clade divergence positively associates with the degree of microbial community distinguishability between species within the host clades, spanning recent host speciation events (~1 million y ago) to more distantly related host genera (~108 million y ago). Second, topological congruence analyses of each group's complete phylogeny and microbiota dendrogram reveal significant degrees of phylosymbiosis, irrespective of host clade age or taxonomy. Third, consistent with selection on hostmicrobiota interactions driving phylosymbiosis, there are survival and performance reductions when interspecific microbiota transplants are conducted between closely related and divergent host species pairs. Overall, these findings indicate that the composition and functional effects of an animal's microbial community can be closely allied with host evolution, even across wide-ranging timescales and diverse animal systems reared under controlled conditions. 2016 Brooks et al.
",MA278,KJB,exclude,interspecific,Micribiota-host,"Ok, the very last part might be remotely interesting (transplanting micribiota across hosts and tracking performance) – but it’s not quite our core interest, I think."
"Root Herbivore Effects on Aboveground Multitrophic Interactions: Patterns, Processes and Mechanisms","In terrestrial food webs, the study of multitrophic interactions traditionally has focused on organisms that share a common domain, mainly above ground. In the last two decades, it has become clear that to further understand multitrophic interactions, the barrier between the belowground and aboveground domains has to be crossed. Belowground organisms that are intimately associated with the roots of terrestrial plants can influence the levels of primary and secondary chemistry and biomass of aboveground plant parts. These changes, in turn, influence the growth, development, and survival of aboveground insect herbivores. The discovery that soil organisms, which are usually out of sight and out of mind, can affect plant-herbivore interactions aboveground raised the question if and how higher trophic level organisms, such as carnivores, could be influenced. At present, the study of above-belowground interactions is evolving from interactions between organisms directly associated with the plant roots and shoots (e.g., root feeders - plant - foliar herbivores) to interactions involving members of higher trophic levels (e.g., parasitoids), as well as non-herbivorous organisms (e.g., decomposers, symbiotic plant mutualists, and pollinators). This multitrophic approach linking above- and belowground food webs aims at addressing interactions between plants, herbivores, and carnivores in a more realistic community setting. The ultimate goal is to understand the ecology and evolution of species in communities and, ultimately how community interactions contribute to the functioning of terrestrial ecosystems. Here, we summarize studies on the effects of root feeders on aboveground insect herbivores and parasitoids and discuss if there are common trends. We discuss the mechanisms that have been reported to mediate these effects, from changes in concentrations of plant nutritional quality and secondary chemistry to defense signaling. Finally, we discuss how the traditional framework of fixed paired combinations of root- and shoot-related organisms feeding on a common plant can be transformed into a more dynamic and realistic framework that incorporates community variation in species, densities, space and time, in order to gain further insight in this exciting and rapidly developing field.",MA312,KJB,exclude,interspecific,Above-belowground interactions in terrestrial foodwebs,"only mentions community variation in species, not within species"
The histone variant H2A.Z and chromatin remodeler BRAHMA act coordinately and antagonistically to regulate transcription and nucleosome dynamics in Arabidopsis,"Plants adapt to environmental changes by regulating transcription and chromatin organization. The histone H2A variant H2A.Z and the SWI2/SNF2 ATPase BRAHMA (BRM) have overlapping roles in positively and negatively regulating environmentally responsive genes in Arabidopsis, but the extent of this overlap was uncharacterized. Both factors have been associated with various changes in nucleosome positioning and stability in different contexts, but their specific roles in transcriptional regulation and chromatin organization need further characterization. We show that H2A.Z and BRM co-localize at thousands of sites, where they interact both cooperatively and antagonistically in transcriptional repression and activation of genes involved in development and responses to environmental stimuli. We identified eight classes of genes that show distinct relationships between H2A.Z and BRM with respect to their roles in transcription. These include activating and silencing transcription both redundantly and antagonistically. We found that H2A.Z contributes to a range of different nucleosome properties, while BRM stabilizes nucleosomes where it binds and destabilizes or repositions flanking nucleosomes. We also found that, at many genes regulated by both BRM and H2A.Z, both factors overlap with binding sites of the light-regulated transcription factor FAR1-Related Sequence 9 (FRS9) and that a subset of these FRS9 binding sites are dependent on H2A.Z and BRM for accessibility. Collectively, we comprehensively characterized the antagonistic and cooperative contributions of H2A.Z and BRM to transcriptional regulation, and illuminated several interrelated roles in chromatin organization. The variability observed in their individual functions implies that both BRM and H2A.Z have more context-dependent roles than previously assumed.  2019 The Authors The Plant Journal  2019 John Wiley & Sons Ltd",MA378,KJB,exclude,molecular,,
