title,abstract,abstract.id,screener.id,decision,scale,topic
The behavioral sciences and sociobiology: A darwinian approach,"Darwinian natural selection theory is the theory of choice for the overwhelming majority of behavioral biologists interested in the evolution of adaptive social behavior despite many challenges to the discipline of sociobiology over the years. The initial criticisms came from a group of ideologues who argued that sociobiology was based on a form of genetic determinism. This view was dismissed by working sociobiologists for several reasons but primarily because the criticism fundamentally misrepresents the goal of the discipline, which is to test hypotheses about the evolution and adaptive value of social traits and not to examine the proximate causes that influence the development of an individual's social behavior during its lifetime. Among the additional opposing views to the discipline that have been presented over the years are those held by academics who believe (1) that evolution occurs because of differences among groups (not individuals), (2) that kin selection theory (an amendment to Darwinian natural selection theory) has failed and should be dropped, and (3) that Darwinian sexual selection (a subset of natural selection theory) should be replaced by a more modern and inclusive theory of the evolutionary effects of the interactions between the sexes. This chapter debunks each of these competitors. Darwinian theory as modified over the last 50 years continues to be the basis for evolutionary research into the interactions between the sexes, helpful behavior in its various forms, especially the evolution of altruistic behavior, and all aspects of human sociality.  Springer International Publishing AG 2017. All Rights Reserved.",MA362,MW,exclude,,
Evolution of culture-dependent discriminate sociality: A gene-culture coevolutionary model,"Animals behave cooperatively towards certain conspecifics while being indifferent or even hostile to others. The distinction is made primarily according to kinship as predicted by the kin selection theory. With regards to humans, however, this is not always the case; in particular, humans sometimes exhibit a discriminate sociality on the basis of culturally transmitted traits, such as personal ornaments, languages, rituals, etc. This paper explores the possibility that the human faculty of cultural transmission and resultant cultural variation among individuals may have facilitated the evolution of discriminate sociality in humans. To this end, a gene-culture coevolutionary model is developed focusing on competition over control of resource as a context in which discriminate sociality may have evolved. Specifically, two types of culture-dependent discriminate sociality are considered: ingroup favouritism, with ingroup and outgroup being distinguished by the presence or absence of a cultural trait; and prestige hierarchies, with the prestige being conferred on the bearer of a cultural trait. The model specifies the conditions under which emergence and evolutionary stability of the two types of discriminate sociality are promoted by the presence of cultural variation among individuals.  2011 The Royal Society.",MA124,MW,include,intraspecific,"cooperation/hostility, modeling"
Conservation of protists: Is it needed at all?,"Protists have scarcely been considered in traditional perspectives and strategies in environmental management and biodiversity conservation. This is a remarkable omission given that these tiny organisms are highly diverse, and have performed as key ecological players in evolutionary theatres for over a billion years of Earth history. Protists hold key roles in nearly all ecosystems, notably as participants in fluxes of energy and matter through foodwebs that centre on their predation on microbes. In spite of this, they have been largely ignored in conservation issues due to a widespread, naive belief that protists are ubiquitous and cosmopolitanously distributed. Nevertheless, recent research shows that many protists have markedly restricted distributions. These range from palaeoendemics (Gondwanan-Laurasian distribution) to local endemics. Our ignorance about the ultimate and proximate causes of such acute disparities in scale-dependent distributions of protists can be flagged as a singular reason to preserve these more cryptic participants in ecological and evolutionary dynamics. This argument is disturbing when one considers anthropogenic modifications of landscapes and the very poorly understood roles of protists in ecological processes in soils, not least in agroecolandscapes and hydrological systems. Major concerns include host specific symbiotic, symphoric and parasitic species which become extinct, unseen and largely unknown, alongside their metazoan hosts; change or loss of habitats; massive change or loss of type localities; and losses of unique genetic resources and evolutionary potential. These concerns are illustrated by examples to argue that conservation of protists should be integral to any strategy that traditionally targets vascular plants and animals. The ongoing decline in research capacity to inventory and classify protist diversity exemplifies a most acute symptom of the failures, at local, national and international levels, to support scientific responses to the biodiversity crisis. Responsible responses to these severe problems need to centre on the revival of natural history as the core discipline in biology.  2007 Springer Science+Business Media B.V.",MA72,MW,exclude,,
Male reproductive success in plateau pikas (Ochotona curzoniae): A microsatellite analysis,"In many social species, competition and cooperation between group members may lead to a large variance in reproductive success among individuals, especially for adult male. From April to August 2002, we studied the adult male reproductive success of plateau pikas in Haibei Alpine Meadow Ecosystem Research Station, Chinese Academy of Science, using microsatellite analysis of paternity, mark-recapture and behavioral observations. Our result indicated that the reproductive success of adult males had a large variance. Its average was 6 individuals and range was from 0 to 13 individuals. One-third of males sired 63.22\% offspring. There was a hierarchy system in polygynandrous families. Although the reproductive success of dominant males was higher than that of subordinate males, subordinate males still play an important role in the reproductive Success of the population. (C) 2009 Published by Elsevier GmbH on behalf of Deutsche Gesellschaft fur Saugetierkunde.",MA237,MW,exclude,,
Individual variation and the resolution of conflict over parental care in penduline tits,"Eurasian penduline tits (Remiz pendulinus) have an unusually diverse breeding system consisting of frequent male and female polygamy, and uniparental care by the male or the female. Intriguingly, 30 to 40 per cent of all nests are deserted by both parents. To understand the evolution of this diverse breeding system and frequent clutch desertion, we use 6 years of field data to derive fitness expectations for males and females depending on whether or not they care for their offspring. The resulting payoff matrix corresponds to an asymmetric Snowdrift Game with two alternative evolutionarily stable strategies (ESSs): female-only and male-only care. This, however, does not explain the polymorphism in care strategies and frequent biparental desertion, because theory predicts that one of the two ESSs should have spread to fixation. Using a bootstrapping approach, we demonstrate that taking account of individual variation in payoffs explains the patterns of care better than a model based on the average population payoff matrix. In particular, a model incorporating differences in male attractiveness closely predicts the observed frequencies of male and female desertion. Our work highlights the need for a new generation of individual-based evolutionary game-theoretic models.  2011 The Royal Society.",MA200,MW,include,intraspecific,Male-female
Plant biotic interactions in the Sonoran desert: Current knowledge and future research perspectives,"Premise of research. Biotic interactions have long been considered to be of less importance in structuring desert systems than other ecosystem types, but biotic interactions often play a critical role in meeting the challenges posed by the extreme conditions of desert environments. The Sonoran Desert, in particular, is home to several textbook examples of mutualisms, such as the interactions between the iconic saguaro cactus and its bat pollinators. But what do we know about the diversity, ecology, and evolution of plant-animal, plant-plant, and plant-microbe interactions and their impacts on individual plants and plant species in the Sonoran Desert? Methodology. To address this question, we review the published research on seven common kinds of plant biotic interactions by revisiting the respective literature, identifying gaps in our knowledge, and outlining future research directions. Pivotal results. Numerous gaps in our knowledge of plant biotic interactions in the Sonoran Desert were identified. Studies of insect herbivory, bee pollination, and plant-microbe interactions are poorly represented in the Sonoran Desert literature. Across all categories of interaction, few have examined the impacts of interactions on plant fitness or context-dependent variation in the outcomes and strengths of interactions. For the most part, interactions have been studied at single locations and over short periods of time, resulting in an incomplete understanding of their diversity, ecology, and evolution. Conclusions. Plant biotic interactions shape the habitats in which they occur and play an important role in the maintenance of species diversity. Therefore, we call for increased efforts to fill the gaps in our understanding of plant biotic interactions in the Sonoran Desert, with an emphasis on studies linking interactions to plant fitness and the context-dependent nature of interactions. Without this knowledge we have limited capacity to predict the outcomes of global change on species interactions and to develop measures to conserve the biodiversity of the Sonoran Desert region.  2016 by The University of Chicago. All rights reserved.",MA281,MW,include,interspecific,"pollination and other interspecific interactions, review"
Personality and density affect nest defence and nest survival in the great tit,"Recent studies suggest that individual variation in behaviour of prey individuals may cause distinctive responses to nest predators and cooperation with conspecifics. We assessed individual differences during a novel object test and whether these responses were related to nest failure and survival of females during incubation. We additionally carried out experimental trials in natural field conditions using a stuffed pine marten, a principal nest predator, to test for a relationship between neophobia and mobbing predators. Our results show that antipredator responses of breeding great tits are dependent on their personality and personality type of neighbouring conspecifics. We found that neophilic individuals (those that rapidly resumed feeding of nestlings in the presence of a novel object) have an advantage over neophobic individuals (those that slowly resumed feeding of nestlings in the presence of a novel object) in their reproductive success, as measured in numbers of successful nests and of females that survived. Furthermore, neophilic-neophilic pairs exhibited stronger antipredator mobbing responses than neophobic-neophobic pairs. Results show that consistent individual differences in response against novel objects and antipredator behaviour are related, and that these responses are important predictors of nest failure in breeding great tits.  2014, Springer-Verlag Berlin Heidelberg and ISPA.",MA275,MW,exclude,,
The social network structure of a wild meerkat population: 3. Position of individuals within networks,"Individuals in social groups interact with numerous other group members in a polyadic network. Interactions can depend on the individual's own attributes (age, sex, status etc.), on their partner's attributes, and the group's network of social interactions. Previous studies tend to look at a subset of dyadic interactions, focusing on particular classes of individuals. We used social network analysis to explore how an individual wild meerkat's (Suricata suricatta) attributes related to their positions in three different interaction networks (grooming, dominance interactions, and foraging competitions) across eight groups. We asked whether individuals within groups associated assortatively and whether individuals with similar attributes occupied similar network positions. Differences in an individual's attributes did not consistently influence association patterns across different interaction network types. However, within network types, some attributes were especially influential across all groups. Grooming networks revealed negative assortativity by age and mass. Dominance networks revealed dominant subordinate associations and high assortativity between males. Dominant individuals exhibited higher levels of dominance interactions and were aggressive to more different individuals than subordinates. Heavier individuals received higher levels of dominance interactions. Foraging competition networks revealed that younger and lighter individuals received higher overall levels of competitions and from more group members. Our observations were similar to focused studies on dyadic interactions but also revealed subtle differences. Future descriptions of social interactions should account for networks of social interactions occurring within a group and should be cautious about treating individuals with similar attributes as functionally similar with respect to their position within a social network.",MA387,MW,include,intraspecific,various interactions
Host sharing by the honey bee parasites Lotmaria passim and Nosema ceranae,"The trypanosome Lotmaria passim and the microsporidian Nosema ceranae are common parasites of the honey bee, Apis mellifera, intestine, but the nature of interactions between them is unknown. Here, we took advantage of naturally occurring infections and quantified infection loads of individual workers (N=408) originating from three apiaries (four colonies per apiary) using PCR to test for interactions between these two parasites. For that purpose, we measured the frequency of single and double infections, estimated the parasite loads of single and double infections, and determined the type of correlation between both parasites in double infections. If interactions between both parasites are strong and antagonistic, single infections should be more frequent than double infections, double infections will have lower parasite loads than single infections, and double infections will present a negative correlation. Overall, a total of 88 workers were infected with N.ceranae, 53 with L.passim, and eight with both parasites. Although both parasites were found in all three apiaries, there were significant differences among apiaries in the proportions of infected bees. The data show no significant differences between the expected and observed frequencies of single- and double-infected bees. While the infection loads of individual bees were significantly higher for L.passim compared to N.ceranae, there were no significant differences in infection loads between single- and double-infected hosts for both parasites. These results suggest no strong interactions between the two parasites in honey bees, possibly due to spatial separation in the host. The significant positive correlation between L.passim and N.ceranae infection loads in double-infected hosts therefore most likely results from differences among individual hosts rather than cooperation between parasites. Even if hosts are infected by multiple parasites, this does not necessarily imply that there are any significant interactions between them.  2017 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.",MA181,MW,exclude,,
The nested assembly of individual-resource networks,"P>1. Much of the current understanding of ecological systems is based on theory that does not explicitly take into account individual variation within natural populations. However, individuals may show substantial variation in resource use. This variation in turn may be translated into topological properties of networks that depict interactions among individuals and the food resources they consume (individual-resource networks). 2. Different models derived from optimal diet theory (ODT) predict highly distinct patterns of trophic interactions at the individual level that should translate into distinct network topologies. As a consequence, individual-resource networks can be useful tools in revealing the incidence of different patterns of resource use by individuals and suggesting their mechanistic basis. 3. In the present study, using data from several dietary studies, we assembled individual-resource networks of 10 vertebrate species, previously reported to show interindividual diet variation, and used a network-based approach to investigate their structure. 4. We found significant nestedness, but no modularity, in all empirical networks, indicating that (i) these populations are composed of both opportunistic and selective individuals and (ii) the diets of the latter are ordered as predictable subsets of the diets of the more opportunistic individuals. 5. Nested patterns are a common feature of species networks, and our results extend its generality to trophic interactions at the individual level. This pattern is consistent with a recently proposed ODT model, in which individuals show similar rank preferences but differ in their acceptance rate for alternative resources. Our findings therefore suggest a common mechanism underlying interindividual variation in resource use in disparate taxa.",MA382,MW,exclude,,
