title;abstract;abstract.id;screener.id;include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include);ecological scale (e.g. interspecific or intraspecific);topic area (e.g. predator-prey, parasite-host, male-female, theoretical/modelling, review)
Parabiotic associations between tropical ants: Equal partnership or parasitic exploitation?;1. The huge diversity of symbiotic associations among animals and/or plants comprises both mutualisms and parasitisms. Most symbioses between social insect species, however, involve social parasites, while mutual benefits have been only suspected for some parabiotic associations - two colonies that share a nest. 2. In the rainforest of Borneo, we studied parabiotic associations between the ants Crematogaster modiglianii and Camponotus rufifemur. Parabiotic nests were regularly found inside hollow tree trunks, most likely initiated by Cr. modiglianii. This species frequently nested without its partner, whereas we never found non-parabiotic Ca. rufifemur nests. We experimentally investigated potential benefits, potential interference competition for food (as a probable cost), and foraging niches of both species. 3. The two species never showed aggressive interactions and amicably shared food resources. However, Cr. modiglianii had a wider temporal and spatial foraging range than Ca. rufifemur, always found baits before Ca. rufifemur and recruited more efficiently. Camponotus rufifemur probably benefited from following pheromone trails of Cr. modiglianii. In turn, Ca. rufifemur was significantly more successful in defending the nest against alien ants. Crematogaster modiglianii hence may profit from its partner's defensive abilities. 4. In neotropical parabioses, epiphytes grown in 'ant-gardens' play a crucial role in the association, e.g. by stabilization of nests. Hemiepiphytic Poikilospermum cordifolium (Cecropiaceae) seedlings and saplings frequently grew in the entrances of parabiotic nests in Borneo, obviously dispersed by the ants. In cafeteria experiments, both parabiotic ants carried its elaiosome-bearing seeds into the nest. However, P. cordifolium does not provide additional nest space, contrasting with neotropical ant-gardens. 5. The parabiotic association appears beneficial for both ant species, the main benefits being nest initiation by Cr. modiglianii and interspecific trail-following (for Ca. rufifemur), and, in turn, nest defence by Ca. rufifemur (for Cr. modiglianii). However, Ca. rufifemur seems to be more dependent on its partner than vice versa.  2009 British Ecological Society.;MA267;CM;include;interspecific;competition, foraging-niches
Molecular evidence for multiple infections of a new subgroup of Wolbachia in the European raspberry beetle Byturus tomentosus;Wolbachia, a group of maternally inherited intracellular parasitic bacteria, alter host reproduction, including the induction of thelytokous parthenogenesis, feminization of genetic males, son killing and, most commonly, the induction of cytoplasmic incompatibility (CI), in a diverse array of arthropods. CI can result in infertility and has attracted attention because of its potential in biological control and as an agent in speciation. Although there has been some analysis of overall infection rates in arthropods and within individual insect orders, there has been little exploration of within-species variation. In this study, primers specific for the ftsZ gene of Wolbachia were used to amplify it from different geographical samples of the European raspberry beetle (Byturus tomentosus), confirming the presence of Wolbachia. More than 99% of UK individuals were found to be infected with Wolbachia and 97% of these B. tomentosus beetles harboured multiple infections. Preliminary analysis of B. tomentosus beetles from continental European populations revealed a lower level of infection (24%) than those from the UK. Phylogenetic analysis using the ftsZ DNA sequences places Wolbachia from B. tomentosus into a new clade (Abt) within the A division, with some revisions to the existing Wolbachia phylogeny.;MA248;CM;exclude;;
Ontogenetic shifts in a freshwater cleaning symbiosis: consequences for hosts and their symbionts;"Animal fitness is influenced by diverse assemblages of internal and external symbionts. These assemblages often change throughout host ontogeny, but the mechanisms that underlie these changes and their consequences for host fitness are seldom revealed. Here we examine a cleaning symbiosis between crayfish and an assemblage of ectosymbiotic branchiobdellidan worms to uncover what mechanisms drive changes in symbiont composition during host ontogeny and the consequences of these changes for both the host and symbionts. In surveys of a North Carolina river, the dominant worm species shifted from Cambarincola philadelphicus to Cambarincola ingens as crayfish (Cambarus bartonii) increased in size. We demonstrate that this shift is a function of host regulation by small crayfish and exclusion by a dominant symbiont on large crayfish. In a controlled lab experiment, small crayfish often removed their symbionts but C. ingens was removed at a higher rate than C. philadelphicus. In contrast, C. ingens had higher survivorship and reproduction than C. philadelphicus on large crayfish. We also measured the effect of each worm species on crayfish growth through ontogeny; neither worm species had an effect on small crayfish but both species had similar positive effects on the growth of large crayfish relative to controls. Evidence from another experiment suggested that intraguild predation by C. ingens caused a decline in C. philadelphicus on large crayfish. We have shown that shifts in partner fitness are a function of host size and that these shifts can involve the succession of symbionts. Further, our results suggest that changes in the outcome of symbioses can remain robust throughout host ontogeny despite interactive mechanisms that lead to shifts in symbiont community structure.";MA264;CM;include;interspecific;host-symbiont
Endocrinology of sociality: Comparisons between sociable and solitary individuals within the same population of African striped mice;The social organization of species ranges from solitary-living to complex social groups. While the evolutionary reasons of group-living are well studied, the physiological mechanisms underlying alternative social systems are poorly understood. By studying group-living and solitary individuals of the same species, we can determine hormonal correlates of sociality without the problem of confounding phylogenetic factors. The African striped mouse (Rhabdomys pumilio) is a socially flexible species, which can be solitary or alternatively form complex family groups, depending on population density and the extent of reproductive competition. We predicted group-living striped mice to show signs of reproductive suppression and social stress, resulting in higher corticosterone but lower testosterone levels when compared to solitary-living individuals. To determine whether differences in social organization correlated with hormonal differences, we collected blood samples from free-living striped mice during four breeding seasons when we experimentally induced solitary-living in philopatric individuals by locally reducing population density. Striped mice that were group-living did not change their corticosterone or estosterone levels during the study, indicating that there was no temporal effect during the breeding season. Striped mice of both sexes had significantly lower corticosterone levels after switching from group- to solitary-living. Solitary males - but not solitary females - had higher testosterone levels than group-living conspecifics. Our results suggest that group-living results in physiological stress and can induce reproductive suppression, at least in philopatric males. The switch to solitary-living may thus be a tactic to avoid reproductive competition within groups, and is associated with decreased stress hormone levels and onset of independent reproduction. (C) 2013 Elsevier Inc. All rights reserved.;MA120;CM;include;intraspecific;competition, reproductive suppression
Factors affecting individual participation in group-level aggression among non-human primates;Group members do not always act cohesively when facing extra-group rivals. When benefits such as group-defence are not monopolizable, it poses an economics problem: who should contribute to public goods and who should freeload? A collective action framework compliments existing theoretical explanations for cooperation, and provides testable hypotheses about group-level behaviour based on individual costs and benefits. Using this approach, we review research on intergroup encounters in non-human primates published over the last 20 years, focusing on participation by different classes of individuals. While food- and mate-defence explain much between-sex variation in participation, rank and reproductive access frequently explain within-sex variation. In some species, individuals may use intergroup interactions to survey potential transfer locations and mating options, which might coincidently intimidate rivals. Experimental evidence suggests that when intergroup dominance is based on relative number of fighters, individual participation still varies with sex, rank, companion behaviour and dependent offspring presence. Relatively few studies have examined how factors such as relationships within and between groups or individual temperament mediate aggression. Long-term studies of multiple habituated groups and methodological advances (e.g., playback experiments) will continue to improve our understanding of how complex group-level patterns are predictable when viewed from an individual perspective.  2007 Brill Academic Publishers.;MA138;CM;include;interspecific;review, cooperation, aggression
Leaf domatia and mites on Australasian plants: ecological and evolutionary implications;"Leaf domatia, specialized chambers in the vein axils on the underside of leaves of many plant species, have remained an enigma for over a century. In this study we show a strong association between foliar domatia and mites in 37 plant species in Australasia. Overall, mites accounted for 91% of the arthropods observed in domatia. Across all species, a median of 51% of domatia were occupied and 71% of leaves showed mite evidence in domatia. The level of mite association did not depend on domatia type (pit, pouch, pocket, or tuft) or provenance (Papua New Guinea, Queensland, Victoria, or New Zealand). Mite association with domatia commonly varied between plant species, between individuals within species, and between shoots within individuals. The leaf developmental stage probably explains much of the variation in association for many of these species. The presence of a variety of life history stages of mites within domatia indicates that these structures act as shelters for development and reproduction. Furthermore, in 12 of 13 plant species examined, domatia concentrate mites in particular locations on the leaf. Mite taxa that we classify as largely predaceous (e.g. phytoseiids, stigmaeids and tydeids) or fungivorous (e.g. acarids and oribatids) were most common in domatia and dominated the association in 21 of 24 plant species in which the relative abundance of herbivorous, fungivorous and predaceous groups was quantified. We evaluate hypotheses that explain the role of leaf domatia, including nonfunctional hypotheses (e.g. architectural constraints), physiological function (e.g. gas exchange and water uptake), bacterial symbiosis and antagonistic and mutualistic associations with mites. Our quantitative results confirm anecdotal accounts of mite association with leaf domatia and are most consistent with Lundstrem's centuryold hypothesis of plantmite mutualism in which leaf domatia billet predaceous and fungivorous mites that prey on plant enemies. Leaf domatia are widespread among woody angiosperms and abundant in many temperate and tropical regions of Australasia. Mites, an ancient group of arthropods whose diversity and abundance parallels that of insects, are likely to be important selective agents on terrestrial plants. Our results (1) indicate that mitedomatia association represents a relationship of comparable scope to plantant associations mediated by specialized plant structures such as extrafloral nectaries, food bodies and specialized domatia; (2) suggest that sociality is not a necessary prerequisite for widespread and diverse mutualisms between arthropods and plants; and, (3) extend the diversity of organisms that produce specialized mite houses from lizards, and wasps and bees to woody angiosperms. 1989 The Linnean Society";MA230;CM;include;interspecific;plant-arthropod mutualism
Variation in growth of Damaraland mole-rats is explained by competition rather than by functional specialization for different tasks;In some eusocial insect societies, adaptation to the division of labour results in multimodal size variation among workers. It has been suggested that variation in size and growth among non-breeders in naked and Damaraland mole-rats may similarly reflect functional divergence associated with different cooperative tasks. However, it is unclear whether individual growth rates are multimodally distributed (as would be expected if variation in growth is associated with specialization for different tasks) or whether variation in growth is unimodally distributed, and is related to differences in the social and physical environment (as would be predicted if there are individual differences in growth but no discrete differences in developmental pathways). Here, we show that growth trajectories of non-breeding Damaraland mole-rats vary widely, and that their distribution is unimodal, contrary to the suggestion that variation in growth is the result of differentiation into discrete castes. Though there is no evidence of discrete variation in growth, social factors appear to exert important effects on growth rates and age-specific size, which are both reduced in large social groups.  2016 The Author(s) Published by the Royal Society. All rights reserved.;MA404;CM;exclude;;
The role of frugivory in the diversification of bats in the Neotropics;Aim Ecological interactions are among the most important biotic factors influencing the processes of speciation and extinction. Our aim was to test whether diversification rates of New World Noctilionoidea bats are associated with specialization for frugivory, and how this pattern differs between the mainland and the West Indies. Location The New World. Methods We reconstructed a time-calibrated molecular phylogenetic hypothesis for the New World genera of the superfamily Noctilionoidea. We compiled data on diet, morphology, geographical distribution and number of ecoregions in which each genus occurs. Then, using the phylogenetic tree constructed, we tested whether diversification was driven by diet (animalivorous and sanguinivorous versus nectarivorous and frugivorous) and specialization for frugivory. Afterwards, we conducted phylogenetic comparative analyses to identify correlates of species richness and net diversification rates. Results The diversification rate was higher in mutualistic than in antagonistic clades in mainland and Antillean biogeographical scenarios, but only strictly frugivorous clades showed a markedly higher diversification rate than the rest of the genera. Geographical range and number of ecoregions were positively associated with species richness and diversification rate in continental and insular lineages. Lower body mass, lower forearm length and specialization for frugivory were significantly positively correlated with higher diversification rates in continental lineages, whereas these parameters were negatively correlated in Antillean lineages. Main conclusions The direction of the relationship of intrinsic factors (specialization for frugivory and body size) with diversification of noctilionoid bats depends on the biogeographical context, whereas the direction of the relationship of extrinsic factors (geographical range and number of ecoregions) with diversification is consistent in both mainland and the West Indian lineages.;MA385;CM;exclude;;
Inter individual variations of the fish skin microbiota: Host genetics basis of mutualism?;The commensal microbiota of fish skin is suspected to provide a protection against opportunist infections. The skin of fish harbors a complex and diverse microbiota that closely interacts with the surrounding water microbial communities. Up to now there is no clear evidence as to whether the host regulates the recruitment of environmental bacteria to build a specific skin microbiota. To address this question, we detected Quantitative Trait Loci (QTL) associated with the abundance of specific skin microbiota bacterial strains in brook charr (Salvelinus fontinalis), combining 16S RNA tagged-amplicon 454 pyrosequencing with genetic linkage analysis. Skin microbiota analysis revealed high inter-individual variation among 86 F2 fish progeny based upon the relative abundance of bacterial operational taxonomic units (OTUs). Out of those OTUs, the pathogenic strain Flavobacterium psychrophilum and the non-pathogenic strain Methylobacterium rhodesianum explained the majority of inter-individual distances. Furthermore, a strong negative correlation was found between Flavobacterium and Methylobacterium , suggesting a mutually competitive relationship. Finally, after considering a total of 266 markers, genetic linkage analysis highlighted three major QTL associated with the abundance of Lysobacter, Rheinheimera and Methylobacterium. All these three genera are known for their beneficial antibacterial activity. Overall, our results provide evidence that host genotype may regulate the abundance of specific genera among their surface microbiota. They also indicate that Lysobacter, Rheinheimera and Methylobacterium are potentially important genera in providing protection against pathogens.  2014 Boutin et al.;MA209;CM;include;interspecific;parasite-host, bacteria-fish
Simple foraging rules in competitive environments can generate socially structured populations;Social vertebrates commonly form foraging groups whose members repeatedly interact with one another and are often genetically related. Many species also exhibit within-population specializations, which can range from preferences to forage in particular areas through to specializing on the type of prey they catch. However, within-population structure in foraging groups, behavioral homogeneity in foraging behavior, and relatedness could be outcomes of behavioral interactions rather than underlying drivers. We present a simple process by which grouping among foragers emerges and is maintained across generations. We introduce agent-based models to investigate (1) whether a simple rule (keep foraging with the same individuals when you were successful) leads to stable social community structure, and (2) whether this structure is robust to demographic changes and becomes kin-structured over time. We find the rapid emergence of kin-structured populations and the presence of foraging groups that control, or specialize on, a particular food resource. This pattern is strongest in small populations, mirroring empirical observations. Our results suggest that group stability can emerge as a product of network self-organization and, in doing so, may provide the necessary conditions for the evolution of more sophisticated processes, such as social learning. This taxonomically general social process has implications for our understanding of the links between population, genetic, and social structures.;MA323;CM;include;intraspecific;theoretical/modelling, group-stability
