abstract.id,title.y,abstract.y,screener.id,"include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include)",ecological scale (e.g. interspecific or intraspecific),"topic area (e.g. predator-prey, parasite-host, male-female, theoretical/modelling, review)"
MA129,Evolution of the individual,"This article studies the transition in evolution from single cells to multicellular organisms as a case study in the origin of individuality. The issues considered are applicable to all major transitions in the units of selection that involve the emergence of cooperation and the regulation of conflict. Explicit genetic models of mutation and selection both within and between organisms are studied. Cooperation among cells increases when the fitness covariance at the level of the organism overcomes within-organism change toward defection. Selection and mutation during development generate significant levels of within-organism variation and lead to variation in organism fitness at equilibrium. This variation selects for germ-line modifiers and other mediators of within-organism conflict, increasing the heritability of fitness at the organism level. The evolution of these modifiers is the first new function at the emerging organism level and a necessary component of the evolution of individuality.",CM,exclude,,
MA181,Host sharing by the honey bee parasites Lotmaria passim and Nosema ceranae,"The trypanosome Lotmaria passim and the microsporidian Nosema ceranae are common parasites of the honey bee, Apis mellifera, intestine, but the nature of interactions between them is unknown. Here, we took advantage of naturally occurring infections and quantified infection loads of individual workers (N=408) originating from three apiaries (four colonies per apiary) using PCR to test for interactions between these two parasites. For that purpose, we measured the frequency of single and double infections, estimated the parasite loads of single and double infections, and determined the type of correlation between both parasites in double infections. If interactions between both parasites are strong and antagonistic, single infections should be more frequent than double infections, double infections will have lower parasite loads than single infections, and double infections will present a negative correlation. Overall, a total of 88 workers were infected with N.ceranae, 53 with L.passim, and eight with both parasites. Although both parasites were found in all three apiaries, there were significant differences among apiaries in the proportions of infected bees. The data show no significant differences between the expected and observed frequencies of single- and double-infected bees. While the infection loads of individual bees were significantly higher for L.passim compared to N.ceranae, there were no significant differences in infection loads between single- and double-infected hosts for both parasites. These results suggest no strong interactions between the two parasites in honey bees, possibly due to spatial separation in the host. The significant positive correlation between L.passim and N.ceranae infection loads in double-infected hosts therefore most likely results from differences among individual hosts rather than cooperation between parasites. Even if hosts are infected by multiple parasites, this does not necessarily imply that there are any significant interactions between them.  2017 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.",CM,include,interspecific,parasite-parasite
MA21,Antibiotic resistance and protease production by Photorhabdus luminescens and Xenorhabdus poinarii bacteria symbiotic with entomopathogenic nematodes: Variation among species and strains,"Bacteria in the genera Photorhabdus and Xenorhabdus are highly pathogenic to insects and are symbiotically associated with nematodes in the genera Heterorhabditis and Steinernema, respectively. We compared extracellular protease production and resistance to antibiotics (chloramphenicol, erythromycin, neomycin and tetracycline) for 32 isolates of P. luminescens and 11 isolates of X. poinarii taken from nematodes isolated from soil in southern New Jersey. P. luminescens produced greater amounts of protease, and was more resistant to erythromycin and less resistant to neomycin than X. poinarii. No interspecific differences in resistance to chloramphenicol or tetracycline were detected. Variability within species was not related to the site, habitat or soil core from which the isolates were obtained, and was not associated with variation in the color of the host cadaver for P. luminescens. Resistance to erythromycin was positively correlated with resistance to both neomycin and tetracycline for P. luminescens, but was negatively correlated with resistance to neomycin for X. poinarii. Antibiotic resistance profiles and extracellular protease production might be useful characteristics for distinguishing among species and strains of these bacteria, probably have ecological significance with respect to intra- and interspecific competition within host cadavers, and could have implications for the utility of these organisms for biological control.",CM,exclude,,
MA35,"Between-group competition, intra-group cooperation and relative performance","We report the results of a new public goods experiment with an intra-group cooperation dilemma and inter-group competition. In our design subjects receive information about their relative individual and group performance after each round with non-incentivized and then incentivized group competition. We found that, on average, individuals with low relative performance reduce their contributions to the public good, but groups with low performance increase theirs. With incentivized competition, where the relative ranking of the group increases individual payoffs, the reaction to relative performance is larger with individuals contributing more to the group; further, we observe that the variance of strategies decreases as individual and group rankings increase. These results offer new insights on how social comparison shapes similar reactions in games with different incentives for group performance and how competition and cooperation can influence each other.",CM,include,intraspecific,competition-cooperation
MA353,State-space modelling of the drivers of movement behaviour in sympatric species,"Understanding animal movement behaviour is key to furthering our knowledge on intra- and inter-specific competition, group cohesion, energy expenditure, habitat use, the spread of zoonotic diseases or species management. We used a radial basis function surface approximation subject to minimum description length constraint to uncover the state-space dynamical systems from time series data. This approximation allowed us to infer structure from a mathematical model of the movement behaviour of sheep and red deer, and the effect of density, thermal stress and vegetation type. Animal movement was recorded using GPS collars deployed in sheep and deer grazing a large experimental plot in winter and summer. Information on the thermal stress to which animals were exposed was estimated using the power consumption of mechanical heated models and meteorological records of a network of stations in the plot. Thermal stress was higher in deer than in sheep, with less differences between species in summer. Deer travelled more distance than sheep, and both species travelled more in summer than in winter; deer travel distance showed less seasonal differences than sheep. Animal movement was better predicted in deer than in sheep and in winter than in summer; both species showed a swarming behaviour in group cohesion, stronger in deer. At shorter separation distances swarming repulsion was stronger between species than within species. At longer separation distances inter-specific attraction was weaker than intra-specific; there was a positive density-dependent effect on swarming, and stronger in deer than in sheep. There was not clear evidence which species attracted or repelled the other; attraction between deer at long separation distances was stronger when the model accounted for thermal stress, but in general the dynamic movement behaviour was hardly affected by the thermal stress. Vegetation type affected intra-species interactions but had little effect on inter-species interactions. Our modelling approach is useful in interpreting animal interactions, in order to unravel complex cooperative or competitive behaviours, and to the best of our knowledge is the first modelling attempt to make predictions of multi-species animal movement under different habitat mosaics and abiotic environmental conditions.  2015 Prez-Barbera et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",CM,include,interspecific,"modelling, competition-cooperation"
MA4,A General Scheme to Predict Partner Control Mechanisms in Pairwise Cooperative Interactions Between Unrelated Individuals,"Recent years have seen an explosion in the diversity of partner control mechanisms hypothesised to stabilise cooperative behaviour among unrelated individuals. Game theory suggests numerous strategies, each with specific decision rules that allow cooperators to control a non-contributing partner. This diversity of hypothetical strategies seems likely to reflect diversity in the types of intraspecific cooperation and interspecific mutualism that exist in nature. It is therefore important to provide a framework that explains similarities and differences between the various hypothetical strategies and that predicts how key parameters that describe the natural history of natural systems favour different control mechanisms. We develop a novel unifying framework for pairwise interactions between unrelated individuals, in which we link specific control mechanisms to specific game structures. The latter are defined by unique combinations of the states of five parameters that describe investment, aspects of the payoff matrix, the number of interactions and partner choice. We find that specific control mechanisms potentially have utility in a limited number of game structures; conversely, each game structure may typically offer a few competing control mechanisms. Our framework offers theoreticians specific problems that await mathematical exploration, while at the same time offering empiricists guidelines for evaluating the game structure and corresponding control mechanisms in their systems.  2011 Blackwell Verlag GmbH.",CM,include,interspecific,"modelling, competition-cooperation"
MA78,Cooperation and conflict in the evolution of multicellularity,"Multicellular organisms probably originated as groups of cells formed in several ways, including cell proliferation from a group of founder cells and aggregation. Cooperation among cells benefits the group, but may be costly (altruistic) or beneficial (synergistic) to individual cooperating cells. In this paper, we study conflict mediation, the process by which genetic modifiers evolve that enhance cooperation by altering the parameters of development or rules of formation of cell groups. We are particularly interested in the conditions under which these modifiers lead to a new higher-level unit of selection with increased cooperation among group members and heritable variation in fitness at the group level. By sculpting the fitness variation and opportunity for selection at the two levels, conflict modifiers create new functions at the organism level. An organism is more than a group of cooperating cells related by common descent; organisms require adaptations that regulate conflict within. Otherwise their continued evolution is frustrated by the: creation of within-organism variation and conflict between levels of selection. The evolution of conflict modifiers is a necessary prerequisite to the emergence of individuality and the continued well being of the organism. Conflict leads - through the evolution of adaptations that reduce it - to greater individuality and harmony for the organism.",CM,include,interspecific,"modelling, competition-cooperation"
MA92,Direct and indirect effects of pollinators and seed predators to selection on plant and floral traits,"Although flowering traits are often assumed to be under strong selection by pollinators, significant variation in such traits remains the norm for most plant species. Thus, it is likely that the interactions among plants, mutualists, and other selective agents, such as antagonists, ultimately shape the evolution of floral and flowering traits. We examined the importance of pollination vs pre-dispersal seed predation to selection on plant and floral characters via female plant-reproductive success in Castilleja linariaefolia (Scrophulariaceae). C. linariaefolia is pollinated by hummingbirds and experiences high levels of pre-dispersal seed predation by plume moth and fly larvae in the Rocky Mountains of Colorado, USA, where this work was conducted. We first examined whether female reproduction in C. linariaefolia was limited by pollination. Supplemental pollination only marginally increased components of female reproduction, likely because seed predation masked, in part, the beneficial effects of pollen addition. In unmanipulated populations, we measured calyx length, flower production, and plant height and used path analysis combined with structural equation modeling to quantify their importance to relative seed set through pathways involving pollination vs seed predation. We found that the strength of selection on calyx length, flower production, and plant height was greater for seed predation pathways than for pollination pathways, and one character, calyx length, experienced opposing selection via pollination vs seed predation. These results suggest that the remarkable intraspecific variation in plant and floral characters exhibited by some flowering plants is likely the result of selection driven, at least in part, by pollinators in concert with antagonists, such as pre-dispersal seed predators. This work highlights the subtle but complex interactions that shape floral and vegetative design in natural ecosystems.",CM,include,interspecific,plant-pollinator/seed disperser
MA117,"Elephants, donuts and hamburgers: Young children co-operating to co-operate and co-operating to compete in two primary schools","Abstract A total of 152 5-6-year-old schoolchildren worked alone or in groups, cooperatively within groups or competing against another group, over 4 weeks. New measures allowed us to consider their preferences for collective or individualistic styles. Three factors: individualism/collectivism, sociability and altruism were identified. The first two were found to be stable over time; the third changed and was related to whether the children worked co-operatively or competitively. Differences were found in collectivism/individualism. Girls (particularly older girls) preferred working co-operatively significantly more than boys at Time 1; however, this decreased over time for girls, whilst boys became less individualistic over time. Younger children scored significantly less than older children on a sociability factor, but this increased significantly over time compared to the older children--artificially in the group co-operative condition. Findings are discussed in light of curriculum and pedagogy of primary schools and social psychological research with children.  1999, Taylor & Francis Group, LLC.",CM,include,intraspecific,competition-cooperation
MA208,Inspection behaviour and inter-individual cooperation in juvenile qingbo: the effects of prior predator exposure and food deprivation,"The predation pressure and food availability to which individuals are exposed during their life histories shape inspection behaviour in animals. In this study, we aimed to test whether such behaviours varied with prior experience (predation, starvation or both treatments) or measurement condition (with or without the presence of a predator; here, the snakehead fish, Channa argus) in the fish species Spinibarbus sinensis, known as qingbo. Unexpectedly, prior predator experience showed no significant effect on inspection behaviour as demonstrated by either the frequency or the duration of each activity outside shelter or on cooperation as demonstrated by the inter-individual distance or synchronization of speed. This may have been due to the different adjustments in behaviour among individuals (more shelter use vs. more inspection), the predator treatment used in the present study (exposure to caged predator rather than direct predation) and/or a species-specific strategy in the qingbo. The starved fish displayed shorter inspection latency, increased inspection behaviour and greater cooperation when measured without the predator; however, when measured in the presence of the predator, the starved fish showed increased inspection frequency but shorter inspection duration, possibly due to the compromise between energy needs and predation risk. Similar to those of the predation group, the fish from the double-treated group showed no difference in inspection behaviour compared to the control group under the predator-absent condition, while the high-frequency, short-duration inspection behaviours remained the same as in the starved group. These findings suggested that the adjustment of inspection behaviour and related cooperation are rather complicated according to either predator experience or food deprivation, partially due to the inter-individual differences in behavioural adjustment and/or different environmental conditions.",CM,include,interspecific,predator-prey
