abstract.id,title.y,abstract.y,screener.id,"include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include)",ecological scale (e.g. interspecific or intraspecific),"topic area (e.g. predator-prey, parasite-host, male-female, theoretical/modelling, review)",notes
MA83,"Crossing scales, crossing disciplines: Collective motion and collective action in the Global Commons","Two conflicting tendencies can be seen throughout the biological world: individuality and collective behaviour. Natural selection operates on differences among individuals, rewarding those who perform better. Nonetheless, even within this milieu, cooperation arises, and the repeated emergence of multicellularity is the most striking example. The same tendencies are played out at higher levels, as individuals cooperate in groups, which compete with other such groups. Many of our environmental and other global problems can be traced to such conflicts, and to the unwillingness of individual agents to take account of the greater good. One of the great challenges in achieving sustainability will be in understanding the basis of cooperation, and in taking multicellularity to yet a higher level, finding the pathways to the level of cooperation that is the only hope for the preservation of the planet.  2010 The Royal Society.",KJB,include,intraspecific,"review, evolution of multicellularity","On multicellularity, only important as background info, but not part of our core interest."
MA359,Symbiotic sympatric speciation through interaction-driven phenotype differentiation,"A mechanism of genetic diversification and reproductive isolation is presented based on the interaction-induced diversification of phenotypes. First, phenotypes of individuals with identical genotypes split into a few groups, according to instability in the developmental dynamics associated with the interaction among individuals. Later, through competition for reproduction and mutational change of genes, the phenotypic differences are fixed to genes, until the groups ('species') are completely separated in terms of genes as well as phenotypes. In addition, we demonstrate that the proposed theory for speciation works also under sexual recombination and provides a basis for the evolution of mating preference. The relevance of the results to natural evolution are discussed, including incomplete penetrance in mutants and the change in flexibility in genotype-phenotype correspondence. Possible experiments are proposed to verify the theory presented.",KJB,include,intraspecific/interspecific,"theoretical, interaction induced speciation","Effect seems the other way around, but we should scan the paper, just to be sure."
MA235,Male monkeys fight in between-group conflicts as protective parents and reluctant recruits,"In many social species, group members cooperate to defend a communal home range. Fighting in between-group conflicts carries an opportunity cost, a risk of injury or death, and the possibility of exploitation by free-riding group members. As a result, it is rare that all group members fight in a given between-group conflict, and individual participation in range defence is often highly variable. Thus, to understand the patterns of behaviour observed at the group level, we must first understand the causes of within- and between-individual variability. Although sex differences have been well studied, our understanding of the relative importance of the various mechanisms promoting between-group aggression within a sex is limited. We observed the participation of 22 male vervet monkeys, Chlorocebus aethiops pygerythrus, in 126 between-group conflicts, and then partitioned aggressive acts according to the context in which they occurred. Using this approach, we found evidence that two mechanisms drive male between-group aggression and, therefore, that individual variability is in part driven by the multiple selective benefits of participation. First, males that were likely to have sired offspring tended to exhibit defensive aggression and were more active when infants were present in the group, suggesting they fight to defend probable offspring. Second, males were more likely to support females in initiating between-group aggression just prior to, and during, the mating season. Female vervet monkeys are able to exert female choice, and males that frequently supported female instigators tended to enjoy the highest mating success. These results indicate that males probably use between-group aggression to improve their reputation with choosy females and subsequently maximize their mating success. Our findings indicate that a greater understanding of the evolutionary mechanisms promoting cooperative home range defence can be gained if we consider the context in which acts of between-group aggression occur. (C) 2015 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",KJB,include,intraspecific,"Male-female, male-male competition, between-group competition",I doubted for a long time. It could be relevant though: variation between males in number of offspring obtained leads to changes in their interaction with other groups. The question is whether the paper gives us any hint as to whether the variation in offspring numbers is trait related.
MA137,Facial identity and emotional expression as predictors during economic decisions,"Two sources of information most relevant to guide social decision making are the cooperative tendencies associated with different people and their facial emotional displays. This electrophysiological experiment aimed to study how the use of personal identity and emotional expressions as cues impacts different stages of face processing and their potential isolated or interactive processing. Participants played a modified trust game with 8 different alleged partners, and in separate blocks either the identity or the emotions carried information regarding potential trial outcomes (win or loss). Behaviorally, participants were faster to make decisions based on identity compared to emotional expressions. Also, ignored (nonpredictive) emotions interfered with decisions based on identity in trials where these sources of information conflicted. Electrophysiological results showed that expectations based on emotions modulated processing earlier in time than those based on identity. Whereas emotion modulated the central N1 and VPP potentials, identity judgments heightened the amplitude of the N2 and P3b. In addition, the conflict that ignored emotions generated was reflected on the N170 and P3b potentials. Overall, our results indicate that using identity or emotional cues to predict cooperation tendencies recruits dissociable neural circuits from an early point in time, and that both sources of information generate early and late interactive patterns.",KJB,exclude,intraspecific,humans,
MA225,Investigating the causes and consequences of symbiont shuffling in a multi-partner reef coral symbiosis under environmental change,"Dynamic symbioses may critically mediate impacts of climate change on diverse organisms, with repercussions for ecosystem persistence in some cases. On coral reefs, increases in heat-tolerant symbionts after thermal bleaching can reduce coral susceptibility to future stress. However, the relevance of this adaptive response is equivocal owing to conflicting reports of symbiont stability and change.We help reconcile this conflict by showing that change in symbiont community composition (symbiont shuffling) in Orbicella faveolata depends on the disturbance severity and recovery environment. The proportion of heat-tolerant symbionts dramatically increased following severe experimental bleaching, especially in a warmer recovery environment, but tended to decrease if bleaching was less severe. These patterns can be explained by variation in symbiont performance in the changing microenvironments created by differentially bleached host tissues. Furthermore, higher proportions of heat-tolerant symbionts linearly increased bleaching resistance but reduced photochemical efficiency, suggesting that any change in community structure oppositely impacts performance and stress tolerance. Therefore, even minor symbiont shuffling can adaptively benefit corals, although fitness effects of resulting trade-offs are difficult to predict. This work helps elucidate causes and consequences of dynamism in symbiosis, which is critical to predicting responses of multi-partner symbioses such as O. faveolata to environmental change.  2015 The Author(s) Published by the Royal Society. All rights reserved.",KJB,exclude,interspecific,symbionts,
MA134,Experimental demonstration of no effect by the cleaner wrasse Labroides dimidiatus (Cuvier and Valenciennes) on the host fish Pomacentrus moluccensis (Bleeker),"To date, the benefits of cleaner fish to host fish have not been clearly identified. This study investigates the effect of the cleaner wrasse Labroides dimidiatus (Cuvier and Valenciennes) on the host damselfish Pomacentrus moluccensis (Bleeker) by excluding all cleaner fish from 8 reefs for 6 months at Lizard Island, Great Barrier Reef. The subsequent effect of cleaner removal on parasites (total number, number per category of parasite, and size of parasite) and host abundance was estimated and compared to control reefs where L. dimidiatus were not removed. Parasite loads of P. moluccensis were low (usually 0-3 per fish) on all reefs after the experiment, and were dominated by small copepod larvae (260-1370 mu m). The removal of L. dimidiatus had no detectable effect on the mean number of parasites per host, either across all parasite taxa combined or by each parasite taxon individually. Nor did I detect a difference in the mean size of the most abundant copepod species. There was, however, a significant difference in the mean number of parasites (combining all species) per fish among reefs irrespective of the presence of L. dimidiatus. This difference was not correlated with P. moluccensis abundance. The abundance of P. moluccensis declined during the experiment (7-33\%) but the decline did not differ among reefs with and without L. dimidiatus. This result suggests that P. moluccensis did not leave reefs and seek cleaning elsewhere, nor did this host suffer increased mortality in the absence of L. dimidiatus. The absence of any detectable effect of L. dimidiatus on the parasites of P. moluccensis is compatible with the selective feeding habits of L. dimidiatus. It is likely that factors other than ectoparasite removal motivate P. moluccensis to seek cleaning.",KJB,exclude,interspecific,"Host-parasites, mutualism, three species",
MA272,Pattern of individual participation and cheating in conflicts between groups of free-ranging dogs,"Cooperative intergroup aggression provides an example of a costly cooperative behaviour whose benefits spill over to noncooperative animals as well. Consequently, investigating factors that promote individual participation in intergroup contests should prove useful for understanding how cooperation may persist in animal societies despite cheating. Here, we examined variables affecting individual participation in naturally occurring conflicts between groups of free-ranging dogs, Canis lupus familiaris. The overall proportion of cooperating group members decreased significantly with an increasing number of group members present. In one pack, the individual probability of active participation decreased significantly when this pack had a numerical advantage over opponents. Dogs belonging to the smallest pack tended to be more cooperative than those belonging to larger groups. Social prestige ( measured as the number of submissions received during greeting) did not appear to be a consequence of cooperative behaviour. Individual participation increased with an increasing number of affiliative partners. Young and high-ranking dogs tended to cooperate more when their group was outnumbered by opponents but did not stay at the front of the pack during conflicts. These results emphasize the greater opportunity for cheating in larger groups and the complexity of dogs' behaviour. Cooperation appears to be conditional on both the `adversity of the environment' (as measured by relative group size) and the identity/behaviour of companions. (C) 2010 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",KJB,exclude,intraspecific,"cooperation, cheating","The driving factor for the change in interactions seems to be group size, rather than variation in a trait."
MA230,Leaf domatia and mites on Australasian plants: ecological and evolutionary implications,"Leaf domatia, specialized chambers in the vein axils on the underside of leaves of many plant species, have remained an enigma for over a century. In this study we show a strong association between foliar domatia and mites in 37 plant species in Australasia. Overall, mites accounted for 91% of the arthropods observed in domatia. Across all species, a median of 51% of domatia were occupied and 71% of leaves showed mite evidence in domatia. The level of mite association did not depend on domatia type (pit, pouch, pocket, or tuft) or provenance (Papua New Guinea, Queensland, Victoria, or New Zealand). Mite association with domatia commonly varied between plant species, between individuals within species, and between shoots within individuals. The leaf developmental stage probably explains much of the variation in association for many of these species. The presence of a variety of life history stages of mites within domatia indicates that these structures act as shelters for development and reproduction. Furthermore, in 12 of 13 plant species examined, domatia concentrate mites in particular locations on the leaf. Mite taxa that we classify as largely predaceous (e.g. phytoseiids, stigmaeids and tydeids) or fungivorous (e.g. acarids and oribatids) were most common in domatia and dominated the association in 21 of 24 plant species in which the relative abundance of herbivorous, fungivorous and predaceous groups was quantified. We evaluate hypotheses that explain the role of leaf domatia, including nonfunctional hypotheses (e.g. architectural constraints), physiological function (e.g. gas exchange and water uptake), bacterial symbiosis and antagonistic and mutualistic associations with mites. Our quantitative results confirm anecdotal accounts of mite association with leaf domatia and are most consistent with Lundstrem's centuryold hypothesis of plantmite mutualism in which leaf domatia billet predaceous and fungivorous mites that prey on plant enemies. Leaf domatia are widespread among woody angiosperms and abundant in many temperate and tropical regions of Australasia. Mites, an ancient group of arthropods whose diversity and abundance parallels that of insects, are likely to be important selective agents on terrestrial plants. Our results (1) indicate that mitedomatia association represents a relationship of comparable scope to plantant associations mediated by specialized plant structures such as extrafloral nectaries, food bodies and specialized domatia; (2) suggest that sociality is not a necessary prerequisite for widespread and diverse mutualisms between arthropods and plants; and, (3) extend the diversity of organisms that produce specialized mite houses from lizards, and wasps and bees to woody angiosperms. 1989 The Linnean Society",KJB,include,interspecific,"mutualism, host-parasite","No very clear link, but multiple vague ones, worth taking a closer look"
MA400,Unexpected structured intraspecific diversity of thioautotrophic bacterial gill endosymbionts within the Lucinidae (Mollusca: Bivalvia),"In chemoautotrophic associations, sequence comparison of 16S rRNA has been the method of choice to study bacterial diversity in the context of host/symbiont coevolution. However, the relative low rate of evolution of 16S rRNA has been shown to result in a diminished capacity to discriminate between closely related bacterial strains or species. Within chemoautotrophic associations, as described in several studies, the use of other genetic markers may reveal previously unobserved strain diversity among gill endosymbionts. Herein, we conducted a survey of symbionts harbored by six species within the Lucinidae family using five genetic markers (dnaE, gyrB, aprA, cbbL genes and the 16S23S internal transcribed spacer). Thus, within the already described SoLuc_1 bacterial species shared by six host species we observed an obvious bacterial strain diversity. This diversity is structured in function of the geographic location of the hosts and not in function of ecological parameters or host phylogeny. Interestingly at the local level (same seagrass bed environment), we observed an unexpected specificity in host species/bacterial strain association (i.e., all individuals of the same host species harbor the same symbiotic sequence type). This specificity of association implied that there was a control of symbiont strain acquisition by the host, which was confirmed by a cross-infection experiment of starved adults performed in our study. Based upon our results and other evidence from the literature, we hypothesize that this pattern may be due to a capture/escape type antagonist evolution of the two partners.  2016, Springer-Verlag Berlin Heidelberg.",KJB,exclude,interspecific,Host-symbiont,
MA389,The ubiquitous and varied role of infection in the lives of animals and plants,"Parasitic and symbiotic infections are major forces governing the life histories of plant and animal hosts-a fact that is ever more evident because of recent findings emanating from diverse subdisciplines of biology. Yet, infectious organisms have been relatively little investigated by biologists who study natural populations. Now that new molecular and computational tools allow us to differentiate and track microscopic infectious agents in nature, we are beginning to establish a better appreciation of their effects on larger, more familiar organisms. This special issue on the ecological and evolutionary consequences of infection for plants and animals is based on the annual Vice Presidential Symposium at the meeting of the American Society of Naturalists held in Knoxville, Tennessee, in the summer of 2001.",KJB,include,interspecific,"Host-parasites, host-symbiont, review/foreword",
