"","Species_Processed","Trait_Processed","Shift_Processed","Ref_Processed","TypeScale_Processed"
"1","Wyoming Indian paintbrush (Castilleja linariaefolia); broad-tailed hummingbird (Selasphorus platycercus); rufous hummingbird (Selasphorus rufus); plume moth (Platyptilia pica); leaf-miner flies (genus Phytomyza)","Morphological traits in C. linariaefolia (calyx length, flower production, plant height)","Variation in morphological traits reduce the strength of mutualistic interactions with animals (e.g. pollination) and increase antagonistic interactions (e.g. flower resource exploitation without pollination)","(Cariveau et al. 2004) MA92","Consumer-resource/plant-animal (Interspecific)"
"2","valley oak (Quercus lobata); California scrub-jay (Aphelocoma californica); acorn woodpecker (Melanerpes formicivorus)","Reproductive traits in Q. lobata (seed production and availability)","Variation in seed production can favour mutualistic (e.g. seed dispersal), or antagonistic (seed predation) interactions with animal community","(Pesendorfer et al. 2016) MA60","Consumer-resource/plant-animal (Interspecific)"
"3","Canary Island foxglove (Isoplexis canariensis); various mutualistic/antagonistic animal species","Position of plant within local community (likely associated with dispersal traits)","More central plants derived greater mutualistic benefits from animal interactions (e.g. pollination success)","(Rodriguez-Rodriguez et al. 2017) MA160","Consumer-resource/plant-animal (Interspecific)"
"4","Cordia nodosa; Allomerus octoarticulatus","Behavioural phenotype of A. octoarticulatus (patrolling of host plants); Selective senescence of C. nodosa leaves","Ants nesting on leaves may vary in the level of protective services they provide, where plants appear to sanction this behaviour by selective senescence of damaged leaves.","(Edwards et al. 2017) non-systematic","Host-symbiont; Consumer-resource/plant-animal (Interspecific)"
"5","Bottlenose dolphin (Tursiops truncatus); human (Homo sapiens)","Behavioural phenotype of T. truncatus (foraging behaviour, human cooperativeness) ","Variation in cooperative behaviour/foraging behaviour linked to variation from a competitive to a beneficial interaction with human fisherman","(Cantor et al. 2018) MA344","Competition-cooperation (Interspecific)"
"6","Crematogaster modiglianii; Camponotus rufifemur","Behavioural phenotype of Cr. modiglianii (tendency to initiate a nest, foraging, trail following, nest defence)","Interaction of C. modiglianii with C. rufifemur shifts towards a parabiosis/apparent mutualism, when conditions are suitable for nest cohabitation (e.g. with the presence of an epiphyte),  with likely changes in C. modiglianii nest defence and foraging behaviour","(Menzel and Blüthgen 2010) MA267","Competition-cooperation (Interspecific)"
"7","sheep (Ovis aries); red deer (Cervus elaphus)","Behavioural (movement and foraging) and physiological (thermal insulation) phenotypes","Spatial variation is the level of swarming behaviour (cooperative) and swarming repulsion (competitive) interactions across within and between species of grazing herbivore, partially driven by density","(Perez-Barberia et al. 2015) MA353","Competition-cooperation (Inter- and Intraspecific)"
"8","common reed (Phragmites australis); smooth cordgrass (Spartina alterniflora)","Invasive history of P. australis individuals, associated with genetic lineage ","Differential effects of lineages on soil biota changes the outcome of a pathogen/mutualist spillover (apparent competition-mutualism) interaction between species","(Allen et al. 2018) MA224","Competition-cooperation (Interspecific)"
"9","Asobara tabida; wolbachia strains (genus Wolbachia)","Variation in reproductive traits between A. tabida populations","Differences in reproduction between populations, where some are reliant on wolbachia, where others wolbachia infection provides no reproductive benefit","(Dedeine et al. 2005) MA411","Host-symbiont (Interspecific)"
"10","baishan fir (Abies beshanzuensis); endophytic fungi community (subkingdom Dikarya)","Chemical defence traits of Dikarya fungi (ligninolytic enzyme production), linked to laccase genes","Substantial variation in chemical traits within fungi species, which under certain condition may enhance nutrient-access, provide fitness benefits for the host, or act as a parasite","(Yuan et al. 2011) MA157","Host-symbiont (Interspecific)"
"11","black bean aphid (Aphis fabae); Hamiltonella defensa","Chemical defence traits H. defensa against parasitoid infection","Infection with H. defensa incurs fitness costs on hosts, but provides protection from parasitoid infection, so the net outcome of the interaction is context-dependent, based on the presence-absence of parasitoids","(Vorberger et al. 2013) non-systematic","Host-symbiont (Interspecific)"
"12","pea aphid (Acyrthosiphon pisum); Hamiltonella defensa","Chemical defence traits H. defensa against parasitoid infection","Infection with different strains of H. defensa incurs different levels of protectiveness and of fitness costs on hosts","(Niepoth et al. 2018) non-systematic","Host-symbiont (Interspecific)"
"13","New River crayfish (Cambarus chasmodactylus); Cambarincola ingens","Feeding behaviour of symbiont","Mutualistic symbiont can begin feeding on the hosts gills and cause gill scarring when they at high densities","(Brown et al. 2012) non-systematic","Host-symbiont (Interspecific)"
